roll, pitch, yaw
  0.000,  0.000,  0.000
  1.717,-44.922,-53.624
  1.717,-44.936,-53.572
  1.717,-44.932,-53.512
  1.718,-44.964,-53.478
  1.718,-44.992,-53.443
  1.718,-45.014,-53.394
  1.718,-45.002,-53.346
  1.718,-45.021,-53.286
  1.718,-45.023,-53.238
  1.718,-45.050,-53.183
  1.718,-45.053,-53.114
  1.718,-45.071,-53.075
  1.718,-45.058,-53.017
  1.718,-45.075,-52.951
  1.718,-45.076,-52.902
  1.718,-45.092,-52.847
  1.718,-45.111,-52.796
  1.719,-45.137,-52.764
  1.719,-45.124,-52.711
  1.718,-45.110,-52.666
  1.719,-45.138,-52.606
  1.719,-45.138,-52.550
  1.719,-45.124,-52.504
  1.719,-45.140,-52.447
  1.719,-45.147,-52.399
  1.719,-45.145,-52.358
  1.719,-45.163,-52.302
  1.719,-45.176,-52.254
  1.719,-45.178,-52.206
  1.719,-45.166,-52.165
  1.719,-45.164,-52.125
  1.719,-45.167,-52.075
  1.719,-45.174,-52.028
  1.719,-45.161,-51.975
  1.719,-45.175,-51.924
  1.719,-45.178,-51.886
  1.719,-45.206,-51.824
  1.719,-45.197,-51.777
  1.719,-45.197,-51.716
  1.719,-45.193,-51.657
  1.719,-45.186,-51.613
  1.719,-45.187,-51.566
  1.719,-45.192,-51.517
  1.719,-45.202,-51.472
  1.719,-45.212,-51.422
  1.719,-45.210,-51.379
  1.719,-45.202,-51.328
  1.719,-45.202,-51.275
  1.719,-45.206,-51.232
  1.719,-45.220,-51.182
  1.719,-45.241,-51.132
  1.719,-45.231,-51.076
  1.719,-45.217,-51.025
  1.719,-45.221,-50.987
  1.720,-45.246,-50.929
  1.720,-45.250,-50.872
  1.720,-45.269,-50.825
  1.720,-45.268,-50.764
  1.720,-45.265,-50.696
  1.720,-45.284,-50.652
  1.720,-45.298,-50.604
  1.720,-45.299,-50.563
  1.720,-45.308,-50.510
  1.720,-45.322,-50.453
  1.720,-45.335,-50.401
  1.720,-45.336,-50.339
  1.720,-45.337,-50.294
  1.720,-45.337,-50.233
  1.720,-45.335,-50.182
  1.720,-45.354,-50.134
  1.720,-45.360,-50.086
  1.721,-45.366,-50.043
  1.721,-45.363,-49.996
  1.721,-45.370,-49.934
  1.721,-45.378,-49.892
  1.721,-45.371,-49.822
  1.721,-45.385,-49.769
  1.721,-45.387,-49.724
  1.721,-45.390,-49.683
  1.721,-45.404,-49.641
  1.721,-45.416,-49.594
  1.721,-45.432,-49.544
  1.721,-45.420,-49.495
  1.721,-45.417,-49.438
  1.721,-45.430,-49.375
  1.721,-45.437,-49.319
  1.721,-45.447,-49.283
  1.721,-45.454,-49.235
  1.721,-45.468,-49.171
  1.722,-45.485,-49.117
  1.721,-45.478,-49.067
  1.721,-45.467,-49.023
  1.721,-45.474,-48.985
  1.721,-45.464,-48.933
  1.721,-45.456,-48.869
  1.722,-45.478,-48.832
  1.722,-45.494,-48.782
  1.722,-45.490,-48.731
  1.722,-45.489,-48.682
  1.722,-45.488,-48.633
  1.722,-45.488,-48.581
  1.722,-45.494,-48.518
  1.722,-45.496,-48.466
  1.722,-45.510,-48.411
  1.722,-45.517,-48.366
