roll, pitch, yaw
  0.000,  0.000,  0.000
 -0.002,  5.776,  1.443
  0.018,  5.745,  1.480
  0.038,  5.732,  1.530
  0.041,  5.717,  1.591
  0.044,  5.705,  1.641
  0.038,  5.713,  1.685
  0.032,  5.708,  1.734
  0.035,  5.690,  1.772
  0.050,  5.680,  1.814
  0.055,  5.686,  1.864
  0.065,  5.686,  1.914
  0.046,  5.683,  1.970
  0.050,  5.693,  2.014
  0.057,  5.684,  2.057
  0.049,  5.697,  2.105
  0.055,  5.702,  2.145
  0.060,  5.677,  2.190
  0.048,  5.683,  2.240
  0.042,  5.688,  2.286
  0.017,  5.689,  2.333
  0.028,  5.664,  2.389
  0.034,  5.667,  2.426
  0.028,  5.635,  2.477
  0.023,  5.647,  2.522
  0.031,  5.639,  2.564
  0.027,  5.639,  2.614
  0.015,  5.657,  2.667
  0.010,  5.657,  2.710
  0.001,  5.653,  2.761
 -0.005,  5.657,  2.804
 -0.011,  5.670,  2.855
 -0.003,  5.659,  2.895
 -0.013,  5.670,  2.941
 -0.009,  5.659,  2.990
 -0.018,  5.674,  3.029
 -0.018,  5.680,  3.075
 -0.009,  5.667,  3.131
 -0.006,  5.662,  3.191
 -0.007,  5.670,  3.233
 -0.001,  5.649,  3.286
  0.001,  5.620,  3.331
  0.007,  5.624,  3.367
  0.003,  5.606,  3.406
 -0.004,  5.588,  3.449
 -0.006,  5.596,  3.490
 -0.008,  5.574,  3.534
  0.002,  5.561,  3.587
 -0.001,  5.531,  3.636
 -0.001,  5.537,  3.674
  0.004,  5.533,  3.718
  0.006,  5.502,  3.767
  0.001,  5.514,  3.805
 -0.006,  5.520,  3.851
  0.008,  5.503,  3.899
  0.003,  5.516,  3.944
 -0.002,  5.504,  3.995
  0.005,  5.521,  4.036
  0.002,  5.538,  4.083
  0.013,  5.510,  4.131
  0.014,  5.542,  4.183
  0.019,  5.537,  4.233
  0.006,  5.522,  4.282
  0.009,  5.510,  4.335
  0.004,  5.503,  4.386
  0.005,  5.503,  4.439
  0.028,  5.498,  4.487
  0.025,  5.498,  4.531
  0.028,  5.482,  4.577
  0.037,  5.477,  4.627
  0.034,  5.482,  4.667
  0.031,  5.468,  4.717
  0.037,  5.466,  4.761
  0.025,  5.477,  4.807
  0.017,  5.484,  4.849
  0.019,  5.468,  4.908
  0.019,  5.464,  4.952
  0.017,  5.464,  4.995
  0.030,  5.447,  5.040
