id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1, -0.033, -0.171, 17.851
2, -0.123, -0.102, 17.999
3, -0.206, -0.110, 18.184
4, -0.393, -0.083, 18.294
5, -0.606,  0.058, 18.441
6, -0.724, -0.009, 18.528
7, -0.877,  0.058, 18.766
8, -0.987,  0.064, 18.909
9, -1.017,  0.139, 19.077
10, -1.059,  0.154, 19.247
11, -1.169,  0.265, 19.424
12, -1.177,  0.309, 19.599
13, -1.146,  0.360, 19.787
14, -1.019,  0.356, 19.901
15, -0.767,  0.437, 20.041
16, -0.412,  0.603, 20.254
17,  0.339,  0.725, 20.536
18,  1.471,  0.721, 20.989
19,  3.441,  0.382, 21.447
20,  6.051, -0.037, 21.837
21,  8.360, -0.790, 20.371
22, 10.382, -0.773, 18.894
23, 13.115, -1.146, 18.218
24, 14.871, -1.432, 18.738
25, 15.929, -1.462, 19.087
26, 17.001, -1.620, 19.339
27, 18.244, -1.862, 19.682
28, 19.542, -1.835, 19.974
29, 20.741, -1.576, 20.350
30, 22.452, -1.474, 20.646
31, 24.875, -1.779, 20.988
32, 27.059, -1.801, 21.387
33, 30.529, -1.893, 20.944
34, 35.700, -2.340, 20.237
35, 41.360, -2.638, 19.318
36, 46.773, -3.006, 18.243
37, 52.989, -3.274, 17.472
38, 58.686, -3.709, 17.234
39, 63.471, -4.371, 17.068
40, 67.883, -5.081, 16.574
41, 71.491, -6.248, 16.189
42, 74.828, -7.295, 16.014
43, 78.246, -7.853, 16.059
44, 81.967, -8.152, 16.007
45, 85.272, -8.427, 15.532
46, 88.368, -8.424, 15.447
47,-87.010, -8.344, 15.258
48,-82.789, -8.293, 14.528
49,-78.771, -8.305, 13.817
50,-74.075, -8.768, 12.736
51,-76.109,  5.901, 12.480
52,-77.368,  8.632, 12.872
53,-74.272,  9.485, 13.707
54,-70.576, 10.312, 12.954
55,-63.657, 11.608, 10.491
56,-54.278,  9.597, 10.278
57,-47.662,  9.037, 10.060
58,-42.575,  8.975, 10.341
59,-37.181,  8.382, 10.399
60,-31.796,  7.762, 10.074
61,-27.053,  7.672, 10.003
62,-21.738,  8.427, 10.209
63,-16.992,  8.391,  9.949
64,-12.455,  8.234, 10.186
65, -8.236,  8.185, 10.378
66, -3.760,  8.163,  9.855
67,  0.519,  9.512,  7.281
68,  5.827, 10.219,  7.374
69, 12.235, 10.929,  7.038
70, 16.562, 11.504,  6.307
71, 21.986, 12.056,  6.103
72, 28.225, 12.388,  5.990
73, 34.606, 12.830,  5.395
74, 40.330, 13.661,  4.511
75, 44.209, 14.161,  4.597
76, 47.588, 14.296,  5.066
77, 50.796, 14.303,  5.675
78, 54.163, 14.514,  6.298
79, 56.551, 14.706,  7.039
80, 58.279, 15.429,  7.665
81, 60.272, 16.119,  8.157
82, 62.270, 16.697,  8.329
83, 65.309, 16.417,  8.221
84, 67.917, 15.252,  8.017
85, 70.412, 13.749,  7.387
86, 73.119, 12.570,  6.790
87, 74.854, 12.352,  6.798
88, 76.808, 12.666,  6.695
89, 79.044, 13.003,  6.646
90, 81.320, 13.070,  6.394
91, 84.723, 12.782,  6.001
92,-87.199, 11.220,  4.979
93,-78.562,  9.804,  3.721
94,-69.978,  8.955,  2.429
95,-64.961,  9.939,  3.801
96,-56.263, 10.217,  4.649
97,-46.190, 11.066,  4.555
98,-43.541, 12.125,  5.888
99,-40.333, 12.405,  7.636
100,-34.128, 13.232,  8.571
101,-29.054, 13.205,  8.908
102,-23.689, 12.889,  7.706
103,-18.440, 13.087,  6.082
104,-12.392, 12.911,  5.215
105, -7.473, 13.285,  5.142
106, -3.781, 14.070,  4.797
107,  1.750, 15.026,  4.850
108,  6.935, 15.404,  5.937
109, 10.830, 15.188,  7.563
110, 16.149, 14.469,  8.145
111, 22.858, 13.511,  7.877
112, 27.460, 13.192,  8.327
113, 32.777, 12.383,  8.942
114, 36.870, 11.355,  9.592
115, 41.507, 10.712, 11.378
116, 45.096, 11.064, 12.888
117, 48.284, 11.094, 13.393
118, 52.130, 10.374, 14.353
119, 54.926,  9.305, 15.590
120, 57.430,  8.778, 16.256
121, 59.526,  8.896, 16.099
122, 61.627,  9.317, 16.046
123, 63.519,  9.561, 15.816
124, 65.140,  9.436, 15.729
125, 66.320,  9.564, 15.553
126, 67.491,  9.533, 15.160
127, 67.218,  9.877, 14.725
128, 70.206, 10.888, 13.922
129, 76.659, 12.175, 13.335
130, 81.134, 12.981, 13.018
131, 83.875, 12.654, 13.006
132,-44.475, 14.597,  0.338
133,-38.247, 15.137,  0.326
134,-32.007, 15.840,  0.763
135,-25.114, 16.459,  0.756
136,-20.147, 17.656,  1.491
137,-15.499, 18.463,  2.255
138, -9.077, 17.808,  2.002
139, -1.853, 16.547,  1.868
140,  4.918, 15.425,  3.585
141,  9.910, 15.766,  5.317
142, 15.024, 15.922,  6.414
143, 19.018, 16.334,  7.654
144, 22.635, 15.901,  7.757
145, 26.936, 15.009,  8.874
146, 30.281, 13.708, 10.092
147, 32.146, 13.034, 11.225
148, 34.489, 12.365, 11.974
149, 36.320, 11.769, 12.884
150, 38.310, 11.290, 13.860
151, 39.322, 10.972, 15.055
152, 39.786, 10.845, 16.327
153, 40.395, 11.586, 16.685
154, 41.186, 12.056, 17.088
155, 41.574, 11.434, 18.237
156, 41.275, 11.807, 17.705
157, 40.388, 11.789, 16.440
158, 39.176, 12.158, 14.630
159, 37.802, 12.310, 13.480
160, 37.116, 11.890, 12.363
161, 37.652, 11.308, 10.994
162, 39.099, 10.687,  9.509
163, 42.177, 10.781,  8.945
164, 45.124, 10.422,  8.023
165, 48.005, 10.591,  6.984
166, 54.833,  9.333,  5.481
167, 61.475,  7.602,  4.985
168, 69.844,  5.904,  4.733
169, 75.795,  6.278,  4.800
170, 83.071,  7.096,  2.998
171, 89.163,  6.468,  1.953
172,-87.410,  6.182,  1.711
173,-82.864,  6.054,  1.290
174,-77.936,  5.502,  0.864
175,-73.351,  4.402,  0.640
176,-70.178,  3.521,  1.366
177,-67.176,  3.520,  2.331
