id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1, -0.023,  3.813, 13.772
2, -0.132,  3.915, 13.928
3, -0.258,  4.021, 14.104
4, -0.379,  4.118, 14.283
5, -0.494,  4.225, 14.469
6, -0.622,  4.325, 14.655
7, -0.733,  4.429, 14.839
8, -0.852,  4.538, 15.018
9, -0.955,  4.636, 15.188
10, -1.080,  4.737, 15.365
11, -1.208,  4.833, 15.509
12, -1.360,  4.928, 15.629
13, -1.519,  5.012, 15.752
14, -1.623,  5.116, 15.942
15, -1.709,  5.206, 16.108
16, -1.754,  5.287, 16.304
17, -1.658,  5.456, 16.529
18, -1.527,  5.686, 16.785
19, -1.188,  5.903, 17.598
20, -0.648,  6.494, 19.621
21, -0.021,  6.297, 21.161
22, -0.084,  6.687, 22.612
23,  0.125,  7.010, 24.465
24,  0.701,  7.186, 26.607
25,  0.874,  7.522, 28.753
26,  0.827,  7.770, 30.707
27,  0.834,  8.050, 32.743
28,  1.013,  8.296, 34.943
29,  0.826,  8.721, 36.935
30,  0.599,  9.122, 38.903
31,  0.403,  9.459, 40.922
32,  0.288,  9.957, 42.742
33,  0.791, 10.301, 44.755
34,  2.809, 10.005, 46.844
35,  4.613,  9.805, 49.002
36,  5.006, 10.223, 51.054
37,  4.228, 12.016, 53.319
38,  5.096, 12.407, 55.424
39,  8.512, 10.974, 57.312
40,  9.678, 10.765, 59.169
41,  8.518, 11.823, 60.750
42,  7.043, 13.603, 62.358
43,  6.089, 15.010, 64.017
44,  5.796, 15.628, 64.524
45,  4.156, 17.486, 65.079
46,  2.939, 19.473, 66.392
47,  1.406, 21.902, 67.985
48,  4.296, 21.274, 69.577
49, 11.623, 17.842, 71.386
50, 17.827, 16.580, 73.736
51, 23.653, 16.194, 76.378
52, 33.045, 12.540, 79.225
53, 55.134, -3.358, 81.636
54, 88.986,-31.226, 82.208
55,-59.588,-57.785, 81.335
56,-35.839,-76.289, 78.158
57,-21.255,-87.459, 74.070
58,-14.040, 89.991, 69.800
59,-10.889,-89.086, 66.510
60, -6.623,-89.880, 63.988
61, -3.754, 89.864, 61.647
62, -0.128, 87.731, 59.628
63,  1.958, 89.900, 57.235
64,  4.903,-88.202, 54.951
65,  2.187,-60.784, 52.933
66,  2.249,-58.501, 52.983
67,  3.338,-55.911, 52.395
68,  4.840,-52.003, 51.838
69,  4.339,-48.836, 50.971
70,  3.697,-45.337, 49.409
71,  4.382,-43.444, 48.248
72,  4.299,-40.967, 46.617
73,  3.709,-37.961, 45.183
74,  3.076,-35.217, 45.594
75,  2.831,-33.606, 45.983
76,  5.120,-31.037, 49.275
77,  8.234,-27.610, 52.851
78,  9.608,-24.088, 54.797
79, 11.756,-23.412, 53.609
80, 13.451,-22.915, 52.396
81, 15.355,-21.345, 53.825
82, 16.942,-19.388, 55.372
83, 17.385,-17.131, 56.200
84, 16.112,-15.722, 54.938
85, 16.784,-15.368, 54.670
86, 18.798,-13.149, 55.937
87, 20.148,-10.690, 57.038
88, 19.527, -7.800, 57.823
89, 17.935, -5.581, 57.689
90, 20.533, -5.157, 59.446
91, 26.457, -5.639, 61.181
92, 32.433, -4.777, 63.094
93, 37.401, -3.709, 64.132
94, 41.536, -0.147, 64.094
95, 45.255,  3.382, 64.499
96, 52.896,  1.985, 65.625
97, 63.408, -3.824, 66.493
98, 72.559, -7.047, 66.320
99, 75.263, -7.504, 66.296
100, 76.648, -5.702, 65.956
101, 80.564, -6.093, 65.352
102, 86.399, -7.673, 65.185
103,-88.770, -7.971, 64.605
104,-85.163, -7.629, 63.931
105,-82.546, -5.814, 63.893
106,-78.425, -4.812, 63.557
107,-74.332, -3.723, 63.706
108,-69.929, -1.651, 63.545
109,-65.085, -1.094, 63.084
110,-60.941, -1.147, 62.214
111,-58.505, -0.316, 61.796
112,-56.629,  0.829, 61.561
113,-53.544,  0.849, 62.135
114,-48.048, -1.662, 63.706
115,-42.594, -5.738, 64.228
116,-37.871,-10.203, 63.483
117,-32.816,-13.796, 62.450
118,-28.756,-15.575, 61.398
119,-26.556,-16.043, 60.007
120,-24.734,-16.444, 58.730
121,-23.113,-16.159, 59.301
122,-21.011,-16.334, 59.833
123,-18.768,-16.796, 60.138
124,-17.526,-16.525, 60.388
125,-17.446,-14.446, 60.994
126,-17.282,-11.687, 61.391
127,-17.814, -9.249, 61.636
128,-18.469, -6.564, 61.692
129,-20.989, -2.319, 61.478
130,-21.358,  1.585, 61.046
131,-22.216,  6.372, 59.867
132,-21.763, 11.476, 58.226
133,-18.143, 15.698, 57.397
134,-11.325, 16.898, 58.712
135, -4.521, 17.714, 59.994
136,  2.166, 19.500, 60.157
137,  8.206, 20.798, 60.255
138, 15.318, 20.847, 60.634
139, 22.216, 19.522, 61.286
140, 37.712, 32.729, 59.698
141, 40.577, 33.414, 59.576
142, 44.731, 33.021, 59.889
143, 47.962, 33.285, 60.656
144, 50.613, 33.434, 61.409
145, 53.956, 31.997, 62.075
146, 57.845, 30.108, 62.678
147, 56.923, 31.766, 62.664
148, 54.513, 36.414, 62.376
149, 52.723, 39.336, 63.294
150, 52.411, 40.766, 64.824
151, 52.479, 42.196, 65.865
152, 54.801, 41.514, 66.239
153, 59.596, 37.812, 67.040
154, 64.199, 34.144, 67.611
155, 65.747, 33.354, 67.901
156, 67.013, 33.562, 68.277
157, 68.669, 33.515, 68.348
158, 71.469, 31.280, 66.836
159, 75.392, 28.957, 65.068
