id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1, -0.037,  6.618,  4.243
2, -0.140,  6.769,  4.410
3, -0.243,  6.913,  4.593
4, -0.310,  7.053,  4.794
5, -0.389,  7.192,  4.977
6, -0.616,  7.487,  5.152
7, -0.742,  7.647,  5.329
8, -0.833,  7.774,  5.492
9, -0.952,  7.917,  5.673
10, -1.055,  8.054,  5.853
11, -1.155,  8.195,  6.050
12, -1.256,  8.338,  6.248
13, -1.356,  8.468,  6.435
14, -1.444,  8.606,  6.627
15, -1.528,  8.739,  6.798
16, -1.611,  8.896,  7.012
17, -1.713,  9.021,  7.199
18, -1.638,  9.638,  7.735
19, -2.280, 10.432,  8.107
20, -3.208, 11.359,  8.335
21, -4.582, 12.267,  8.242
22, -5.842, 12.826,  8.495
23, -6.950, 13.728,  9.283
24, -7.653, 14.710,  9.544
25, -8.890, 16.537,  8.448
26, -9.775, 17.696,  9.559
27,-10.985, 19.062, 11.215
28,-12.883, 20.985, 13.419
29,-13.148, 21.491, 12.085
30,-13.037, 21.639, 10.925
31,-13.199, 22.208, 10.877
32,-13.566, 22.948, 10.538
33,-14.030, 24.099,  9.675
34,-15.411, 27.035, 10.315
35,-16.980, 30.783, 12.118
36,-19.008, 33.608, 14.933
37,-21.929, 37.072, 17.953
38,-24.849, 40.911, 20.141
39,-26.865, 44.497, 22.125
40,-28.659, 47.209, 23.293
41,-30.662, 50.008, 24.037
42,-32.412, 52.681, 23.988
43,-33.727, 54.712, 23.919
44,-34.813, 56.704, 23.925
45,-35.506, 58.799, 24.979
46,-35.288, 61.015, 26.160
47,-35.050, 63.028, 27.400
48,-33.972, 64.685, 27.419
49,-33.452, 65.918, 26.437
50,-33.658, 67.650, 26.330
51,-31.168, 68.440, 25.956
52,-29.185, 69.750, 25.234
53,-29.824, 71.851, 24.306
54,-31.850, 74.364, 23.140
55,-33.539, 76.759, 21.850
56,-32.577, 79.686, 21.965
57,-31.615, 82.815, 21.955
58,-30.958, 86.615, 21.822
59,-31.126, 89.081, 20.046
60,-28.653,-85.868, 20.648
61,-27.604,-83.741, 19.076
62,-27.425,-80.745, 17.665
63,-27.395,-78.585, 16.691
64,-25.990,-76.351, 15.492
65,-27.497,-73.042, 12.153
66,-27.868,-68.476,  8.158
67,-27.502,-65.010,  4.815
68,-25.542,-61.138,  0.907
69,-22.392,-57.952, -2.609
70,-19.168,-55.037, -5.276
71,-11.492,-50.127, -8.084
72, -0.637,-43.304, -9.442
73, 10.818,-37.373, -9.812
74,  7.214,-36.234, -9.184
75,  3.381,-34.643, -7.948
76,  1.610,-32.208, -6.738
77, 18.186,-14.293,-15.108
78, 23.642,-11.474,-15.753
79, 31.955, -7.789,-15.825
80, 36.422, -4.672,-15.819
81, 36.539, -1.474,-17.341
82, 35.344, -0.149,-16.505
83, 33.126,  1.175,-15.208
84, 31.395,  2.061,-14.863
85, 30.025,  4.228,-15.035
86, 29.359,  7.596,-15.293
87, 28.183, 11.614,-16.010
88, 29.347, 15.576,-16.775
89, 29.216, 18.164,-17.986
90, 29.011, 21.442,-19.387
91, 28.387, 24.487,-20.105
92, 27.695, 27.448,-20.274
93, 26.514, 30.212,-19.689
94, 26.099, 32.366,-19.098
95, 25.568, 33.695,-18.292
96, 24.135, 33.105,-16.519
97, 23.557, 33.631,-15.378
98, 23.739, 34.679,-14.792
99, 23.483, 34.607,-14.936
100, 22.361, 34.871,-14.888
101, 22.864, 38.584,-14.658
102, 23.803, 43.331,-14.944
103, 24.615, 48.308,-14.383
104, 23.363, 51.925,-12.733
105, 22.271, 54.873,-11.201
106, 21.607, 57.252,-10.301
107, 21.629, 59.445, -9.853
108, 22.411, 61.887, -9.574
109, 23.083, 64.221, -9.266
110, 23.663, 66.415, -8.863
111, 25.039, 68.547, -8.718
112, 26.359, 70.700, -8.450
113, 28.078, 73.128, -8.213
114, 29.163, 75.687, -7.801
115, 29.919, 77.993, -7.169
116, 33.221, 79.539, -7.078
117, 32.686, 80.165, -5.731
118, 32.211, 81.270, -4.492
119, 32.230, 83.078, -2.674
120, 32.268, 85.516, -1.199
121, 33.468, 88.384, -0.029
122, 33.662,-88.853,  0.948
123, 33.700,-85.189,  2.096
124, 33.055,-80.903,  3.392
125, 31.710,-75.704,  4.813
126, 29.434,-69.034,  6.095
127, 26.619,-58.855, 10.510
128, 23.683,-50.863, 12.897
129, 21.244,-45.700, 15.021
130, 18.480,-40.337, 16.755
131, 15.075,-34.278, 18.360
132, 12.960,-29.467, 19.804
133, 10.775,-24.842, 20.617
134,  5.906,-17.738, 20.933
135, -1.333, -7.731, 21.042
136, -5.888, -2.009, 21.535
137, -8.875,  1.807, 20.652
138,-12.761,  5.991, 19.513
139,-17.166, 10.078, 18.405
140,-20.590, 12.900, 16.481
141,-22.293, 14.924, 15.341
142,-23.727, 15.923, 14.454
143,-25.123, 18.066, 12.497
144,-25.611, 18.911,  9.527
145,-26.245, 18.822,  7.190
146,-27.116, 19.910,  6.198
147,-28.518, 22.254,  7.485
148,-29.875, 24.545,  7.625
149,-30.735, 25.861,  7.505
150,-30.834, 26.440,  7.484
151,-30.043, 26.783,  6.805
152,-28.623, 27.430,  5.751
153,-27.279, 29.038,  5.612
154,-27.214, 29.224,  8.296
155,-27.545, 30.256,  8.668
156,-26.958, 31.554,  8.250
157,-26.442, 32.925,  6.731
158,-38.642, 57.266, -7.385
159,-39.757, 60.137, -9.966
160,-39.820, 63.702,-11.586
161,-40.217, 66.985,-12.259
162,-39.049, 70.370,-12.101
163,-37.838, 72.923,-12.200
164,-38.448, 76.847,-16.198
165,-36.755, 81.069,-18.093
166,-37.918, 87.278,-21.966
167,-39.776,-86.036,-25.541
168,-40.026,-82.564,-26.237
169,-41.312,-78.985,-27.652
170,-42.380,-73.682,-30.428
171,-42.008,-68.436,-32.577
172,-39.163,-63.753,-34.609
173,-36.780,-59.213,-37.531
174,-35.074,-53.251,-40.363
175,-33.370,-45.871,-41.447
176,-35.117,-38.883,-38.603
177,-31.424,-31.702,-32.887
178,-29.098,-29.467,-30.926
179,-29.724,-28.545,-31.315
180,-28.385,-28.449,-31.059
181,-22.232,-23.691,-31.200
182,-14.170,-16.129,-30.547
183,-10.295,-13.460,-26.104
184,-10.607,-12.676,-24.646
185,-10.539,-10.523,-25.065
186,-10.544, -9.824,-24.778
187, -9.071, -8.577,-24.949
188, -9.966, -7.341,-25.768
189, -9.853, -5.844,-27.946
190, -8.006, -1.689,-30.425
191, -8.006,  0.440,-31.965
192, -7.462,  1.681,-32.269
193, -6.860,  3.652,-31.841
194, -7.325,  9.096,-31.927
195,-10.443, 15.245,-32.972
196,-11.354, 21.259,-33.631
197, -9.120, 27.605,-34.875
198, -6.815, 32.687,-34.999
199, -4.455, 36.262,-33.552
200, -5.268, 37.491,-33.090
201, -7.913, 36.280,-34.248
202, -6.462, 37.302,-35.128
203, -5.150, 40.791,-35.839
204, -2.585, 46.451,-36.073
205,  3.266, 52.199,-35.700
206,  7.058, 54.617,-34.518
207, 10.297, 58.770,-34.922
208, 13.805, 62.587,-34.192
209, 16.823, 65.533,-32.033
210, 20.596, 68.647,-29.794
211, 23.298, 72.334,-28.725
212, 24.277, 74.746,-28.524
213, 24.621, 76.136,-28.167
214, 23.635, 76.231,-27.432
215, 20.535, 77.257,-26.615
216, 23.806, 77.976,-23.532
217, 25.615, 80.146,-21.556
218, 28.188, 81.765,-20.203
219, 29.464, 83.157,-18.889
220, 31.852, 86.027,-16.489
221, 33.348, 89.403,-13.622
222, 34.179,-88.293,-11.205
223, 36.755,-86.316, -8.685
224, 38.885,-84.111, -6.095
225, 38.768,-81.641, -3.692
226, 37.291,-79.287, -1.111
227, 36.360,-76.243,  0.824
228, 34.770,-72.340,  2.753
229, 33.268,-67.990,  5.094
230, 31.011,-62.580,  8.160
231, 28.411,-56.555, 11.513
232, 24.289,-48.729, 14.337
233, 19.658,-42.178, 17.083
234, 15.886,-35.827, 19.371
235, 12.362,-30.158, 21.328
236,  7.918,-24.497, 22.370
237,  3.804,-21.345, 23.431
238,  0.088,-18.423, 24.476
239,-16.688, -8.454, 33.071
240,-18.831, -6.520, 33.379
241,-20.376, -5.412, 34.319
242,-22.135, -4.238, 35.317
243,-21.694, -2.575, 35.165
244,-20.358,  2.574, 36.880
245,-22.964,  8.027, 38.544
246,-24.756, 10.923, 37.111
247,-24.669, 12.931, 34.877
248,-23.677, 14.081, 33.511
249,-23.945, 16.098, 32.335
250,-24.671, 19.276, 32.368
251,-25.447, 21.223, 31.530
252,-25.586, 22.396, 30.773
253,-26.221, 23.983, 29.409
254,-27.710, 26.728, 28.411
255,-29.819, 30.036, 28.014
256,-32.538, 34.600, 27.499
257,-34.887, 38.158, 26.530
258,-36.774, 41.141, 25.759
259,-38.955, 44.359, 25.450
260,-40.824, 47.563, 25.407
261,-42.923, 49.990, 24.233
262,-44.722, 51.942, 23.843
263,-45.904, 53.992, 24.117
264,-47.715, 56.717, 23.643
265,-49.982, 58.836, 22.508
266,-51.339, 60.632, 22.448
267,-53.938, 61.284, 19.465
268,-56.004, 62.121, 16.798
269,-60.239, 64.638, 12.765
270,-60.849, 67.682,  8.300
271,-58.727, 69.799,  6.439
272,-56.384, 73.130,  4.553
273,-53.324, 76.874,  2.555
274,-51.951, 79.281,  0.914
275,-49.663, 82.466, -0.350
276,-46.490, 86.559, -1.118
277,-43.312, 89.977, -1.801
278,-40.009,-86.908, -2.292
279,-36.450,-82.169, -3.062
280,-34.311,-77.982, -4.097
281,-32.656,-75.472, -4.549
282,-30.552,-72.935, -5.123
283,-29.116,-70.079, -6.408
284,-27.310,-66.737, -8.789
285,-25.382,-64.977,-10.602
286,-24.391,-63.746,-12.249
287,-24.988,-62.212,-13.633
288,-25.964,-60.758,-15.045
289,-25.389,-59.067,-17.113
290,-26.039,-57.695,-18.609
291,-26.079,-55.880,-19.636
292,-26.433,-54.306,-20.564
293,-24.649,-52.151,-21.878
294,-21.225,-48.162,-26.048
295,-16.225,-46.339,-28.548
296,-12.705,-44.859,-30.070
297, -9.205,-42.601,-31.352
298, -5.870,-40.495,-32.780
299, -1.682,-38.716,-33.331
300,  0.614,-36.896,-34.100
301,  4.542,-34.630,-35.484
302,  8.379,-31.923,-36.880
303, 11.018,-29.357,-36.831
304, 11.139,-27.959,-36.410
305, 10.507,-27.415,-35.775
306,  9.928,-26.783,-34.903
307,  8.967,-26.079,-33.938
308,  7.936,-24.209,-33.173
309,  6.353,-21.802,-32.869
310,  5.141,-19.271,-32.923
311,  2.906,-17.053,-33.624
312, -0.324,-14.772,-34.793
313, 17.028,  1.885,-17.006
314, 18.143,  4.025,-15.121
315, 16.083,  6.545,-15.758
316, 16.206,  8.174,-14.795
317, 16.343, 10.042,-14.030
318, 16.910, 12.869,-13.736
319, 17.847, 16.415,-13.674
320, 20.738, 20.029,-13.091
321, 23.308, 23.355,-11.982
322, 24.809, 26.674,-10.891
323, 25.915, 30.655, -9.870
324, 27.838, 35.005, -8.821
325, 29.994, 38.602, -7.282
326, 35.758, 40.945, -4.474
327, 39.507, 42.111, -1.734
328, 42.048, 43.679,  1.559
329, 42.573, 45.509,  3.097
330, 43.405, 47.629,  4.321
331, 43.840, 49.648,  5.817
332, 42.669, 53.037,  7.313
333, 39.923, 57.402,  9.160
334, 37.852, 61.082, 11.242
335, 36.067, 64.583, 13.154
336, 34.321, 68.439, 15.218
337, 31.684, 73.073, 16.493
338, 29.209, 77.250, 18.064
339, 25.154, 83.522, 19.000
340, 21.754, 88.409, 19.109
341, 19.894,-87.753, 18.690
342, 15.605,-82.586, 18.072
343, 12.234,-78.437, 18.033
344,  9.938,-74.613, 18.374
345,  7.656,-71.158, 18.727
346,  5.590,-68.149, 19.084
347,  2.064,-64.407, 19.300
348, -1.724,-60.507, 18.926
349, -3.545,-57.917, 18.403
350, -4.091,-56.126, 17.987
351, -4.993,-54.365, 17.271
352, -8.435,-50.524, 18.906
