id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1, -0.027,  3.467,  7.324
2, -0.118,  3.562,  7.502
3, -0.208,  3.660,  7.698
4, -0.302,  3.752,  7.874
5, -0.396,  3.838,  8.058
6, -0.489,  3.941,  8.246
7, -0.600,  4.046,  8.439
8, -0.686,  4.123,  8.598
9, -0.781,  4.215,  8.778
10, -0.873,  4.326,  8.960
11, -0.973,  4.434,  9.133
12, -1.059,  4.529,  9.315
13, -1.155,  4.639,  9.503
14, -1.256,  4.744,  9.687
15, -1.363,  4.805,  9.859
16, -1.470,  4.562, 10.057
17, -1.443,  3.792, 10.000
18, -1.267,  1.837,  9.538
19, -1.498, -0.562,  8.661
20, -2.078, -3.084,  7.359
21, -2.612, -5.410,  5.644
22, -3.029, -7.403,  3.785
23, -3.498, -9.223,  1.852
24, -3.731,-11.032, -0.037
25, -3.675,-12.686, -1.324
26, -3.158,-14.804, -1.416
27, -3.026,-16.741, -1.047
28, -3.114,-18.884, -0.775
29, -3.296,-21.072, -1.013
30, -3.433,-23.088, -1.789
31, -3.408,-25.087, -3.294
32, -3.269,-27.268, -5.518
33, -3.009,-29.880, -7.395
34,  0.249,-31.898, -9.056
35, -0.402,-33.807, -8.609
36,  0.789,-35.609, -7.617
37,  1.261,-37.144, -5.271
38,  1.934,-38.660, -2.213
39,  1.506,-39.372,  1.264
40,  2.039,-40.832,  4.073
41,  3.252,-42.845,  5.053
42,  3.687,-45.048,  5.619
43,  3.277,-46.201,  6.366
44,  2.776,-47.448,  6.926
45,  2.429,-48.859,  7.273
46,  1.776,-50.672,  7.567
47,  2.701,-53.119,  7.406
48,  2.798,-54.673,  7.212
49,  3.773,-55.327,  6.694
50,  6.935,-55.606,  5.322
51,  8.564,-54.501,  2.438
52, 11.302,-62.224,  4.305
53, 14.076,-66.023,  7.078
54, 15.920,-69.788,  9.876
55, 18.449,-73.981, 10.980
56, 17.918,-77.273, 11.308
57, 17.611,-80.147, 12.684
58, 17.336,-81.310, 13.091
59, 16.371,-82.423, 13.282
60, 14.458,-84.282, 14.485
61, 13.596,-85.965, 16.109
62, 12.550,-87.752, 18.653
63, 11.220,-89.368, 20.071
64, 10.398, 89.088, 19.640
65,  9.776, 87.364, 19.527
66,  6.216, 76.869, -4.315
67,  5.217, 75.221, -4.232
68,  5.022, 72.010, -4.203
69,  5.310, 69.136, -4.777
70,  6.602, 65.697, -4.634
71,  8.076, 62.856, -4.400
72,  9.209, 60.301, -3.804
73, 10.125, 57.236, -3.143
74, 11.332, 53.883, -3.923
75, 11.529, 51.004, -3.666
76, 11.375, 48.280, -3.388
77,  8.553, 45.059, -5.020
78,  7.477, 42.103, -5.961
79,  5.963, 38.852, -6.548
80,  5.343, 34.866, -7.372
81,  4.943, 30.634, -7.437
82,  4.791, 26.391, -6.933
83,  4.900, 22.485, -6.130
84,  4.391, 18.209, -5.360
85,  1.996, 11.899, -4.739
86, -1.380,  5.429, -4.745
87, -4.274, -1.190, -4.990
88, -5.268, -8.141, -5.651
89, -5.455,-16.126, -6.328
90, -5.960,-25.913, -7.217
91, -1.484,-35.703, -8.935
92,  7.197,-45.798,-11.587
93, 15.400,-54.689,-13.885
94, 18.229,-62.068,-13.762
95, 14.571,-67.838, -9.760
96, 13.461,-73.301, -7.299
97, 13.370,-78.970, -5.221
98, 13.368,-84.358, -2.884
99, 13.159, 89.898, -0.084
100, 13.431, 86.299,  1.943
101, 13.833, 83.648,  2.789
102, 12.797, 81.437,  3.722
103, 12.326, 79.918,  5.082
104, 11.601, 78.923,  6.653
105, 11.252, 78.321,  8.279
106, 11.242, 78.135, 10.111
107, 11.180, 78.250, 12.111
108, 10.999, 77.158, 13.195
109, 10.669, 75.958, 13.916
110, 10.088, 74.799, 14.582
111,  9.771, 73.895, 15.042
112,  9.959, 72.948, 15.742
113,  9.042, 74.301, 16.575
114,  8.914, 75.913, 18.126
115,  9.657, 75.161, 18.623
116, 11.940, 74.540, 19.499
117, 12.748, 74.208, 19.698
118, 12.167, 74.262, 19.903
119, 12.642, 73.522, 19.919
120, 12.942, 72.471, 20.006
121, 13.501, 72.211, 20.826
122, 14.003, 71.922, 21.747
123, 13.868, 70.548, 21.193
124, 14.254, 69.091, 20.716
125, 14.912, 67.155, 20.594
126, 15.454, 64.837, 20.841
127, 15.677, 62.268, 21.080
128, 15.622, 60.150, 21.230
129, 16.029, 58.530, 21.094
130, 15.549, 56.210, 20.864
131, 15.551, 54.191, 20.601
132, 14.510, 51.749, 20.342
133, 12.946, 49.401, 20.554
134, 11.553, 47.184, 21.084
135, 10.167, 44.444, 21.509
136,  8.774, 41.162, 21.943
137,  7.073, 37.809, 22.678
138,  5.897, 35.744, 23.428
139,  4.733, 34.535, 23.971
140,  3.740, 33.380, 24.470
141,  2.988, 29.715, 25.515
142,  0.167, 25.665, 28.295
143,  0.429, 23.562, 27.974
144,  1.637, 21.521, 28.425
145, 25.565,  3.122, 17.390
146, 26.671,  2.067, 15.514
147, 27.728,  0.955, 13.000
148, 28.139, -0.607, 10.649
149, 26.391, -1.462,  9.174
150, 25.102, -3.104,  8.819
151, 23.539, -5.683,  8.976
152, 23.415, -8.651,  8.741
153, 23.975,-11.901,  6.902
154, 24.881,-15.539,  4.243
155, 25.665,-18.430,  1.655
156, 24.931,-19.828,  0.529
157, 23.619,-20.096, -0.167
158, 23.434,-19.854, -2.243
159, 23.792,-20.152, -4.876
160, 24.070,-20.656, -6.626
161, 22.437,-21.133, -6.421
162, 22.284,-23.279, -6.779
163, 23.864,-25.521, -7.971
164, 24.984,-28.418, -8.935
165, 26.658,-31.642,-10.380
166, 28.572,-33.384,-12.859
167, 31.958,-35.291,-15.779
168, 37.458,-36.882,-18.637
169, 39.664,-37.603,-19.516
170, 39.694,-39.091,-18.623
171, 38.798,-41.298,-17.399
172, 36.738,-42.641,-16.444
173, 36.245,-43.300,-16.195
174, 37.594,-44.149,-15.656
175, 37.981,-45.197,-14.630
176, 36.614,-47.334,-13.862
177, 31.877,-50.089,-12.512
178, 28.473,-52.991,-10.188
179, 24.932,-56.058, -6.964
180, 23.649,-58.229, -4.707
181, 21.150,-60.021, -3.558
