id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1,  0.270, -8.847,  6.393
2,  0.911, -8.672,  6.816
3,  1.296, -8.491,  7.168
4,  1.560, -8.195,  7.296
5,  1.708, -7.891,  7.484
6,  1.821, -7.504,  7.658
7,  1.762, -7.094,  7.802
8,  1.802, -6.916,  7.945
9,  2.115, -6.832,  8.075
10,  2.559, -6.842,  8.154
11,  2.836, -6.854,  8.241
12,  3.129, -7.021,  8.354
13,  3.944, -7.418,  8.415
14,  5.234, -7.838,  8.396
15,  7.437, -8.577,  8.354
16, 11.422, -9.638,  8.102
17, 16.203,-10.901,  7.562
18, 22.031,-12.256,  6.908
19, 27.697,-13.593,  6.391
20, 34.906,-14.494,  5.939
21, 42.037,-15.657,  5.303
22, 48.752,-16.668,  4.587
23, 54.510,-17.401,  3.394
24, 59.749,-17.762,  2.414
25, 64.568,-18.171,  1.827
26, 69.303,-18.530,  1.304
27, 74.157,-18.937,  0.801
28, 78.898,-19.504, -0.283
29, 83.023,-20.201, -0.862
30, 88.128,-20.425, -1.387
31,-87.111,-20.450, -2.072
32,-83.591,-20.086, -2.534
33,-80.727,-20.182, -2.743
34,-77.359,-20.282, -2.575
35,-75.011,-20.248, -1.980
36,-72.862,-20.132, -1.548
37,-70.684,-19.574, -1.380
38,-69.711,-18.975, -1.339
39,-69.680,-18.449, -0.795
40,-69.484,-17.989, -0.579
41,-68.636,-17.570, -0.119
42,-67.867,-16.795,  0.480
43,-68.509,-16.201,  1.198
44,-67.132,-16.600,  1.975
45,-62.118,-18.867,  0.735
46,-56.840,-21.031, -0.916
47,-54.112,-22.024, -2.317
48,-52.325,-21.032, -3.573
49,-50.324,-19.696, -4.593
50,-48.607,-18.106, -4.549
51,-47.093,-16.528, -4.691
52,-45.538,-15.655, -4.221
53,-43.694,-15.157, -4.531
54,-41.921,-13.870, -5.390
55,-40.382,-13.604, -6.484
56,-39.773,-13.601, -6.487
57,-38.322,-13.835, -5.745
58,-36.054,-14.211, -4.786
59,-33.470,-14.235, -3.795
60,-30.525,-13.804, -2.564
61,-27.716,-14.057, -1.235
62,-24.858,-14.149, -0.879
63,-21.376,-14.646, -1.099
64,-19.040,-13.289, -1.883
65,-16.598,-12.509, -1.806
66,-14.683,-11.601, -0.313
67,-12.280,-10.579,  0.539
68,-10.440, -9.849,  2.039
69, -7.934, -9.910,  2.503
70, -5.734, -9.475,  2.506
71, -3.675, -9.737,  3.840
72, -1.893,-10.086,  4.552
73, -0.192,-10.326,  5.001
74,  1.972,-11.399,  6.717
75,  3.748,-12.051,  9.366
76,  4.709, -9.436, 11.247
77,  4.776, -6.427, 11.747
78,  4.802, -4.624, 10.992
79,  5.381, -4.437,  9.915
80, -4.473,-23.097,-13.458
81, -1.554,-23.243,-13.001
82,  1.108,-23.355,-13.021
83,  3.844,-23.144,-13.326
84,  7.267,-24.417,-13.788
85, 13.133,-26.780,-13.812
86, 17.666,-27.728,-14.805
87, 20.186,-27.621,-15.132
88, 23.708,-26.773,-15.429
89, 28.747,-26.089,-16.512
90, 32.704,-25.948,-17.350
91, 37.273,-25.691,-17.391
92, 41.975,-24.917,-18.099
93, 46.785,-24.317,-19.541
94, 50.210,-24.950,-20.155
95, 53.102,-26.092,-20.165
96, 57.273,-27.423,-19.325
97, 62.588,-29.260,-18.762
98, 67.329,-30.905,-18.362
99, 70.368,-31.150,-18.446
100, 72.527,-30.396,-18.804
101, 74.804,-30.663,-19.128
102, 76.990,-30.749,-19.261
103, 78.865,-30.613,-19.545
104, 80.682,-30.480,-19.802
105, 82.071,-30.233,-20.021
106, 81.414,-29.651,-19.745
107, 81.386,-28.220,-19.467
