id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1,  0.027, -0.857, 21.435
2, -0.012, -0.783, 21.715
3, -0.144, -0.705, 21.876
4, -0.266, -0.639, 22.054
5, -0.374, -0.557, 22.230
6, -0.460, -0.531, 22.389
7, -0.554, -0.472, 22.568
8, -0.621, -0.384, 22.755
9, -0.727, -0.252, 22.919
10, -0.834, -0.119, 23.083
11, -0.953,  0.059, 23.238
12, -1.030,  0.167, 23.368
13, -1.120,  0.354, 23.518
14, -1.242,  0.552, 23.635
15, -1.255,  0.646, 23.747
16, -1.267,  0.721, 23.893
17, -1.267,  1.013, 24.033
18, -0.954,  1.310, 24.071
19, -0.801,  1.529, 23.448
20, -0.120,  1.524, 23.103
21,  0.604,  1.713, 22.800
22,  1.577,  2.212, 22.200
23,  4.906,  2.404, 22.418
24,  8.625,  2.067, 22.263
25, 12.623,  1.560, 21.892
26, 15.787,  1.424, 21.031
27, 19.666,  1.391, 20.393
28, 24.667,  1.119, 19.905
29, 30.663,  0.087, 19.321
30, 37.347, -0.694, 18.659
31, 42.990, -1.200, 18.374
32, 48.276, -1.186, 18.101
33, 54.093, -1.163, 17.887
34, 61.317, -1.342, 17.371
35, 68.359, -1.570, 16.761
36, 71.425, -2.161, 16.717
37, 75.118, -2.438, 17.044
38, 80.884, -2.853, 17.256
39, 86.856, -3.380, 16.875
40,-88.269, -4.104, 16.552
41,-84.312, -4.642, 16.050
42,-79.402, -4.762, 15.497
43,-74.417, -4.406, 14.419
44,-71.084, -3.929, 13.450
45,-69.002, -3.827, 12.944
46,-66.401, -3.598, 12.693
47,-63.784, -3.135, 12.515
48,-61.568, -2.218, 12.465
49,-59.962, -1.682, 12.331
50,-58.584, -1.623, 12.248
51,-57.127, -1.813, 12.190
52,-55.511, -1.225, 12.502
53,-53.774, -1.482, 11.844
54,-52.766, -1.189, 12.151
55,-51.928, -0.814, 12.545
56,-50.552, -0.447, 12.523
57,-49.115, -0.217, 11.377
58,-47.460,  1.130,  9.957
59,-46.162,  2.553, 10.331
60,-45.242,  3.126,  9.889
61,-44.605,  3.075, 10.003
62,-44.269,  1.018,  9.631
63,-45.671, -0.968,  9.363
64,-46.751, -3.245,  8.900
65,-83.798,-12.472,-56.629
66, 80.094,-22.182,-66.620
67, 61.989,-35.400,-70.887
68, 47.189,-45.306,-72.998
69, 39.447,-51.993,-73.432
70, 30.774,-58.912,-72.417
71, 26.224,-64.260,-70.948
72, 22.647,-69.612,-69.372
73,  2.030,-81.877,-72.653
74,-31.504, 82.790,-77.113
75,-37.671, 83.035,-77.639
76,-35.085, 83.483,-77.414
77,-35.941, 83.464,-74.789
78,-35.541, 83.007,-72.091
79,-34.491, 86.262,-70.039
80,-34.027, 89.040,-68.793
81,-32.768,-89.312,-67.998
82,-28.814,-87.801,-67.258
83,-25.379,-85.489,-66.742
84,-19.136,-82.340,-66.495
85,-15.960,-85.014,-65.897
86,-12.426,-88.230,-66.121
87, -5.246,-86.394,-66.129
88,  1.852,-86.731,-64.884
89,  8.675,-86.608,-63.294
90, 19.137,-85.386,-61.587
91, 28.843,-84.670,-58.376
92, 38.080,-84.881,-54.435
93, 40.230,-87.642,-50.825
94, 41.318, 89.091,-47.207
