id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1, -0.056,  3.410, 21.314
2, -0.369,  3.580, 21.587
3, -0.760,  3.729, 21.899
4, -1.071,  3.889, 22.141
5, -1.206,  3.980, 22.313
6, -1.289,  4.110, 22.521
7, -1.361,  4.260, 22.724
8, -1.399,  4.296, 22.859
9, -1.508,  4.375, 23.024
10, -1.664,  4.432, 23.203
11, -1.853,  4.493, 23.382
12, -2.051,  4.561, 23.531
13, -2.154,  4.522, 23.567
14, -2.247,  4.415, 23.581
15, -2.405,  4.354, 23.573
16, -2.595,  4.452, 23.615
17, -2.720,  4.599, 23.797
18, -2.836,  4.739, 23.971
19, -2.973,  4.867, 24.147
20, -3.114,  4.965, 24.309
21, -3.221,  5.051, 24.459
22, -3.361,  5.260, 24.579
23, -3.409,  5.415, 24.675
24, -3.406,  5.580, 24.723
25, -3.338,  5.673, 24.766
26, -3.302,  5.773, 24.835
27, -3.266,  5.961, 24.919
28, -2.946,  6.142, 24.960
29, -2.513,  6.228, 24.978
30, -2.409,  6.820, 25.084
31, -2.367,  7.072, 25.470
32, -2.098,  6.828, 26.148
33, -2.038,  6.263, 26.922
34, -1.877,  5.098, 27.556
35, -1.427,  3.370, 28.027
36, -0.903,  1.644, 28.413
37,  0.073, -0.143, 28.556
38,  0.698, -1.165, 28.582
39,  1.293, -2.010, 28.718
40,  1.823, -2.562, 29.106
41,  3.009, -3.695, 29.801
42,  4.975, -5.909, 30.520
43,  7.124, -7.978, 31.221
44,  9.161,-10.535, 32.002
45, 11.688,-13.329, 32.880
46, 14.396,-16.387, 33.668
47, 16.586,-19.214, 34.641
48, 18.644,-22.013, 36.173
49, 21.236,-24.672, 37.374
50, 24.236,-27.043, 37.685
51, 26.626,-29.414, 37.899
52, 28.381,-31.876, 38.409
53, 29.933,-34.350, 39.047
54, 31.673,-36.491, 38.701
55, 33.270,-37.896, 38.196
56, 34.614,-39.210, 37.789
57, 36.545,-41.078, 37.623
58, 36.905,-42.628, 36.830
59, 36.722,-43.300, 35.980
60, 34.663,-42.610, 34.977
61, 29.622,-42.443, 37.109
62, 24.781,-41.693, 39.482
63, 23.122,-44.220, 40.423
64, 23.675,-48.360, 38.656
65, 24.463,-50.401, 34.612
66, 24.196,-52.981, 32.256
67, 23.584,-55.045, 29.453
68, 22.339,-56.849, 28.538
69, 21.539,-60.935, 28.809
70, 20.911,-65.676, 29.954
71, 20.250,-70.964, 30.339
72, 20.330,-76.763, 29.818
73, 21.627, 55.839, 22.355
74, 23.917, 51.276, 20.448
75, 25.317, 47.350, 18.618
76, 25.803, 43.057, 16.779
77, 25.240, 37.479, 14.652
78, 22.964, 33.184, 13.159
79, 23.953, 28.779, 11.644
80, 23.669, 24.420,  9.954
81, 23.109, 20.658,  8.023
82, 23.188, 17.321,  6.303
83, 23.605, 14.399,  4.513
84, 23.409, 12.580,  3.146
85, 21.314, 10.074,  2.621
86, 20.380,  7.654,  1.713
87, 20.413,  5.771,  0.388
88, 19.479,  4.082, -0.853
89, 18.734,  1.451, -1.652
90, 18.939, -1.666, -2.312
91, 20.538, -5.752, -3.361
92, 21.601, -9.375, -3.734
93, 21.907,-12.150, -3.209
94, 22.374,-14.039, -2.300
95, 23.541,-13.742, -3.605
96, 23.333,-13.738, -5.300
97, 22.611,-14.812, -7.037
98, 22.155,-16.334, -7.457
99, 21.657,-19.461, -6.537
100, 20.958,-23.547, -6.408
101, 19.693,-27.433, -7.307
102, 18.606,-31.422, -8.245
103, 17.674,-35.289, -9.052
104, 14.946,-38.226, -8.630
105, 12.584,-40.811, -8.016
106, 10.961,-42.902, -7.540
107, 10.593,-42.963, -5.257
108, 10.249,-43.452, -4.836
109,  8.966,-43.773, -4.114
110,  7.280,-44.562, -3.922
111,  6.344,-45.151, -3.806
112,  3.925,-45.632, -2.430
113,  3.296,-45.742, -1.607
114,  4.061,-44.821, -1.192
115,  2.387,-44.769,  0.235
116, -0.100,-45.218,  1.409
117, -1.236,-45.611,  2.570
118, -1.397,-45.814,  3.210
119, -2.224,-45.675,  3.045
120, -3.140,-46.069,  2.302
121, -2.408,-47.785, -0.194
122, -3.002,-50.486, -3.359
123, -2.424,-53.078, -5.324
124, -5.204,-56.890, -5.853
125, -7.637,-59.949, -4.808
126,-10.904,-62.957, -2.862
127,-11.293,-63.881, -2.479
128,-12.082,-66.623, -0.978
129,-12.479,-70.132, -1.127
130,-13.217,-72.332, -1.096
131,-13.473,-73.714, -0.099
132,-14.344,-74.849,  0.804
133,-14.688,-75.447,  0.750
134,-14.415,-75.754,  0.672
135,-13.384,-75.714,  0.499
136,-12.330,-75.975,  0.183
137,-12.486,-75.966, -0.456
138,-11.829,-75.533, -0.536
139,-12.369,-75.838, -0.067
140,-11.725,-76.007, -0.390
141,-11.348,-76.029, -0.382
142,-11.232,-76.437, -0.225
143,-11.557,-77.395,  0.548
144,-11.543,-78.330,  0.766
145,-11.518,-79.283,  2.225
146,-11.653,-80.253,  2.659
147,-11.324,-81.084,  2.931
148, -9.989,-82.133,  1.962
149, -9.876,-83.490,  1.768
150, -9.653,-84.899,  1.149
151, -9.425,-86.446,  0.314
152, -8.735,-87.910, -1.212
153,-11.553, 84.205, -2.356
154,-11.211, 83.736, -2.031
155,-10.845, 83.288, -1.881
156,-10.945, 82.747, -1.073
157,-10.984, 82.198, -0.526
158,-10.925, 81.802, -0.114
159,-11.110, 81.278,  0.475
160,-11.517, 80.151,  0.488
161,-11.711, 79.728,  0.131
162,-12.070, 80.340,  0.366
163,-12.516, 78.963, -0.225
164,-12.632, 75.829,  1.055
165,-12.231, 71.734,  3.058
166,-12.969, 67.622,  6.117
167,-13.068, 63.371,  9.002
168,-12.763, 58.162, 11.668
169,-12.617, 52.454, 14.318
170,-13.921, 47.263, 16.679
171,-15.155, 41.892, 19.063
172,-15.080, 36.457, 21.162
173,-15.269, 31.837, 23.081
174,-14.322, 27.443, 24.581
175,-12.271, 22.761, 25.285
176,-13.223, 19.631, 22.870
177,-13.165, 18.004, 20.964
178,-12.105, 17.463, 21.134
179,-10.909, 17.454, 22.138
180, -9.849, 17.831, 23.249
181, -9.600, 17.842, 23.367
182, -9.057, 17.187, 23.058
183, -8.597, 16.177, 23.144
184, -7.918, 14.763, 23.432
185, -7.436, 14.252, 23.458
186, -7.248, 14.038, 24.034
187, -6.751, 13.552, 24.676
188, -5.731, 12.679, 23.695
189, -5.175, 12.202, 22.685
190, -4.217, 11.720, 21.905
191, -2.812, 11.761, 21.948
192, -1.666, 11.869, 21.254
193, -1.840, 11.583, 20.790
194, -2.805, 11.368, 20.188
195, -3.353, 10.741, 19.544
196, -3.619, 10.228, 19.249
