roll, pitch, yaw
  0.000,  0.000,  0.000
 -0.016,  2.797, 11.091
 -0.082,  2.874, 11.285
 -0.159,  2.959, 11.483
 -0.241,  3.047, 11.685
 -0.319,  3.134, 11.873
 -0.401,  3.217, 12.071
 -0.468,  3.302, 12.257
 -0.548,  3.392, 12.436
 -0.641,  3.480, 12.635
 -0.729,  3.554, 12.830
 -0.805,  3.632, 13.015
 -0.876,  3.702, 13.179
 -0.948,  3.767, 13.355
 -1.025,  3.842, 13.547
 -1.112,  3.935, 13.733
 -1.195,  4.015, 13.916
 -1.275,  4.106, 14.117
 -1.359,  4.191, 14.315
 -1.435,  4.272, 14.500
 -1.512,  4.356, 14.695
 -1.579,  4.436, 14.882
 -1.656,  4.518, 15.082
 -1.746,  4.611, 15.269
 -1.831,  4.701, 15.454
 -1.915,  4.786, 15.637
 -2.000,  4.863, 15.831
 -2.087,  4.946, 16.025
 -2.167,  5.035, 16.216
 -2.244,  5.118, 16.398
 -2.334,  5.209, 16.584
 -2.428,  5.298, 16.766
 -2.507,  5.393, 16.967
 -2.590,  5.484, 17.157
 -2.692,  5.576, 17.340
 -2.778,  5.669, 17.530
 -2.871,  5.758, 17.714
 -2.945,  5.847, 17.911
 -3.029,  5.940, 18.101
 -3.116,  6.023, 18.291
 -3.207,  6.118, 18.472
 -3.298,  6.216, 18.669
 -3.390,  6.323, 18.862
 -3.477,  6.426, 19.058
 -3.558,  6.528, 19.251
 -3.664,  6.614, 19.427
 -3.766,  6.719, 19.612
 -3.863,  6.818, 19.799
 -3.953,  6.922, 19.991
 -4.035,  7.020, 20.174
 -4.135,  7.124, 20.362
 -4.228,  7.219, 20.544
 -4.307,  7.320, 20.728
 -4.390,  7.425, 20.919
 -4.488,  7.524, 21.100
 -4.588,  7.627, 21.283
 -4.671,  7.729, 21.464
 -4.775,  7.833, 21.646
 -4.867,  7.932, 21.841
 -4.968,  8.030, 22.023
 -5.065,  8.135, 22.216
 -5.173,  8.236, 22.404
 -5.270,  8.341, 22.590
 -5.362,  8.437, 22.773
 -5.464,  8.540, 22.959
 -5.573,  8.640, 23.135
 -5.684,  8.742, 23.314
 -5.795,  8.839, 23.502
 -5.900,  8.945, 23.687
 -6.005,  9.050, 23.869
 -6.091,  9.154, 24.055
 -6.186,  9.259, 24.241
 -7.245, 10.292, 25.861
 -7.362, 10.421, 26.044
 -7.480, 10.545, 26.222
 -7.592, 10.668, 26.402
 -7.718, 10.791, 26.592
 -7.838, 10.917, 26.789
 -7.955, 11.030, 26.969
 -8.067, 11.147, 27.154
 -8.184, 11.274, 27.335
 -8.304, 11.400, 27.517
 -8.421, 11.521, 27.687
 -8.530, 11.638, 27.873
 -8.650, 11.764, 28.051
 -8.753, 11.879, 28.228
 -8.878, 12.015, 28.407
 -8.997, 12.146, 28.587
 -9.125, 12.267, 28.765
 -9.240, 12.388, 28.947
 -9.349, 12.502, 29.115
 -9.486, 12.629, 29.292
