roll, pitch, yaw
  0.000,  0.000,  0.000
 -0.021, 13.720,  6.725
 -0.012, 13.760,  6.891
  0.056, 13.706,  6.944
  0.003, 13.678,  7.105
  0.031, 13.669,  7.273
  0.038, 13.691,  7.420
  0.026, 13.752,  7.594
  0.002, 13.833,  7.763
 -0.046, 13.916,  7.923
  0.017, 13.993,  8.073
  0.197, 14.084,  8.166
  0.350, 14.183,  8.276
  0.627, 14.255,  8.344
  1.017, 14.272,  8.377
  1.375, 14.315,  8.455
  1.817, 14.531,  8.792
  2.631, 14.465,  9.240
  4.073, 14.313,  9.360
  5.575, 14.332,  9.363
  6.910, 14.359,  9.185
  7.900, 14.181,  9.021
  8.901, 13.858,  9.467
 10.042, 12.943,  9.770
 11.172, 12.357, 10.293
 12.200, 11.717, 11.139
 13.398, 11.591, 12.123
 15.493, 11.082, 12.942
 17.434, 11.180, 13.109
 19.574, 11.159, 13.690
 21.733, 11.039, 14.187
 24.323, 10.852, 14.518
 26.612, 11.194, 13.826
 28.808, 11.110, 13.553
 31.106, 10.852, 13.400
 33.008, 10.808, 13.270
 34.575, 11.061, 13.496
 36.295, 11.437, 13.923
 38.306, 11.382, 14.496
 40.634, 10.437, 14.887
 43.605,  8.807, 14.826
 46.245,  7.193, 14.717
 52.079,  4.042, 13.802
-84.867, -6.776, 12.862
-80.639, -7.033, 12.730
-76.427, -7.584, 11.481
-74.047, -7.570, 11.438
-70.632, -7.274, 12.307
-66.422, -7.947, 11.620
-63.990, -8.840, 11.290
-61.710, -9.253, 10.639
-59.754, -9.579, 10.680
-58.537, -9.984, 11.582
-57.052,-11.424, 13.356
-55.559,-11.734, 14.188
-54.010,-11.220, 14.742
-52.132,-10.669, 15.685
-48.074,-10.219, 16.534
-42.528, -9.788, 17.401
-38.943, -9.086, 17.814
-35.588, -8.741, 17.746
-32.068, -8.690, 17.352
-28.855, -8.866, 16.753
-26.339, -8.709, 16.732
-23.312, -8.361, 16.833
-17.112, -9.345, 15.997
 -6.839, -8.752, 12.636
  2.511, -6.600, 10.019
  9.444, -4.583, 10.083
 12.595, -4.164,  9.148
 19.225, -2.613,  6.948
 27.209,  0.891,  4.866
 31.580,  3.902,  4.043
 33.580,  4.163,  3.779
 37.566,  5.592,  2.878
 42.032,  7.283,  1.170
 45.243,  8.526, -0.219
 47.734,  9.937, -0.785
 50.875, 11.633, -0.834
 56.007, 12.710, -0.233
 60.330, 13.306, -0.023
 63.976, 13.859,  0.359
 68.575, 14.641,  0.413
 74.005, 15.390,  0.074
 80.320, 15.075, -0.196
 84.632, 14.765, -0.106
 87.074, 14.582,  0.434
 89.790, 14.202,  0.622
-84.287, 14.860,  0.067
-80.007, 16.415,  1.052
-77.329, 17.593,  2.341
-76.431, 18.122,  3.625
-75.267, 18.903,  4.273
-73.542, 18.823,  4.141
-72.207, 18.854,  4.277
-71.410, 18.940,  4.264
-69.362, 18.325,  4.306
-67.857, 17.734,  4.677
-66.858, 16.727,  5.037
-65.144, 15.974,  5.510
-64.221, 15.159,  6.363
-62.670, 14.465,  7.276
-62.282, 14.436,  7.741
-61.594, 14.247,  7.911
-59.476, 14.482,  8.059
-56.841, 15.202,  8.512
-55.164, 16.141,  9.316
-55.297, 17.716, 10.343
-55.678, 19.002, 10.592
-51.990, 18.900, 10.641
-47.743, 18.817, 10.268
-43.802, 18.969,  9.648
-37.414, 19.513,  8.449
-31.460, 20.789,  7.916
-25.270, 20.709,  7.384
-16.959, 20.314,  9.536
 24.443, 14.064, 15.233
 30.873, 13.792, 14.628
 35.670, 13.942, 13.933
 39.830, 14.190, 13.544
 43.522, 15.019, 13.709
 47.636, 15.032, 13.764
 51.986, 16.077, 13.562
 54.520, 16.414, 13.647
 55.703, 16.785, 13.357
 58.114, 17.161, 12.432
 60.098, 17.539, 11.306
 61.616, 17.497, 11.708
 63.149, 17.442, 12.094
 64.990, 17.535, 13.012
 66.212, 18.158, 14.018
 67.169, 18.179, 15.021
 68.768, 17.905, 15.300
 71.462, 16.907, 15.556
 73.674, 16.193, 15.918
 75.632, 15.092, 16.323
 77.379, 13.138, 17.249
 79.726, 12.414, 17.266
 82.938, 11.539, 16.777
 85.054, 10.303, 17.850
 88.697, 10.048, 19.315
-88.236, 10.135, 20.398
-84.377, 11.133, 21.441
-81.695, 12.304, 22.507
-80.726, 12.617, 23.821
-78.357, 13.505, 24.956
-74.885, 14.670, 26.212
-67.802, 14.403, 27.804
-60.020, 12.163, 28.003
-50.917,  9.951, 27.112
-45.057,  8.044, 26.583
-38.675,  6.578, 26.458
-31.870,  4.587, 26.929
-26.180,  2.921, 26.647
-21.161,  1.442, 25.386
-16.025,  1.504, 23.965
-11.343,  1.983, 22.272
 -9.037,  3.870, 20.879
 -5.574,  5.545, 20.239
 -0.801,  6.062, 18.822
  4.482,  5.451, 17.951
  9.811,  4.761, 16.683
 14.832,  4.492, 14.937
 19.120,  4.298, 14.539
 23.317,  3.986, 14.120
 28.451,  3.800, 13.435
 32.616,  4.324, 12.961
 36.294,  4.136, 13.005
 39.719,  3.622, 12.791
 42.934,  3.657, 12.209
 45.338,  4.290, 11.519
 47.870,  4.492, 11.146
 49.658,  4.402, 10.663
 51.196,  4.486,  9.484
 52.522,  4.902,  8.561
 53.230,  4.806,  8.357
 53.873,  4.850,  7.762
 54.535,  4.916,  6.758
 55.086,  5.166,  5.731
 55.909,  4.864,  3.557
 56.142,  4.495,  2.688
 56.337,  3.744,  2.117
 56.052,  4.286,  2.746
 55.033,  5.055,  3.041
 54.290,  5.757,  3.645
 54.082,  6.413,  4.939
 54.512,  7.641,  5.884
 55.199,  9.003,  6.182
 54.717, 10.638,  6.046
 54.160, 12.170,  6.090
 53.189, 13.597,  6.176
 51.318, 14.943,  6.352
 45.737, 15.281,  6.918
 37.136, 14.952,  7.858
 26.831, 14.693,  9.460
 19.642, 13.751,  9.468
 41.410, 11.027, -2.089
 44.289, 10.827, -3.434
 47.796, 10.944, -5.176
 55.153, 11.776, -7.734
 62.326, 12.689, -9.859
 70.842, 12.966,-12.981
 79.249, 13.775,-15.664
 86.699, 14.921,-17.382
-87.606, 16.129,-18.634
-87.036, 15.194,-19.614
-86.180, 14.740,-20.430
-85.641, 14.796,-21.349
-82.868, 15.819,-21.858
-76.975, 17.567,-22.106
-68.311, 21.225,-21.560
-60.962, 23.520,-22.256
-56.420, 25.445,-22.788
-52.046, 26.585,-22.842
-45.999, 28.284,-22.789
-39.919, 29.786,-22.932
-37.473, 31.709,-23.611
-36.168, 33.009,-22.922
-33.373, 34.206,-22.268
-32.162, 34.490,-22.327
-29.862, 33.919,-22.552
-25.720, 33.110,-21.707
-20.681, 32.846,-20.790
-15.589, 33.315,-20.706
-10.303, 32.467,-20.290
 -2.604, 30.862,-18.778
  1.513, 29.503,-15.029
  2.332, 28.823,-13.932
  4.578, 29.903,-13.720
  3.278, 30.451,-13.855
  4.093, 30.416,-14.611
  5.383, 31.190,-14.158
  6.760, 30.889,-12.649
  8.444, 30.020, -9.992
  9.441, 29.286, -7.814
 10.866, 28.686, -5.953
 10.160, 27.516, -3.412
 11.400, 26.859, -1.394
 10.482, 26.844,  0.168
 10.792, 26.631,  1.488
 12.069, 26.656,  2.849
 15.224, 26.514,  3.327
 17.970, 26.294,  3.855
 19.780, 26.208,  3.352
 20.392, 25.807,  4.204
 20.525, 25.793,  4.567
 20.094, 26.433,  2.900
 22.468, 26.210,  2.071
 30.079, 25.172,  1.888
 37.520, 24.716,  1.525
 43.934, 24.324,  0.643
 50.282, 23.958, -0.523
 57.531, 22.094, -1.258
 64.464, 20.301, -1.805
 69.555, 20.612, -1.806
 73.146, 22.289, -1.373
 75.102, 23.740, -1.498
 78.379, 22.092, -1.936
 81.416, 20.769, -2.204
 82.609, 21.723, -2.498
 83.506, 23.048, -2.049
 84.532, 23.561, -1.840
 86.115, 22.846, -1.602
 87.448, 22.458, -1.435
 88.460, 21.853, -0.834
 89.397, 21.907,  0.386
 89.567, 21.674,  0.890
-88.073, 21.295,  1.457
-80.566, 17.908,  2.213
-76.951, 16.874,  1.759
-74.713, 15.911,  1.712
-37.421,  9.431, -8.510
-32.693,  9.780, -9.454
-30.089, 10.977,-10.581
-28.791, 11.747,-12.106
-27.257, 12.069,-12.556
-25.429, 11.963,-12.579
-23.747, 12.066,-12.485
-22.460, 12.106,-12.488
-20.692, 12.426,-12.186
-19.410, 12.232,-12.169
-17.470, 12.021,-11.676
-16.017, 12.239,-11.746
-15.098, 12.227,-12.255
-14.029, 12.237,-11.868
-12.129, 12.176,-11.033
-10.111, 11.723, -9.394
 -8.211, 11.451, -8.114
 -5.804, 12.073, -5.895
 -3.986, 12.224, -4.652
 -2.930, 11.608, -4.018
 -1.629, 11.181, -3.642
 -0.276, 10.708, -2.775
  1.530,  9.632, -1.847
  2.234,  9.104, -1.213
  3.424,  8.677, -0.576
  4.606,  8.489,  0.421
  5.538,  7.875,  0.818
  6.393,  6.823,  1.592
  7.370,  6.657,  2.008
  8.339,  7.201,  1.989
  9.667,  7.642,  1.979
 10.896,  8.034,  2.067
 11.023,  7.977,  1.872
 11.033,  7.714,  1.332
 10.372,  7.446,  0.220
  9.551,  7.183, -1.228
  8.467,  7.006, -2.501
  8.575,  7.317, -3.972
  8.748, 10.370, -5.277
 11.439, 13.056, -5.399
 12.432, 14.597, -5.481
 16.396, 15.174, -6.018
 21.170, 15.309, -6.992
 23.385, 17.551, -6.597
 24.581, 18.456, -6.269
 26.869, 17.409, -7.024
 29.755, 16.267, -8.182
 32.046, 15.614, -9.342
 34.728, 14.725, -9.900
 37.400, 13.674,-10.770
 39.771, 12.502,-11.913
 41.789, 12.070,-13.243
 43.000, 11.863,-13.966
 44.574, 11.139,-14.478
 45.279, 10.705,-14.952
 44.792, 10.637,-15.218
 44.580, 10.441,-14.828
 45.115,  9.960,-15.160
 45.911,  9.296,-15.506
 47.368,  8.752,-16.012
 49.407,  8.962,-16.627
 52.656,  9.309,-17.704
 53.766,  9.469,-19.120
 55.085,  8.968,-19.696
 57.918,  7.627,-19.206
 61.062,  6.959,-19.462
 63.122,  7.240,-19.693
 65.141,  7.584,-19.158
 67.398,  8.663,-18.530
 69.324,  9.494,-18.529
 70.746,  9.956,-18.751
 72.121, 10.416,-18.838
 73.947, 11.224,-18.581
 76.627, 12.015,-18.072
