roll, pitch, yaw
  0.000,  0.000,  0.000
  0.027, -0.857, 21.435
 -0.012, -0.783, 21.715
 -0.144, -0.705, 21.876
 -0.266, -0.639, 22.054
 -0.374, -0.557, 22.230
 -0.460, -0.531, 22.389
 -0.554, -0.472, 22.568
 -0.621, -0.384, 22.755
 -0.727, -0.252, 22.919
 -0.834, -0.119, 23.083
 -0.953,  0.059, 23.238
 -1.030,  0.167, 23.368
 -1.120,  0.354, 23.518
 -1.242,  0.552, 23.635
 -1.255,  0.646, 23.747
 -1.267,  0.721, 23.893
 -1.267,  1.013, 24.033
 -0.954,  1.310, 24.071
 -0.801,  1.529, 23.448
 -0.120,  1.524, 23.103
  0.604,  1.713, 22.800
  1.577,  2.212, 22.200
  4.906,  2.404, 22.418
  8.625,  2.067, 22.263
 12.623,  1.560, 21.892
 15.787,  1.424, 21.031
 19.666,  1.391, 20.393
 24.667,  1.119, 19.905
 30.663,  0.087, 19.321
 37.347, -0.694, 18.659
 42.990, -1.200, 18.374
 48.276, -1.186, 18.101
 54.093, -1.163, 17.887
 61.317, -1.342, 17.371
 68.359, -1.570, 16.761
 71.425, -2.161, 16.717
 75.118, -2.438, 17.044
 80.884, -2.853, 17.256
 86.856, -3.380, 16.875
-88.269, -4.104, 16.552
-84.312, -4.642, 16.050
-79.402, -4.762, 15.497
-74.417, -4.406, 14.419
-71.084, -3.929, 13.450
-69.002, -3.827, 12.944
-66.401, -3.598, 12.693
-63.784, -3.135, 12.515
-61.568, -2.218, 12.465
-59.962, -1.682, 12.331
-58.584, -1.623, 12.248
-57.127, -1.813, 12.190
-55.511, -1.225, 12.502
-53.774, -1.482, 11.844
-52.766, -1.189, 12.151
-51.928, -0.814, 12.545
-50.552, -0.447, 12.523
-49.115, -0.217, 11.377
-47.460,  1.130,  9.957
-46.162,  2.553, 10.331
-45.242,  3.126,  9.889
-44.605,  3.075, 10.003
-44.269,  1.018,  9.631
-45.671, -0.968,  9.363
-46.751, -3.245,  8.900
-83.798,-12.472,-56.629
 80.094,-22.182,-66.620
 61.989,-35.400,-70.887
 47.189,-45.306,-72.998
 39.447,-51.993,-73.432
 30.774,-58.912,-72.417
 26.224,-64.260,-70.948
 22.647,-69.612,-69.372
  2.030,-81.877,-72.653
-31.504, 82.790,-77.113
-37.671, 83.035,-77.639
-35.085, 83.483,-77.414
-35.941, 83.464,-74.789
-35.541, 83.007,-72.091
-34.491, 86.262,-70.039
-34.027, 89.040,-68.793
-32.768,-89.312,-67.998
-28.814,-87.801,-67.258
-25.379,-85.489,-66.742
-19.136,-82.340,-66.495
-15.960,-85.014,-65.897
-12.426,-88.230,-66.121
 -5.246,-86.394,-66.129
  1.852,-86.731,-64.884
  8.675,-86.608,-63.294
 19.137,-85.386,-61.587
 28.843,-84.670,-58.376
 38.080,-84.881,-54.435
 40.230,-87.642,-50.825
 41.318, 89.091,-47.207
 42.116, 85.714,-42.182
 42.479, 81.448,-37.107
 42.855, 77.665,-33.500
 43.217, 74.650,-29.627
 43.222, 72.225,-26.860
 43.872, 70.688,-24.345
 43.483, 68.837,-21.703
 43.581, 67.028,-18.981
 43.446, 65.359,-16.225
 42.674, 63.693,-13.876
 42.608, 62.317,-11.872
 42.250, 60.948,-10.059
 41.583, 59.240, -8.191
 41.499, 57.979, -6.263
 40.709, 57.386, -5.095
 39.798, 56.396, -3.414
 38.694, 56.340, -0.539
 37.388, 55.351,  1.784
 35.720, 53.902,  3.550
 34.159, 52.640,  4.966
 32.932, 51.256,  5.645
 31.877, 49.903,  8.405
 28.237, 47.734, 12.257
 25.108, 43.874, 12.253
 23.209, 40.102, 11.049
 20.551, 37.042, 12.201
 17.097, 34.035, 14.926
 13.208, 30.741, 18.085
  9.036, 26.887, 21.958
  7.831, 24.598, 25.556
 10.310, 23.765, 28.812
 12.427, 22.252, 32.062
 13.540, 19.643, 34.520
 14.218, 15.734, 37.781
 13.733, 11.968, 41.072
 14.935,  9.714, 45.469
 14.796,  7.454, 50.215
 14.916,  4.571, 55.485
 17.275,  0.680, 60.409
 23.670, -4.982, 64.154
 33.466,-16.095, 66.914
 41.548,-29.205, 68.962
 51.935,-40.547, 70.392
 57.679,-45.170, 72.268
 62.290,-48.405, 73.996
 67.416,-54.248, 74.979
 71.135,-60.262, 74.839
 81.781,-68.113, 73.787
 89.309,-74.061, 73.135
-86.169,-78.360, 72.700
-40.522, 40.177, 48.986
-39.214, 32.397, 43.629
-38.255, 27.891, 39.805
-38.095, 24.099, 36.463
-38.617, 19.928, 32.719
-38.438, 15.169, 28.149
-39.269, 11.752, 24.168
-41.193,  9.579, 20.534
-43.672,  7.889, 16.425
-45.719,  7.146, 13.308
-47.121,  6.621, 11.146
-48.507,  5.776,  8.993
-49.664,  4.096,  7.630
-50.278,  2.594,  6.662
-50.933,  0.344,  3.244
-51.441, -3.805, -1.367
-54.103, -7.482, -5.707
-56.188,-10.191, -8.814
-56.930,-12.785,-11.706
-58.027,-17.485,-16.009
-60.131,-23.646,-20.746
-61.416,-27.493,-23.744
-63.764,-30.806,-27.219
-64.140,-34.126,-29.441
-68.922,-40.896,-32.075
-72.864,-47.432,-34.108
-75.297,-52.615,-33.705
-77.695,-58.535,-32.192
-81.695,-64.090,-29.883
-85.874,-69.242,-29.620
 88.457,-76.318,-30.273
 87.017,-79.589,-29.680
 83.618,-84.387,-28.180
 80.431, 89.878,-26.909
 74.440, 82.703,-24.258
 61.768, 71.207,-17.406
 63.175, 62.977,-10.989
 60.141, 60.763, -6.968
 54.690, 62.013, -6.166
 50.482, 59.149, -7.665
 49.269, 58.279, -7.292
 50.252, 59.622, -6.467
 49.271, 60.694, -6.318
 47.799, 60.531, -6.693
 46.706, 57.463, -5.148
 44.420, 54.471, -3.383
 43.748, 52.702, -2.042
 43.707, 51.527, -0.761
 43.196, 50.819, -0.196
 42.189, 49.568,  2.227
 41.381, 47.976,  5.654
 43.791, 44.314, 10.466
 46.198, 40.276, 15.160
 51.584, 33.456, 18.782
 59.797, 23.506, 20.242
 68.893, 11.314, 19.813
 79.871, -2.581, 18.792
 88.530,-15.775, 17.226
-85.025,-26.908, 15.959
-84.721,-28.251, 18.089
-84.914,-29.005, 19.998
-85.558,-29.162, 22.432
-84.293,-30.350, 24.246
-80.830,-35.314, 25.588
-75.304,-42.158, 25.974
-72.949,-46.175, 26.326
-75.105,-47.431, 28.480
-73.061,-52.221, 29.865
-69.950,-58.777, 31.342
-65.831,-65.541, 32.393
-64.221,-70.229, 33.341
-62.710,-74.373, 33.735
-61.029,-79.232, 33.473
-58.885,-85.011, 33.080
-57.599,-89.905, 33.582
-55.942, 85.164, 33.216
-54.662, 80.694, 32.656
-53.549, 76.457, 31.643
-52.647, 72.897, 30.436
-52.494, 70.513, 29.473
-51.515, 67.492, 28.614
-51.347, 65.611, 27.534
-51.100, 63.836, 26.290
-50.527, 62.566, 25.546
-50.408, 61.298, 24.387
-51.006, 60.281, 23.455
-51.284, 59.309, 22.521
-25.468, 50.418,  1.461
-21.492, 50.383, -1.657
-18.461, 51.566, -3.259
-14.993, 51.933, -4.979
-12.651, 51.540, -6.965
-10.752, 53.429, -8.414
 -6.039, 55.804,-10.852
 -3.187, 58.622,-12.453
  5.612, 62.216,-14.313
  3.997, 60.532,-14.149
  7.242, 60.200,-14.295
  9.447, 62.254,-12.395
  7.508, 60.743,-12.363
  5.007, 57.146,-13.159
  2.298, 52.685,-15.488
 -1.757, 49.630,-17.211
 -6.765, 46.553,-17.906
-11.065, 43.152,-20.494
-14.109, 39.055,-26.287
-16.104, 36.175,-31.881
-15.469, 34.935,-38.838
-15.962, 32.671,-44.880
-16.899, 30.360,-49.601
-16.216, 27.295,-55.973
-18.372, 22.295,-62.729
-21.144, 18.182,-67.921
-31.757,  3.637,-72.537
-58.463,-27.846,-76.057
 88.078,-65.743,-76.744
 66.666, 89.609,-75.458
 56.100, 77.560,-73.399
 51.836, 72.673,-69.477
 47.925, 68.996,-66.020
 40.223, 64.297,-64.273
 33.964, 59.591,-62.780
 30.308, 57.180,-60.979
 26.974, 56.267,-57.685
 23.318, 55.099,-53.441
 20.707, 53.049,-49.968
 18.780, 52.437,-47.689
 18.949, 52.954,-45.176
 19.355, 52.866,-42.558
 18.838, 51.898,-39.237
 18.820, 51.113,-36.432
 18.831, 51.082,-35.303
 19.851, 51.624,-33.987
 20.649, 51.470,-31.868
 21.249, 51.287,-29.562
 15.862, 52.723,-26.300
  9.042, 55.304,-23.279
  1.372, 57.872,-20.595
 -1.883, 57.703,-18.501
  0.548, 54.460,-15.356
 -3.273, 52.351,-10.235
 -4.796, 50.173, -6.296
 -5.611, 49.086, -4.609
 -4.274, 47.391, -2.324
 -2.826, 45.321,  1.466
 -3.572, 43.931,  6.203
 -3.343, 42.935,  9.223
 -1.372, 41.434, 11.882
  1.809, 38.430, 15.919
  4.480, 35.753, 20.139
  6.470, 34.114, 23.595
  6.341, 32.888, 27.949
  7.257, 31.255, 32.309
  8.168, 29.854, 36.518
  8.457, 29.093, 39.845
  8.933, 28.022, 43.391
 10.229, 26.201, 46.559
 11.822, 24.167, 49.492
 14.210, 21.426, 52.175
 17.654, 18.052, 54.724
 20.936, 14.589, 57.878
 23.650, 11.687, 60.649
 26.600,  9.100, 63.214
 30.664,  5.064, 65.886
 36.865, -0.844, 67.752
 44.873, -7.850, 69.485
 55.327,-17.083, 71.356
 67.614,-24.905, 70.775
 80.197,-38.166, 72.918
-59.272, 69.781, 72.269
-52.395, 59.433, 70.527
-44.354, 48.790, 68.029
-39.960, 42.291, 66.493
-37.728, 37.642, 65.288
-35.302, 33.322, 63.850
-33.245, 30.056, 62.441
-31.342, 26.983, 60.984
-28.299, 23.625, 59.869
-27.281, 21.729, 59.438
-26.049, 19.613, 59.324
-25.642, 17.353, 59.051
-24.930, 16.175, 58.003
-26.014, 16.672, 56.897
-25.217, 17.045, 55.738
-23.912, 17.140, 54.259
-18.900, 15.167, 49.681
-19.236, 15.817, 46.108
-18.391, 15.513, 44.781
-18.021, 15.516, 43.548
-17.335, 14.251, 40.508
-16.595, 13.098, 37.834
-15.102, 12.381, 34.951
-14.300, 11.930, 31.922
-13.005, 11.531, 28.614
-12.793, 10.792, 26.436
-10.858,  9.959, 25.463
 -8.237,  8.440, 24.368
 -6.857,  6.798, 21.575
 -6.116,  4.704, 17.150
 -2.686,  3.342, 13.271
  2.220,  2.957,  9.267
  8.165,  5.796,  5.760
  7.817,  6.123,  4.173
  5.744,  4.251,  0.537
  1.010,  2.911, -5.263
 -3.891,  0.970,-10.175
 -7.651, -1.039,-12.891
