roll, pitch, yaw
  0.000,  0.000,  0.000
 -0.017,  4.494, 12.086
 -0.066,  4.567, 12.258
 -0.126,  4.658, 12.471
 -0.247,  4.771, 12.681
 -0.399,  4.870, 12.851
 -0.495,  4.945, 12.996
 -0.597,  5.080, 13.105
 -0.675,  5.146, 13.290
 -0.761,  5.269, 13.463
 -0.839,  5.339, 13.634
 -0.906,  5.420, 13.765
 -0.966,  5.521, 13.890
 -1.024,  5.598, 14.013
 -1.083,  5.664, 14.132
 -1.143,  5.724, 14.258
 -1.284,  5.819, 14.372
 -1.468,  5.899, 14.505
 -1.656,  5.954, 14.645
 -1.906,  6.028, 14.798
 -2.145,  6.159, 14.878
 -2.311,  6.330, 14.874
 -2.435,  6.498, 14.753
 -2.546,  6.928, 14.758
 -2.665,  7.087, 14.829
 -2.999,  7.253, 14.889
 -3.356,  7.354, 15.043
 -3.841,  7.241, 15.311
 -4.300,  6.534, 15.861
 -4.239,  5.592, 16.504
 -3.906,  4.347, 17.238
 -3.126,  2.722, 17.818
 -2.059,  1.150, 18.333
 -0.746, -0.620, 18.756
  0.552, -2.702, 19.351
  2.029, -5.554, 20.076
  3.312, -8.254, 20.949
  4.961,-10.752, 21.839
  6.879,-13.313, 22.572
  8.736,-15.371, 22.883
 10.187,-17.361, 22.986
 12.047,-19.173, 23.004
 13.787,-20.453, 23.143
 15.210,-21.685, 23.018
 15.548,-22.325, 23.382
 15.683,-23.166, 23.546
 15.688,-24.052, 23.523
 16.116,-25.154, 23.673
 17.392,-26.477, 23.688
 19.422,-28.274, 24.030
 19.063,-32.139, 22.672
 19.130,-33.933, 20.596
 18.480,-35.181, 18.463
 18.064,-36.334, 17.084
 18.529,-38.708, 18.692
 18.803,-41.757, 19.915
 18.616,-45.450, 19.838
 19.660,-49.569, 19.037
 20.536,-53.314, 18.398
 21.292,-56.870, 18.062
 21.256,-60.159, 17.483
 20.774,-63.216, 17.233
 19.359,-66.009, 16.838
 17.834,-68.974, 16.300
 17.816,-72.480, 15.737
 20.362,-77.162, 13.793
 20.166,-81.170, 12.569
 19.528,-85.665, 10.920
 18.767,-88.872, 10.536
 18.052, 88.018, 10.714
 17.127, 86.512, 10.924
 16.780, 85.745, 11.556
 16.205, 86.018, 12.184
 14.970, 86.933, 12.555
 15.219, 84.698, 11.755
  8.195, 78.511, 14.591
  6.578, 77.424, 14.246
  4.079, 76.252, 13.109
  2.310, 75.404, 12.181
  1.396, 74.481, 11.746
  0.851, 73.049, 11.156
  0.815, 70.997, 10.531
  1.823, 67.875,  9.591
  8.815, 57.300,  8.586
 11.160, 52.323,  7.831
 12.706, 49.279,  7.045
 14.472, 46.153,  6.050
 15.694, 41.691,  4.663
 17.446, 37.883,  3.302
 17.292, 34.353,  1.891
 18.406, 30.847, -0.079
 19.171, 28.170, -1.869
 18.953, 25.382, -3.593
 19.898, 21.890, -6.031
 21.014, 18.002, -8.215
 20.268, 14.047, -8.993
 19.485, 12.103, -8.429
 18.627, 10.887, -8.228
 19.168,  9.502, -9.574
 19.281,  7.874,-10.833
 19.605,  5.924,-11.944
 19.765,  3.200,-12.962
 19.700, -0.171,-14.880
 17.666, -4.428,-14.769
 15.473, -9.095,-14.342
 13.010,-12.979,-13.221
 10.899,-16.556,-12.489
  9.673,-19.951,-12.609
  8.381,-22.876,-12.826
  7.397,-24.709,-12.451
  8.147,-27.685,-11.442
  6.510,-30.114, -9.372
  5.033,-32.014, -8.700
  2.966,-34.510, -8.544
  1.330,-36.910, -8.153
  0.609,-38.884, -7.298
  0.960,-38.983, -5.843
  0.116,-39.406, -4.801
 -1.347,-40.200, -4.079
 -1.988,-40.257, -3.641
 -3.070,-41.358, -4.079
 -2.508,-42.396, -4.836
 -2.688,-43.700, -4.980
 -2.557,-46.068, -5.693
 -3.082,-50.320, -5.873
 -3.004,-55.017, -6.204
 -2.691,-59.068, -5.702
 -3.110,-61.160, -4.795
 -3.884,-62.289, -4.456
 -4.254,-63.254, -5.838
 -5.806,-63.886, -7.504
 -6.967,-64.906, -8.184
 -7.283,-65.503, -8.329
 -7.570,-66.553, -8.533
 -7.672,-68.067, -8.525
 -8.530,-69.781, -8.470
 -8.059,-71.486, -8.431
 -7.509,-72.311, -8.116
 -7.665,-72.524, -7.361
 -7.276,-73.378, -7.352
 -6.321,-75.235, -6.867
 -4.571,-77.576, -5.776
 -2.428,-80.631, -4.442
 -0.720,-83.529, -2.257
  0.290,-86.882, -0.172
  1.203, 89.231,  1.639
  1.715, 86.121,  2.842
  1.681, 83.350,  3.778
  1.250, 80.625,  4.632
  1.092, 62.516, 13.367
  0.612, 60.560, 14.786
 -0.292, 58.585, 15.876
 -0.934, 57.641, 16.917
 -1.438, 56.092, 17.215
 -1.760, 55.239, 17.247
 -1.264, 54.074, 18.261
 -0.932, 52.122, 19.214
 -0.452, 50.508, 19.928
 -0.225, 49.829, 20.645
  0.572, 48.464, 21.493
  1.034, 47.104, 22.264
  0.893, 45.779, 22.718
  0.952, 44.564, 23.363
  1.066, 43.307, 23.898
  1.151, 41.328, 23.820
