roll, pitch, yaw
-0.005,0.039,0.011
-0.006,0.036,0.011
-0.006,0.03,0.011
-0.006,0.02,0.012
-0.006,0.009,0.012
-0.006,-0.005,0.012
-0.006,-0.008,0.012
-0.006,-0.015,0.012
-0.006,-0.02,0.013
-0.006,-0.036,0.013
-0.006,-0.046,0.013
-0.007,-0.055,0.013
-0.007,-0.068,0.013
-0.007,-0.069,0.014
-0.007,-0.069,0.014
-0.007,-0.083,0.014
-0.007,-0.098,0.014
-0.007,-0.099,0.014
-0.007,-0.112,0.015
-0.007,-0.113,0.015
-0.008,-0.123,0.015
-0.008,-0.13,0.015
-0.008,-0.143,0.015
-0.008,-0.166,0.016
-0.008,-0.182,0.016
-0.008,-0.184,0.016
-0.008,-0.21,0.016
-0.008,-0.212,0.016
-0.008,-0.219,0.017
-0.008,-0.232,0.017
-0.008,-0.246,0.017
-0.008,-0.256,0.017
-0.009,-0.266,0.017
-0.009,-0.284,0.017
-0.009,-0.29,0.017
-0.009,-0.303,0.017
-0.009,-0.327,0.018
-0.009,-0.33,0.018
-0.009,-0.329,0.018
-0.009,-0.338,0.018
-0.009,-0.344,0.018
-0.009,-0.362,0.018
-0.009,-0.377,0.018
-0.009,-0.393,0.019
-0.009,-0.396,0.019
-0.009,-0.413,0.019
-0.009,-0.429,0.019
-0.01,-0.435,0.019
-0.01,-0.439,0.019
-0.01,-0.456,0.02
-0.01,-0.469,0.02
-0.01,-0.482,0.02
-0.01,-0.49,0.02
-0.01,-0.5,0.02
-0.01,-0.505,0.021
-0.01,-0.511,0.021
-0.01,-0.524,0.021
-0.01,-0.551,0.021
-0.011,-0.563,0.021
-0.011,-0.561,0.021
-0.011,-0.573,0.021
-0.011,-0.578,0.022
-0.011,-0.587,0.022
-0.011,-0.599,0.022
-0.011,-0.609,0.022
-0.011,-0.616,0.022
-0.011,-0.631,0.022
-0.011,-0.636,0.023
-0.011,-0.638,0.023
-0.011,-0.64,0.023
-0.012,-0.64,0.023
-0.012,-0.648,0.023
-0.012,-0.659,0.023
-0.012,-0.675,0.024
-0.012,-0.686,0.024
-0.012,-0.696,0.024
-0.012,-0.703,0.024
-0.012,-0.706,0.025
-0.012,-0.719,0.025
-0.012,-0.732,0.025
-0.013,-0.739,0.025
-0.013,-0.76,0.025
-0.013,-0.773,0.025
-0.013,-0.799,0.026
-0.013,-0.813,0.026
-0.013,-0.825,0.026
-0.013,-0.828,0.026
-0.013,-0.85,0.026
-0.013,-0.86,0.027
-0.013,-0.865,0.027
-0.013,-0.867,0.027
-0.013,-0.882,0.027
-0.014,-0.895,0.027
-0.014,-0.903,0.027
-0.014,-0.912,0.027
-0.014,-0.922,0.028
-0.014,-0.937,0.028
-0.014,-0.943,0.028
-0.014,-0.947,0.028
-0.014,-0.964,0.028
-0.014,-0.966,0.029
-0.014,-0.99,0.029
-0.014,-1.009,0.029
-0.015,-1.022,0.029
-0.015,-1.041,0.029
-0.015,-1.06,0.029
-0.015,-1.078,0.03
-0.015,-1.092,0.03
-0.015,-1.101,0.03
-0.015,-1.116,0.03
-0.015,-1.132,0.03
-0.015,-1.133,0.031
-0.015,-1.145,0.031
-0.015,-1.155,0.031
-0.016,-1.171,0.031
-0.016,-1.186,0.031
-0.016,-1.188,0.032
-0.016,-1.178,0.032
-0.016,-1.197,0.032
-0.016,-1.208,0.032
-0.016,-1.223,0.032
-0.016,-1.244,0.033
-0.016,-1.256,0.033
-0.016,-1.262,0.033
-0.016,-1.273,0.033
-0.016,-1.284,0.033
-0.017,-1.294,0.033
-0.017,-1.293,0.033
-0.017,-1.303,0.034
-0.017,-1.328,0.034
-0.017,-1.336,0.034
-0.017,-1.35,0.034
-0.017,-1.345,0.034
-0.017,-1.346,0.035
-0.017,-1.354,0.035
-0.018,-1.375,0.035
-0.018,-1.394,0.035
-0.018,-1.405,0.035
-0.018,-1.42,0.035
-0.018,-1.424,0.036
-0.018,-1.447,0.036
-0.018,-1.46,0.036
-0.018,-1.477,0.036
-0.018,-1.484,0.037
-0.018,-1.506,0.037
-0.018,-1.517,0.037
-0.019,-1.526,0.037
-0.019,-1.535,0.037
-0.019,-1.552,0.037
-0.019,-1.56,0.038
-0.019,-1.568,0.038
-0.019,-1.581,0.038
-0.019,-1.584,0.038
-0.019,-1.588,0.038
-0.019,-1.605,0.039
-0.019,-1.615,0.039
-0.019,-1.634,0.039
-0.02,-1.644,0.039
-0.02,-1.659,0.039
-0.02,-1.662,0.04
-0.02,-1.669,0.04
-0.02,-1.678,0.04
-0.02,-1.685,0.04
-0.02,-1.702,0.04
-0.02,-1.722,0.041
-0.02,-1.746,0.041
-0.02,-1.763,0.041
-0.021,-1.773,0.041
-0.021,-1.785,0.041
-0.021,-1.784,0.042
-0.021,-1.8,0.042
-0.021,-1.812,0.042
-0.021,-1.827,0.042
-0.021,-1.846,0.042
-0.021,-1.848,0.042
-0.021,-1.865,0.043
-0.021,-1.88,0.043
-0.021,-1.901,0.043
-0.022,-1.912,0.043
-0.022,-1.925,0.044
-0.022,-1.927,0.044
-0.022,-1.933,0.044
-0.022,-1.937,0.044
-0.022,-1.945,0.044
-0.022,-1.964,0.045
-0.022,-1.981,0.045
-0.023,-1.992,0.045
-0.023,-2.015,0.045
-0.023,-2.035,0.046
-0.023,-2.026,0.046
-0.023,-2.039,0.046
-0.023,-2.049,0.046
-0.023,-2.061,0.046
-0.023,-2.073,0.047
-0.023,-2.075,0.047
-0.023,-2.09,0.047
-0.024,-2.098,0.047
-0.024,-2.108,0.047
-0.024,-2.113,0.047
-0.024,-2.119,0.048
-0.024,-2.133,0.048
-0.024,-2.147,0.048
-0.024,-2.157,0.048
-0.024,-2.167,0.048
-0.024,-2.183,0.048
-0.024,-2.196,0.048
-0.024,-2.198,0.049
-0.024,-2.193,0.049
-0.024,-2.194,0.049
-0.025,-2.215,0.049
-0.025,-2.231,0.049
-0.025,-2.238,0.049
-0.025,-2.254,0.05
-0.025,-2.278,0.05
-0.025,-2.287,0.05
-0.025,-2.297,0.05
-0.025,-2.305,0.05
-0.025,-2.318,0.051
-0.025,-2.33,0.051
-0.025,-2.346,0.051
-0.026,-2.355,0.051
-0.026,-2.369,0.051
-0.026,-2.372,0.052
-0.026,-2.379,0.052
-0.026,-2.384,0.052
-0.026,-2.403,0.052
-0.026,-2.404,0.052
-0.026,-2.415,0.052
