roll, pitch, yaw
  0.000,  0.000,  0.000
 -0.005,  6.965,  0.972
 -0.025,  6.961,  1.048
 -0.052,  6.954,  1.115
 -0.071,  6.956,  1.187
 -0.084,  6.942,  1.273
 -0.095,  6.936,  1.345
 -0.115,  6.920,  1.445
 -0.115,  6.887,  1.519
 -0.132,  6.852,  1.592
 -0.151,  6.826,  1.671
 -0.161,  6.816,  1.737
 -0.170,  6.825,  1.808
 -0.183,  6.811,  1.877
 -0.190,  6.769,  1.939
 -0.204,  6.760,  2.019
 -0.208,  6.748,  2.086
 -0.226,  6.742,  2.156
 -0.239,  6.730,  2.223
 -0.255,  6.717,  2.294
 -0.259,  6.698,  2.365
 -0.272,  6.678,  2.440
 -0.287,  6.667,  2.500
 -0.314,  6.653,  2.568
 -0.332,  6.650,  2.644
 -0.346,  6.641,  2.714
 -0.362,  6.634,  2.786
 -0.371,  6.620,  2.854
 -0.386,  6.601,  2.936
 -0.411,  6.615,  3.007
 -0.426,  6.600,  3.076
 -0.436,  6.580,  3.160
 -0.456,  6.561,  3.227
 -0.467,  6.553,  3.311
 -0.484,  6.519,  3.385
 -0.514,  6.496,  3.465
 -0.515,  6.474,  3.540
 -0.530,  6.481,  3.614
 -0.543,  6.458,  3.696
 -0.555,  6.431,  3.770
 -0.551,  6.449,  3.856
 -0.587,  6.406,  3.935
 -0.597,  6.393,  4.019
 -0.616,  6.380,  4.088
 -0.636,  6.348,  4.158
 -0.660,  6.358,  4.241
 -0.681,  6.335,  4.322
 -0.699,  6.294,  4.386
 -0.715,  6.287,  4.466
 -0.729,  6.263,  4.545
 -0.738,  6.237,  4.627
 -0.754,  6.200,  4.711
 -0.769,  6.205,  4.797
 -0.774,  6.171,  4.879
 -0.789,  6.131,  4.958
 -0.802,  6.097,  5.029
 -0.810,  6.088,  5.109
 -0.826,  6.073,  5.194
 -0.865,  6.033,  5.266
 -0.880,  6.020,  5.348
 -0.902,  6.005,  5.429
 -0.931,  5.970,  5.495
 -0.947,  5.984,  5.562
 -0.965,  5.962,  5.637
 -0.969,  5.938,  5.714
 -0.984,  5.914,  5.789
 -1.008,  5.904,  5.869
 -1.038,  5.892,  5.940
 -1.070,  5.866,  6.012
 -1.083,  5.835,  6.082
 -1.098,  5.819,  6.152
 -1.112,  5.792,  6.231
 -1.145,  5.783,  6.329
 -1.138,  5.778,  6.404
 -1.150,  5.757,  6.475
 -1.156,  5.736,  6.560
 -1.187,  5.722,  6.629
 -1.215,  5.701,  6.714
 -1.234,  5.676,  6.800
 -1.259,  5.666,  6.886
 -1.281,  5.648,  6.965
 -1.285,  5.615,  7.026
 -1.309,  5.607,  7.107
 -1.312,  5.577,  7.184
 -1.343,  5.562,  7.253
 -1.353,  5.532,  7.328
 -1.358,  5.511,  7.397
 -1.369,  5.489,  7.460
 -1.383,  5.468,  7.526
 -1.389,  5.456,  7.598
 -1.399,  5.438,  7.687
 -1.427,  5.422,  7.760
 -1.449,  5.398,  7.833
 -1.464,  5.388,  7.921
 -1.478,  5.375,  7.989
 -1.490,  5.336,  8.057
 -1.502,  5.341,  8.133
 -1.532,  5.335,  8.207
 -1.542,  5.304,  8.279
 -1.557,  5.304,  8.359
 -1.562,  5.298,  8.430
 -1.576,  5.272,  8.499
 -1.592,  5.272,  8.564
 -1.605,  5.279,  8.654
 -1.614,  5.265,  8.735
 -1.624,  5.247,  8.819
 -1.651,  5.230,  8.890
 -1.653,  5.181,  8.968
 -1.658,  5.149,  9.035
 -1.687,  5.136,  9.102
 -1.699,  5.140,  9.167
 -1.709,  5.127,  9.247
 -1.718,  5.108,  9.327
 -1.733,  5.109,  9.409
 -1.746,  5.078,  9.480
 -1.752,  5.058,  9.554
 -1.768,  5.060,  9.634
 -1.770,  5.024,  9.707
 -1.784,  5.002,  9.782
 -1.794,  4.947,  9.846
 -1.793,  4.915,  9.918
 -1.805,  4.919,  9.991
 -1.813,  4.904, 10.064
 -1.828,  4.887, 10.137
 -1.843,  4.822, 10.200
 -1.854,  4.816, 10.294
 -1.868,  4.791, 10.370
 -1.894,  4.758, 10.446
 -1.912,  4.744, 10.535
 -1.934,  4.709, 10.606
 -1.951,  4.685, 10.680
 -1.958,  4.654, 10.755
 -1.978,  4.632, 10.829
 -2.008,  4.626, 10.908
 -2.016,  4.584, 10.997
 -2.019,  4.550, 11.087
 -2.035,  4.540, 11.153
 -2.046,  4.514, 11.226
 -2.061,  4.497, 11.305
 -2.087,  4.474, 11.371
 -2.089,  4.486, 11.439
 -2.106,  4.454, 11.513
 -2.116,  4.441, 11.589
 -2.135,  4.402, 11.662
 -2.153,  4.380, 11.728
 -2.165,  4.355, 11.808
 -2.193,  4.353, 11.879
 -2.213,  4.337, 11.950
 -2.226,  4.325, 12.026
 -2.243,  4.307, 12.116
 -2.253,  4.285, 12.184
 -2.265,  4.253, 12.252
 -2.281,  4.236, 12.335
 -2.303,  4.207, 12.421
 -2.319,  4.187, 12.495
 -2.326,  4.174, 12.564
 -2.345,  4.129, 12.628
 -2.361,  4.149, 12.713
 -2.380,  4.126, 12.779
 -2.381,  4.088, 12.853
 -2.409,  4.091, 12.946
 -2.434,  4.078, 13.018
 -2.448,  4.065, 13.119
 -2.460,  4.036, 13.202
 -2.472,  3.991, 13.281
 -2.475,  3.993, 13.361
 -2.496,  3.941, 13.429
 -2.492,  3.900, 13.504
 -2.495,  3.877, 13.582
 -2.510,  3.855, 13.653
 -2.527,  3.826, 13.731
 -2.536,  3.793, 13.801
 -2.544,  3.777, 13.874
 -2.564,  3.732, 13.956
 -2.574,  3.733, 14.037
 -2.577,  3.721, 14.110
 -2.594,  3.707, 14.184
 -2.605,  3.684, 14.272
 -2.622,  3.667, 14.355
 -2.647,  3.676, 14.438
 -2.667,  3.618, 14.511
 -2.684,  3.576, 14.587
 -2.701,  3.565, 14.668
 -2.717,  3.544, 14.734
 -2.728,  3.519, 14.809
 -2.740,  3.504, 14.885
 -2.751,  3.483, 14.962
 -2.746,  3.488, 15.046
 -2.758,  3.466, 15.128
 -2.770,  3.429, 15.197
 -2.797,  3.425, 15.270
 -2.805,  3.388, 15.342
 -2.812,  3.352, 15.411
 -2.830,  3.351, 15.506
 -2.840,  3.325, 15.568
 -2.841,  3.306, 15.645
 -2.855,  3.284, 15.719
 -2.859,  3.274, 15.796
 -2.873,  3.260, 15.881
 -2.878,  3.211, 15.946
 -2.879,  3.174, 16.015
 -2.905,  3.140, 16.091
 -2.910,  3.099, 16.185
 -2.922,  3.091, 16.265
 -2.932,  3.086, 16.347
 -2.946,  3.072, 16.417
 -2.956,  3.021, 16.490
 -2.981,  3.017, 16.567
 -2.983,  2.961, 16.637
 -2.994,  2.957, 16.720
