id, roll, pitch, yaw
0,  0.000,  0.000,  0.000
1, -0.011, -6.455,  4.881
2, -0.070, -6.366,  5.081
3, -0.144, -6.268,  5.272
4, -0.216, -6.147,  5.462
5, -0.291, -6.036,  5.667
6, -0.360, -5.924,  5.855
7, -0.420, -5.827,  6.077
8, -0.482, -5.760,  6.284
9, -0.524, -5.671,  6.508
10, -0.538, -5.564,  6.739
11, -0.573, -5.466,  6.926
12, -0.623, -5.383,  7.115
13, -0.708, -5.313,  7.278
14, -0.797, -5.243,  7.448
15, -0.847, -5.170,  7.563
16, -0.699, -5.192,  7.693
17, -0.540, -5.283,  7.760
18, -0.354, -5.309,  7.841
19, -0.668, -5.339,  8.281
20, -1.701, -5.311,  8.969
21, -4.611, -5.149,  9.853
22, -8.677, -4.813, 10.770
23,-12.228, -4.445, 11.931
24,-17.554, -3.946, 12.980
25,-22.462, -4.104, 13.550
26,-29.016, -4.124, 14.825
27,-35.702, -4.326, 16.550
28,-42.807, -4.223, 18.924
29,-50.965, -3.586, 20.713
30,-61.593, -2.063, 22.048
31,-74.145, -0.084, 22.880
32,-88.316,  2.059, 23.108
33, 77.108,  4.054, 22.163
34, 62.898,  5.544, 21.311
35, 55.193,  6.583, 20.523
36, 49.434,  7.453, 19.776
37, 45.345,  7.805, 18.953
38, 41.429,  7.773, 18.110
39, 37.824,  7.903, 17.028
40, 34.175,  8.096, 15.883
41, 30.833,  8.035, 14.828
42, 27.818,  7.511, 13.653
43, 25.422,  7.166, 12.928
44, 23.090,  6.774, 11.882
45, 20.690,  5.991, 10.642
46, 17.847,  4.937,  9.376
47, 16.168,  3.415,  8.169
48, 15.107,  1.991,  7.175
49, 13.888,  0.908,  6.245
50, 12.618, -0.311,  5.266
51, 11.600, -1.650,  4.424
52, 10.900, -2.754,  3.757
53, 10.772, -3.330,  3.390
54, 11.046, -3.856,  2.993
55, 10.087, -2.171,  4.007
56, 10.645, -1.672,  4.586
57, 11.452, -1.802,  5.405
58, 15.250, -2.652,  6.589
59, 16.686, -3.312,  6.422
60, 16.701, -4.501,  7.562
61, 15.355, -5.345,  8.898
62, 13.718, -6.869, 10.454
63, 10.987, -7.904, 11.773
64,  8.900, -9.505, 12.423
65,  6.370, -9.803, 11.697
66,  3.384, -9.408, 10.353
67,  0.570, -7.984,  9.062
68, -2.520, -6.269,  8.450
69, -4.207, -4.731,  8.210
70, -4.935, -4.571,  8.271
71, -7.214, -4.880,  8.369
72,-50.079, -7.980, -1.764
73,-54.444, -7.975, -1.443
74,-58.440, -7.885, -1.159
75,-62.927, -7.897, -1.298
76,-67.474, -8.070, -1.667
77,-71.977, -7.981, -2.562
78,-75.603, -8.119, -3.429
79,-78.992, -7.753, -3.124
80,-81.231, -7.983, -2.728
81,-83.258, -8.302, -2.230
82,-84.418, -8.772, -1.916
83,-84.720, -9.654, -1.950
84,-84.218,-10.909, -2.323
85,-84.225,-13.895, -3.445
86,-85.322,-16.908, -4.909
87,-88.443,-20.045, -5.439
88, 89.046,-21.722, -5.783
89, 86.570,-22.519, -5.742
90, 83.857,-22.361, -5.287
91, 81.375,-22.080, -4.883
92, 79.191,-21.412, -4.196
93, 77.358,-20.758, -3.481
94, 76.276,-20.550, -2.651
95, 75.126,-20.680, -2.120
96, 73.466,-21.095, -2.070
97, 70.834,-21.422, -1.995
98, 67.175,-21.516, -1.592
99, 60.645,-20.862, -1.109
100, 54.646,-19.941, -1.332
101, 47.684,-19.318, -1.443
102, 42.694,-18.738, -0.953
103, 36.155,-18.144,  0.404
104, 29.296,-18.251,  1.243
105, 20.428,-17.606,  1.723
106, 10.789,-17.054,  3.888
107, -2.031,-16.178,  6.039
108,-19.367,-14.743,  7.401
109,-29.469,-14.431,  7.506
110,-36.445,-15.275,  5.686
111,-40.582,-14.649,  5.704
112,-45.318,-13.413,  6.705
113,-49.025,-12.454,  6.771
114,-51.313,-12.244,  6.624
115,-53.790,-12.060,  6.519
116,-55.969,-11.674,  6.491
117,-57.915,-11.026,  6.531
118,-59.837,-10.036,  6.732
119,-61.478, -9.478,  6.794
120,-62.909, -9.381,  6.651
121,-67.416, -9.566,  6.815
122,-70.024,-10.284,  6.877
123,-70.651,-12.246,  5.080
124,-72.904,-13.325,  4.228
125,-75.667,-13.988,  4.159
126,-78.762,-14.856,  3.586
127,-80.117,-15.754,  2.579
128,-81.389,-15.500,  1.782
129,-86.716,-13.960,  1.221
130,-89.477,-13.354,  1.128
131, 88.166,-13.301,  0.832
132, 87.031,-13.304,  0.280
133, 86.382,-13.004,  0.054
134, 85.405,-12.191,  0.609
135, 84.662,-11.642,  1.058
136, 84.484,-11.427,  0.742
137, 83.571,-11.432,  0.027
138, 81.741,-11.379, -0.306
139, 77.845,-10.613, -0.027
140,  4.786,-13.420, -5.786
141, -3.006,-13.433, -4.548
142,-11.612,-13.124, -2.667
143,-18.781,-13.062, -1.065
144,-24.321,-13.079, -0.386
145,-31.358,-15.383, -2.555
146,-35.568,-17.491, -4.448
147,-37.720,-17.895, -4.429
148,-39.905,-18.901, -4.948
149,-42.699,-19.611, -5.015
150,-45.748,-20.612, -5.772
151,-47.690,-21.162, -5.964
152,-49.683,-21.816, -6.315
153,-51.958,-22.314, -6.878
154,-54.258,-23.999, -5.917
155,-56.372,-25.045, -6.167
156,-57.630,-25.591, -6.713
157,-58.227,-26.061, -7.217
158,-58.438,-26.291, -7.215
159,-58.580,-27.003, -7.105
160,-58.030,-28.169, -7.177
161,-56.794,-29.692, -8.004
162,-57.706,-30.852, -9.229
163,-62.012,-32.935,-10.779
164,-64.390,-34.692,-12.385
165,-64.988,-35.777,-14.143
166,-66.168,-36.376,-15.665
167,-68.081,-36.399,-17.007
168,-70.599,-35.654,-18.526
169,-72.489,-34.582,-19.858
170,-73.963,-34.075,-20.374
171,-75.460,-33.251,-21.015
172,-76.325,-32.131,-21.705
173,-77.152,-31.003,-21.521
174,-78.004,-30.427,-20.571
175,-78.059,-29.967,-20.132
176,-78.551,-30.242,-19.889
177,-79.141,-30.647,-19.696
178,-81.600,-30.933,-19.624
179,-84.818,-30.749,-19.659
180,-88.503,-30.124,-19.924
181, 88.756,-29.470,-20.048
182, 85.241,-28.600,-20.367
183, 78.717,-27.833,-21.487
184, 70.605,-27.584,-22.304
185, 61.782,-26.304,-22.033
186, 54.774,-27.392,-20.481
187, 45.601,-28.095,-18.710
188, 35.825,-28.832,-16.681
189, 25.160,-29.680,-14.603
190, 20.300,-30.258,-12.030
191, 14.500,-30.077,-10.409
192,  9.913,-29.639, -9.389
193,  5.551,-29.444, -8.651
194,  0.853,-29.357, -7.827
195, -3.868,-29.180, -7.008
196, -8.058,-29.337, -5.943
197,-11.256,-29.722, -4.587
198,-14.639,-30.239, -3.344
199,-18.691,-30.432, -1.983
200,-21.575,-30.146, -1.668
201,-24.764,-29.705, -1.478
202,-27.667,-29.595, -1.066
203,-31.232,-29.810, -0.229
204,-34.191,-30.059,  0.740
205,-36.134,-30.162,  1.355
206,-37.263,-30.326,  1.601
207,-38.073,-30.422,  1.571
208,-39.193,-30.426,  2.216
209,-41.210,-30.508,  3.826
210,-43.204,-31.125,  5.848
211,-46.299,-31.986,  7.743
212,-46.286,-32.512,  7.974
213,-46.540,-32.202,  8.129
214,-59.953,-24.036, 21.850
215,-62.033,-23.598, 23.176
216,-63.723,-23.342, 24.010
217,-65.119,-23.216, 24.392
218,-65.574,-23.654, 25.118
219,-65.910,-23.645, 25.423
220,-66.323,-23.405, 25.020
221,-67.174,-23.610, 23.655
222,-68.238,-23.487, 22.238
