roll, pitch, yaw
  0.000,  0.000,  0.000
 90.053,  3.244, 12.597
 90.058,  3.443, 12.696
 90.065,  3.650, 12.783
 90.071,  3.840, 12.857
 90.078,  4.025, 12.937
 90.085,  4.236, 13.026
 90.092,  4.415, 13.115
 90.101,  4.619, 13.208
 90.110,  4.834, 13.305
 90.118,  5.012, 13.380
 90.127,  5.205, 13.457
 90.136,  5.385, 13.543
 90.146,  5.585, 13.633
 90.156,  5.786, 13.726
 90.167,  5.974, 13.810
 90.177,  6.163, 13.889
 90.191,  6.397, 14.006
 90.204,  6.620, 14.123
 90.218,  6.833, 14.220
 90.230,  7.023, 14.309
 90.243,  7.221, 14.398
 90.259,  7.447, 14.487
 90.273,  7.652, 14.586
 90.292,  7.922, 14.713
 90.306,  8.100, 14.805
 90.326,  8.362, 14.910
 90.343,  8.570, 15.010
 90.361,  8.792, 15.111
 90.378,  8.990, 15.207
 90.395,  9.186, 15.304
 90.414,  9.397, 15.406
 90.433,  9.620, 15.514
 90.454,  9.844, 15.624
 90.472, 10.024, 15.714
 90.493, 10.244, 15.819
 90.511, 10.429, 15.916
 90.533, 10.636, 16.017
 90.555, 10.864, 16.127
 90.577, 11.073, 16.237
 90.601, 11.292, 16.345
 90.622, 11.484, 16.438
 90.643, 11.675, 16.551
 90.666, 11.875, 16.652
 90.689, 12.077, 16.759
 90.710, 12.264, 16.868
 90.733, 12.459, 16.963
 90.757, 12.654, 17.067
 90.783, 12.874, 17.172
 90.807, 13.062, 17.271
 90.833, 13.268, 17.386
 90.857, 13.452, 17.480
 90.882, 13.644, 17.580
 90.908, 13.842, 17.690
 90.934, 14.032, 17.796
 90.960, 14.218, 17.893
 90.990, 14.436, 18.011
 91.023, 14.674, 18.147
 91.051, 14.863, 18.256
 91.084, 15.092, 18.378
 91.112, 15.274, 18.478
 91.149, 15.522, 18.609
 91.178, 15.709, 18.719
 91.212, 15.934, 18.836
 91.241, 16.110, 18.941
 91.274, 16.318, 19.062
 91.312, 16.555, 19.202
 91.346, 16.771, 19.330
 91.379, 16.967, 19.439
 91.414, 17.177, 19.551
 91.452, 17.401, 19.673
 91.491, 17.631, 19.805
 91.529, 17.853, 19.913
 91.565, 18.056, 20.032
 91.599, 18.244, 20.141
 91.636, 18.445, 20.257
 91.674, 18.659, 20.383
 91.717, 18.883, 20.527
 91.752, 19.067, 20.633
 91.791, 19.270, 20.762
 91.829, 19.458, 20.875
 91.869, 19.658, 20.993
 91.907, 19.854, 21.116
 91.945, 20.038, 21.220
 91.994, 20.291, 21.374
 92.031, 20.469, 21.492
 92.074, 20.669, 21.621
 92.115, 20.868, 21.747
 92.156, 21.065, 21.868
 92.196, 21.243, 21.987
 92.242, 21.458, 22.129
 92.283, 21.646, 22.253
 92.326, 21.830, 22.390
 92.372, 22.033, 22.535
 92.415, 22.216, 22.651
 92.464, 22.435, 22.789
 92.506, 22.615, 22.905
 92.548, 22.797, 23.038
 92.592, 22.982, 23.172
 92.641, 23.188, 23.312
 92.686, 23.366, 23.440
 92.733, 23.559, 23.580
 92.781, 23.750, 23.721
 92.825, 23.923, 23.844
 92.876, 24.127, 23.990
 92.920, 24.292, 24.118
 92.975, 24.514, 24.276
 93.018, 24.681, 24.392
 93.075, 24.903, 24.546
 93.129, 25.104, 24.684
 93.180, 25.303, 24.835
 93.228, 25.480, 24.961
 93.278, 25.666, 25.104
 93.332, 25.876, 25.260
 93.381, 26.057, 25.404
 93.445, 26.297, 25.579
 93.499, 26.491, 25.726
 93.549, 26.664, 25.870
 93.604, 26.851, 26.025
 93.658, 27.035, 26.168
 93.714, 27.238, 26.317
 93.762, 27.398, 26.456
 93.819, 27.588, 26.614
 93.871, 27.762, 26.753
 93.925, 27.945, 26.896
 93.982, 28.144, 27.065
 94.036, 28.321, 27.208
 94.093, 28.507, 27.355
 94.145, 28.671, 27.498
 94.208, 28.876, 27.646
 94.267, 29.067, 27.818
 94.322, 29.241, 27.974
