ax, ay, az, gx, gy, gz 
 -0.049,  0.018, -1.017, -2.482,   9.585,  -1.525
 -0.057,  0.009, -1.077, -2.370,   7.709,  -1.757
 -0.065,  0.007, -1.047, -2.146,   9.413,  -1.406
 -0.074,  0.006, -1.041, -3.193,   9.757,  -1.406
 -0.067,  0.010, -1.054, -2.766,   9.196,  -1.398
 -0.068,  0.017, -1.058, -2.751,   9.510,  -1.346
 -0.074,  0.007, -1.028, -2.542,   8.643,  -1.615
 -0.068,  0.006, -1.044, -2.617,   8.882,  -1.428
 -0.072, -0.001, -1.043, -2.467,  10.146,  -1.249
 -0.066,  0.010, -1.047, -2.804,   9.570,  -1.533
 -0.061,  0.011, -1.056, -2.864,   8.352,  -1.585
 -0.081,  0.012, -1.059, -2.228,  10.752,  -1.241
 -0.064,  0.009, -1.052, -2.565,   9.578,  -1.189
 -0.085,  0.015, -1.043, -2.938,   8.853,  -1.279
 -0.070,  0.013, -1.038, -2.699,   9.959,  -1.443
 -0.060,  0.004, -1.038, -2.804,   9.241,  -1.525
 -0.077,  0.012, -1.071, -2.796,   9.189,  -1.406
 -0.067,  0.011, -1.052, -2.751,   9.810,  -1.428
 -0.076,  0.006, -1.028, -1.794,   9.765,  -1.331
 -0.056,  0.010, -1.071, -2.639,   9.862,  -1.279
 -0.085,  0.014, -1.054, -2.123,   8.628,  -1.271
 -0.067,  0.004, -1.043, -2.482,   9.428,  -1.234
 -0.084,  0.013, -1.066, -2.460,   8.935,  -1.488
 -0.069,  0.009, -1.051, -3.469,   9.039,  -1.323
 -0.072,  0.011, -1.073, -2.632,   9.241,  -1.353
 -0.066,  0.013, -1.061, -2.385,   9.510,  -1.226
 -0.059,  0.012, -1.053, -2.707,   9.264,  -1.667
 -0.057,  0.011, -1.031, -2.819,   9.002,  -1.458
 -0.075,  0.001, -1.069, -2.445,   8.800,  -1.480
 -0.078,  0.017, -1.025, -3.402,   9.368,  -1.174
 -0.087,  0.004, -1.021, -2.460,   9.122,  -1.383
 -0.074,  0.015, -1.065, -2.079,  10.071,  -1.301
 -0.064,  0.002, -1.051, -2.923,   9.720,  -1.615
 -0.070,  0.020, -1.070, -2.348,  10.116,  -1.279
 -0.074,  0.004, -1.045, -2.363,  10.520,  -1.256
 -0.081,  0.013, -1.037, -2.766,   9.510,  -1.308
 -0.075,  0.007, -1.038, -2.811,   9.772,  -1.473
 -0.088,  0.019, -1.083, -2.834,   9.249,  -1.241
 -0.056,  0.011, -1.072, -2.460,   9.249,  -1.428
 -0.075,  0.004, -1.053, -2.422,   9.525,  -1.488
 -0.070,  0.023, -1.076, -4.112,   8.269,  -1.361
 -0.073,  0.007, -1.040, -3.305,   8.912,  -1.421
 -0.074, -0.002, -1.050, -2.116,   9.481,  -1.563
 -0.075,  0.006, -1.036, -1.824,   9.660,  -1.189
 -0.081,  0.023, -1.058, -3.686,   7.978,  -1.608
 -0.067,  0.012, -1.046, -4.217,   8.770,  -1.503
 -0.071,  0.012, -1.053, -3.006,   8.905,  -1.428
 -0.072,  0.008, -1.032, -1.854,  10.191,  -1.622
 -0.056,  0.020, -1.051, -2.774,   9.967,  -1.593
 -0.063,  0.004, -1.038, -3.125,   9.525,  -1.391
 -0.079,  0.008, -1.040, -3.080,   9.720,  -1.376
 -0.068,  0.013, -1.058, -1.907,  10.363,  -1.166
 -0.066,  0.010, -1.030, -3.656,   8.628,  -1.376
 -0.065,  0.017, -1.042, -2.490,   9.862,  -1.368
 -0.064,  0.008, -1.056, -2.348,  10.355,  -1.518
 -0.081,  0.012, -1.065, -1.750,  11.649,  -1.204
 -0.056,  0.019, -1.067, -3.080,   8.030,  -1.525
 -0.047,  0.008, -1.037, -3.028,   8.232,  -1.271
 -0.064,  0.014, -1.061, -1.989,  10.535,  -0.860
 -0.069,  0.013, -1.045, -2.251,   9.204,  -1.166
 -0.084,  0.001, -1.017, -2.168,  10.273,  -1.398
 -0.066,  0.020, -1.046, -2.796,   9.152,  -1.600
 -0.064,  0.005, -1.055, -3.507,   8.972,  -1.122
