,Ax,Ay,Az,Swing
1,-0.217,0.041,0.971,0
2,-0.238,0.041,0.942,0
3,-0.23,0.048,0.978,0
4,-0.267,0.043,0.918,0
5,-0.245,0.038,0.91,0
6,-0.258,0.057,0.939,0
7,-0.234,0.052,0.992,0
8,-0.221,0.052,0.974,0
9,-0.251,0.04,0.922,0
10,-0.229,0.045,0.964,0
11,-0.252,0.032,0.931,0
12,-0.257,0.038,0.937,0
13,-0.248,0.047,0.944,0
14,-0.22,0.047,0.979,0
15,-0.261,0.055,0.92,0
16,-0.245,0.041,0.885,0
17,-0.252,0.051,0.934,0
18,-0.227,0.042,0.962,0
19,-0.266,0.059,0.938,0
20,-0.235,0.045,0.985,0
21,-0.239,0.035,0.936,0
22,-0.258,0.047,0.95,0
23,-0.246,0.049,0.962,0
24,-0.236,0.037,0.937,0
25,-0.212,0.04,0.963,0
26,-0.181,0.054,1.029,0
27,-0.096,0.029,0.933,0
28,-0.032,-0.045,0.945,0
29,-0.212,-0.008,1.024,0
30,-0.161,0.038,0.964,0
31,-0.088,0.028,0.95,0
32,-0.234,0.214,1.008,0
33,-0.093,0.015,0.993,0
34,-0.109,0.01,0.921,0
35,-0.092,0.019,0.973,0
36,-0.114,0.012,0.943,0
37,-0.113,-0.006,0.971,0
38,-0.087,0.016,0.979,0
39,-0.094,0.017,0.961,0
40,-0.096,0.014,0.961,0
41,-0.113,0.011,0.896,0
42,-0.108,0.019,0.995,0
43,-0.089,0.013,0.973,0
44,-0.111,0.026,0.953,0
45,-0.072,0.005,0.951,0
46,-0.094,0.015,0.989,0
47,-0.085,0.01,0.954,0
48,-0.09,0.007,0.956,0
49,-0.073,0.009,0.971,0
50,-0.108,0.003,0.945,0
51,-0.115,0.005,0.911,0
52,-0.091,0.023,0.979,0
53,-0.082,0.018,0.957,0
54,-0.107,0.013,0.92,0
55,-0.093,0.018,1.008,0
56,-0.061,0.021,0.952,0
57,-0.095,0.016,0.967,0
58,-0.109,0.006,1.018,0
59,-0.089,0.017,0.965,0
60,-0.108,0.026,0.99,0
61,-0.102,0.03,0.99,0
62,-0.154,0.029,0.914,0
63,-0.1,0.015,0.854,0
64,-0.077,0.02,1.014,0
65,-0.091,0.008,0.973,0
66,-0.146,0.034,0.953,0
67,-0.084,0.013,0.968,0
68,-0.123,-0.002,0.981,0
69,-0.084,0.004,0.952,0
70,-0.08,-0.001,0.904,0
71,-0.082,0.015,0.948,0
72,-0.048,0.03,1.02,0
73,-0.093,0.002,0.934,0
74,-0.137,0.035,1.02,0
75,-0.103,0.015,1.072,0
76,-0.113,0.004,0.91,0
77,-0.069,0.017,1.028,0
78,-0.089,0.008,0.924,0
79,-0.144,0.009,0.875,0
80,-0.1,0.002,0.946,0
81,-0.105,0.009,0.975,0
82,-0.096,-0.001,0.945,0
83,-0.1,0.045,0.918,0
84,-0.095,0.005,0.912,0
85,-0.13,0.034,0.899,0
86,-0.086,0.022,0.984,0
87,-0.114,0.008,0.937,0
88,-0.093,0.013,1.019,0
89,-0.121,0.032,0.977,0
90,-0.087,0.038,1.006,0
91,-0.098,0.003,0.903,0
92,-0.086,0.014,1.012,0
93,-0.108,0.01,0.941,0
94,-0.091,0.016,0.957,0
95,-0.102,0.019,0.972,0
96,-0.116,0.016,0.959,0
97,-0.119,0.008,0.916,0
98,-0.113,0.016,0.977,0
99,-0.133,0.01,0.979,0
100,-0.118,0.011,0.932,0
101,-0.11,0.014,0.939,0
102,-0.07,0.009,0.995,0
103,-0.087,0.006,0.913,0
104,-0.131,0.016,0.997,0
105,-0.082,0,0.948,0
106,-0.089,0.011,1.015,0
107,-0.094,0.023,0.99,0
108,-0.088,0.014,0.982,0
109,-0.106,0.016,0.946,0
110,-0.083,0.01,0.953,0
111,-0.11,0.029,0.957,0
112,-0.105,0.017,0.966,0
113,-0.11,0.015,0.935,0
114,-0.109,0.018,0.98,0
115,-0.113,0.006,0.966,0
116,-0.102,0.007,0.951,1
117,-0.101,0.015,0.957,1
118,-0.091,0.005,0.952,1
119,-0.122,0.016,0.961,1
120,-0.093,0.004,0.968,1
121,-0.108,0.015,0.97,1
122,-0.101,0.016,0.956,1
123,-0.113,0.022,0.972,1
124,-0.112,0.011,0.941,1
125,-0.093,0.004,0.95,1
126,-0.082,0.02,0.967,1
127,-0.115,0.01,0.994,1
128,-0.09,0.02,0.986,1
129,-0.103,0.017,0.929,1
130,-0.116,0.017,0.924,1
131,-0.093,0.023,0.962,1
132,-0.1,0.018,0.94,1
133,-0.106,0.005,0.953,1
134,-0.11,0.011,0.932,1
135,-0.087,0.011,0.957,1
136,-0.081,0.013,0.951,1
137,-0.096,0.01,0.959,1
138,-0.086,0.019,0.934,1
139,-0.102,0.012,0.938,1
140,-0.093,0.01,0.958,1
141,-0.123,0.018,0.976,1
142,-0.089,0.014,0.953,1
143,-0.119,0.022,0.887,1
144,-0.077,0.015,0.968,1
145,-0.109,0.011,0.92,1
146,-0.098,0.012,0.955,1
147,-0.101,0.008,0.933,1
148,-0.096,0.015,0.986,1
149,-0.08,0.015,0.962,1
150,-0.095,0.012,0.969,1
151,-0.088,0.015,0.967,1
152,-0.112,0.016,0.969,1
153,-0.108,0.017,0.957,1
154,-0.103,0.007,0.94,1
155,-0.09,0.014,0.963,1
156,-0.083,0.017,0.995,1
157,-0.113,0.013,0.969,1
158,-0.104,0.027,0.96,1
159,-0.096,0.012,0.941,1
160,-0.109,0.021,0.963,1
161,-0.099,0.019,0.965,1
162,-0.103,0.007,0.954,1
163,-0.085,0.012,0.966,1
164,-0.088,0.001,0.943,0
165,-0.086,0.023,0.978,0
166,-0.08,0.019,0.965,0
167,-0.081,0.02,0.962,0
168,-0.085,0.011,0.975,0
169,-0.102,0.02,0.983,0
170,-0.097,0.008,0.951,0
171,-0.112,0.025,0.936,0
172,-0.088,0.008,0.965,0
173,-0.093,0.019,0.972,0
174,-0.093,0.007,0.927,0
175,-0.098,0.013,0.953,0
176,-0.099,0.015,0.977,0
177,-0.09,0.025,0.972,0
178,-0.103,0.012,0.988,0
179,-0.098,0.013,0.975,0
180,-0.13,0.019,0.989,0
181,-0.09,0.015,0.975,0
182,-0.102,0.009,0.955,0
183,-0.098,0.016,0.971,0
184,-0.087,0.015,0.985,0
185,-0.09,0.02,0.959,1
186,-0.085,0.022,1.004,1
187,-0.097,0.018,0.969,1
188,-0.107,0.023,0.955,1
189,-0.095,0.009,0.965,1
190,-0.098,0.016,0.967,1
191,-0.089,0.013,0.951,1
192,-0.114,0.015,0.967,1
193,-0.102,0.011,0.968,1
194,-0.096,0.003,0.949,1
195,-0.098,0.018,0.964,1
196,-0.09,0.015,0.961,1
197,-0.115,0.026,0.974,1
198,-0.105,0.014,0.958,1
199,-0.109,0.021,0.981,1
200,-0.089,0.013,0.963,1
201,-0.091,0.013,0.948,1
202,-0.098,0.013,0.953,1
203,-0.096,0.012,0.976,1
204,-0.093,0.016,0.966,1
205,-0.098,0.013,0.976,1
206,-0.086,0.013,0.985,1
207,-0.095,0.011,0.965,1
208,-0.082,0.01,0.976,1
209,-0.092,0.008,0.983,0
210,-0.099,0.008,0.98,0
211,-0.128,0.024,0.968,0
212,-0.091,0.017,0.944,0
213,-0.099,0.012,0.955,0
214,-0.098,0.011,0.979,0
215,-0.109,0.013,0.98,0
216,-0.097,0.009,0.934,0
217,-0.094,0.016,0.97,0
218,-0.097,0.01,0.936,0
219,-0.108,0.011,0.97,0
220,-0.115,0.013,0.961,0
221,-0.096,0.01,0.952,0
222,-0.108,0.006,0.995,0
223,-0.094,0.009,0.953,0
224,-0.085,0.018,0.928,0
225,-0.112,0.006,0.981,0
226,-0.099,0.011,0.957,0
227,-0.093,0.012,0.962,0
228,-0.099,0.016,0.959,0
229,-0.105,0.014,0.947,0
230,-0.083,0.019,0.944,0
231,-0.096,0.022,0.975,0
232,-0.096,0.017,0.95,0
