Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -5.024,  2.751, -4.867,  -0.122,  0.040,  0.982,  0.130, -0.029,  0.356
1, -4.815,  2.452, -4.374,  -0.126,  0.039,  0.989,  0.136, -0.028,  0.355
2, -4.763,  3.118, -4.703,  -0.125,  0.041,  0.990,  0.141, -0.027,  0.358
3, -4.658,  3.006, -4.890,  -0.124,  0.037,  0.998,  0.128, -0.026,  0.359
4, -4.995,  2.946, -4.718,  -0.112,  0.041,  0.971,  0.139, -0.025,  0.361
5, -4.845,  2.953, -4.695,  -0.127,  0.037,  0.992,  0.140, -0.025,  0.357
6, -4.912,  2.804, -4.725,  -0.118,  0.041,  0.983,  0.139, -0.024,  0.355
7, -4.830,  3.065, -4.673,  -0.125,  0.036,  0.996,  0.138, -0.025,  0.355
8, -5.047,  2.871, -4.793,  -0.114,  0.042,  0.974,  0.141, -0.029,  0.361
9, -4.845,  2.811, -4.643,  -0.118,  0.041,  0.978,  0.135, -0.025,  0.359
10, -4.950,  2.796, -4.643,  -0.123,  0.039,  0.999,  0.133, -0.025,  0.359
11, -4.486,  2.587, -4.613,  -0.121,  0.037,  0.989,  0.137, -0.024,  0.355
12, -4.778,  2.707, -4.703,  -0.121,  0.040,  0.982,  0.135, -0.024,  0.354
13, -4.875,  2.841, -4.688,  -0.119,  0.039,  0.983,  0.137, -0.027,  0.356
14, -5.002,  2.908, -4.546,  -0.115,  0.042,  0.970,  0.137, -0.024,  0.357
15, -5.495,  3.095, -4.606,  -0.113,  0.044,  0.966,  0.135, -0.029,  0.361
16, -5.024,  2.737, -4.628,  -0.123,  0.038,  0.980,  0.137, -0.027,  0.355
17, -4.434,  2.938, -4.486,  -0.124,  0.039,  0.983,  0.136, -0.024,  0.354
18, -4.905,  2.826, -4.778,  -0.115,  0.043,  0.982,  0.137, -0.024,  0.355
19, -4.479,  2.864, -4.740,  -0.115,  0.046,  0.991,  0.134, -0.025,  0.357
20, -4.927,  3.290, -4.875,  -0.126,  0.038,  0.989,  0.130, -0.025,  0.357
21, -4.247,  2.796, -4.381,  -0.124,  0.037,  0.992,  0.136, -0.025,  0.357
22, -4.867,  3.073, -4.800,  -0.120,  0.039,  0.986,  0.130, -0.024,  0.359
23, -3.888,  5.077, -4.957,  -0.115,  0.026,  0.997,  0.137, -0.026,  0.355
24,-15.305,  3.708, 30.603,  -0.018,  0.059,  1.039,  0.166,  0.002,  0.368
25, -3.245,  7.013,-19.238,  -0.067,  0.072,  0.965,  0.112,  0.063,  0.359
26, -5.226, -0.464,-14.617,  -0.143,  0.043,  0.965,  0.063,  0.070,  0.346
27, -4.531,  2.699, -5.451,  -0.218,  0.067,  0.969,  0.035,  0.047,  0.338
28, -4.673,  3.058, -4.852,  -0.115,  0.037,  0.981,  0.042,  0.045,  0.335
29, -4.965,  3.110, 14.580,  -0.357, -0.092,  0.981,  0.039,  0.044,  0.335
30,-37.160, 20.038, -2.834,  -0.170, -0.035,  1.071,  0.048,  0.044,  0.335
