Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -3.574,  2.482, -4.980,  -0.043,  0.860,  0.503, -0.104, -0.208,  0.136
1, -4.882,  2.325, -5.413,  -0.042,  0.860,  0.495, -0.096, -0.220,  0.129
2, -4.097,  2.542, -5.009,  -0.036,  0.867,  0.478, -0.098, -0.224,  0.143
3, -3.439,  2.751, -5.077,  -0.043,  0.861,  0.508, -0.097, -0.226,  0.137
4, -3.723,  2.729, -4.897,  -0.046,  0.858,  0.513, -0.099, -0.213,  0.143
5, -4.135,  2.662, -4.920,  -0.024,  0.870,  0.463, -0.097, -0.226,  0.138
6, -3.978,  2.647, -4.980,  -0.042,  0.863,  0.502, -0.099, -0.190,  0.112
7, -3.708,  2.385, -4.725,  -0.054,  0.857,  0.522, -0.098, -0.213,  0.133
8, -3.888,  2.707, -5.099,  -0.046,  0.860,  0.503, -0.096, -0.224,  0.160
9, -3.708,  2.370, -5.241,  -0.042,  0.861,  0.501, -0.096, -0.220,  0.144
10, -4.165,  2.086, -4.815,  -0.048,  0.859,  0.512, -0.096, -0.221,  0.142
11, -3.985,  2.714, -5.009,  -0.041,  0.863,  0.497, -0.099, -0.217,  0.159
12, -3.933,  2.587, -4.980,  -0.042,  0.861,  0.501, -0.100, -0.218,  0.163
13, -3.656,  2.550, -5.122,  -0.040,  0.862,  0.506, -0.099, -0.230,  0.151
14, -4.120,  2.310, -5.159,  -0.039,  0.863,  0.497, -0.095, -0.210,  0.138
15, -3.529,  2.497, -4.808,  -0.037,  0.864,  0.499, -0.094, -0.222,  0.156
16, -4.157,  2.408, -4.965,  -0.043,  0.861,  0.508, -0.095, -0.215,  0.139
17, -3.873,  2.265, -5.047,  -0.050,  0.858,  0.515, -0.098, -0.220,  0.149
18, -3.955,  2.796, -4.703,  -0.039,  0.863,  0.498, -0.095, -0.216,  0.157
19, -3.686,  2.460, -5.107,  -0.044,  0.861,  0.506, -0.099, -0.203,  0.135
20, -4.060,  2.781, -5.024,  -0.037,  0.862,  0.496, -0.096, -0.222,  0.142
21, -3.866,  2.490, -5.137,  -0.046,  0.860,  0.509, -0.097, -0.223,  0.155
22, -3.895,  2.587, -4.972,  -0.046,  0.861,  0.501, -0.096, -0.224,  0.148
23, -3.933,  2.886, -5.196,  -0.035,  0.864,  0.480, -0.096, -0.229,  0.115
24, -3.873,  2.273, -4.972,  -0.043,  0.860,  0.500, -0.097, -0.202,  0.119
25, -3.761,  2.363, -4.987,  -0.050,  0.859,  0.510, -0.096, -0.226,  0.154
26, -3.551,  2.370, -4.845,  -0.044,  0.860,  0.497, -0.092, -0.228,  0.136
27, -3.933,  2.819, -5.211,  -0.044,  0.861,  0.505, -0.099, -0.217,  0.157
28, -3.918,  2.565, -4.882,  -0.043,  0.859,  0.499, -0.097, -0.222,  0.154
29, -4.464,  2.505, -5.137,  -0.039,  0.864,  0.490, -0.099, -0.224,  0.152
30, -4.045,  2.467, -5.032,  -0.022,  0.871,  0.455, -0.093, -0.225,  0.141
31, -3.694,  2.579, -4.995,  -0.052,  0.856,  0.521, -0.097, -0.225,  0.155
32, -3.776,  2.699, -4.882,  -0.041,  0.862,  0.496, -0.097, -0.207,  0.135
33, -3.731,  2.482, -4.890,  -0.055,  0.856,  0.527, -0.098, -0.217,  0.156
34, -4.359,  2.923, -5.353,  -0.047,  0.860,  0.504, -0.097, -0.222,  0.163
35, -4.217,  2.408, -5.069,  -0.035,  0.864,  0.485, -0.100, -0.220,  0.128
36, -3.551,  2.243, -4.553,  -0.062,  0.852,  0.543, -0.096, -0.221,  0.153
37, -4.239,  2.550, -4.980,  -0.040,  0.863,  0.495, -0.097, -0.221,  0.133
38, -3.813,  2.497, -5.017,  -0.042,  0.862,  0.495, -0.099, -0.189,  0.127
39, -3.880,  2.146, -4.755,  -0.040,  0.861,  0.501, -0.094, -0.222,  0.175
40, -4.052,  2.811, -5.368,  -0.045,  0.860,  0.504, -0.095, -0.219,  0.149
41, -3.843,  2.692, -5.009,  -0.038,  0.862,  0.494, -0.099, -0.222,  0.154
42, -6.983,  3.350, -4.927,  -0.040,  0.869,  0.485, -0.100, -0.227,  0.152
43, -2.572,  4.561, -3.342,  -0.013,  0.865,  0.462, -0.098, -0.224,  0.155
