Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -3.148,  2.123, -5.510,  -0.138, -0.023, -1.061, -0.194, -0.002, -0.120
0, -2.804,  2.535, -5.952,  -0.141, -0.024, -1.054, -0.197, -0.002, -0.112
0, -2.953,  2.348, -5.817,  -0.158, -0.031, -1.030, -0.198, -0.001, -0.125
0, -2.968,  2.363, -5.802,  -0.159, -0.032, -1.015, -0.196, -0.003, -0.112
0, -3.118,  1.974, -6.602,  -0.148, -0.011, -1.057, -0.194, -0.003, -0.114
0, -3.604,  1.181, -2.946,  -0.141, -0.017, -1.070, -0.195, -0.005, -0.115
0, -3.118,  1.107, -4.516,  -0.151, -0.022, -1.064, -0.194, -0.001, -0.119
0, -2.976,  1.720, -4.852,  -0.154, -0.023, -1.055, -0.194,  0.002, -0.123
0, -3.155,  2.759, -6.565,  -0.147, -0.034, -1.058, -0.193, -0.001, -0.122
0, -3.148,  2.430, -6.452,  -0.155, -0.028, -1.048, -0.197,  0.015, -0.113
0, -3.275,  2.206, -5.406,  -0.152, -0.023, -1.055, -0.194, -0.003, -0.107
0, -2.826,  2.251, -5.510,  -0.160, -0.027, -1.041, -0.197, -0.012, -0.123
0, -3.088,  2.550, -5.525,  -0.157, -0.021, -1.055, -0.195, -0.006, -0.109
0, -3.581,  2.295, -5.548,  -0.154, -0.025, -1.050, -0.194,  0.002, -0.116
0, -2.355,  3.036, -4.359,  -0.157, -0.021, -1.052, -0.194,  0.008, -0.115
0, -3.223,  0.359, -5.346,  -0.150, -0.011, -1.066, -0.192, -0.008, -0.112
0, -3.776,  2.191, -8.329,  -0.205, -0.021, -1.054, -0.198, -0.005, -0.137
0, -3.761,  1.742, -8.030,  -0.121, -0.038, -1.055, -0.196, -0.001, -0.121
0, -7.537,  5.585,-11.081,  -0.135, -0.045, -1.041, -0.204, -0.017, -0.112
0, 27.694, 17.354, 17.458,  -0.147, -0.035, -1.074, -0.208,  0.001, -0.127
0,-23.716, 65.295,  2.101,  -0.070, -0.001, -0.919, -0.207,  0.028, -0.104
0, -2.579, 15.141,  8.165,  -0.027, -0.119, -1.148, -0.207,  0.038, -0.093
0,  2.901, -1.428, 11.798,   0.000, -0.089, -1.111, -0.209,  0.035, -0.119
0, -1.742,-15.327,-21.107,  -0.041, -0.106, -0.977, -0.210,  0.040, -0.144
0, -5.914,-12.524, -4.075,   0.014, -0.026, -1.042, -0.214,  0.041, -0.160
0, -1.563,-12.987, 11.118,  -0.025,  0.021, -1.056, -0.205,  0.054, -0.187
0, -8.838, -4.269, 15.649,  -0.065, -0.061, -1.080, -0.180,  0.076, -0.205
0,-17.331,  5.854, 31.156,  -0.128, -0.092, -1.000, -0.162,  0.105, -0.261
0, -6.595,  3.051, 18.797,  -0.093, -0.113, -1.023, -0.139,  0.091, -0.235
0, -6.505,  3.933, 18.774,  -0.066, -0.091, -1.074, -0.119,  0.103, -0.253
0, -3.985, 12.292, 32.225,  -0.096, -0.027, -1.007, -0.110,  0.106, -0.252
0, 12.284, 24.733, 45.601,  -0.140, -0.111, -1.091, -0.105,  0.098, -0.244
0, 18.385, 46.379, 42.506,  -0.061, -0.255, -1.114, -0.118,  0.112, -0.211
0,  5.398, 47.014, 39.672,  -0.027, -0.172, -1.028, -0.099,  0.158, -0.181
0, 14.056, 28.801, 17.376,   0.037, -0.248, -0.951, -0.082,  0.182, -0.157
0, 28.427, 32.995, -2.819,   0.061, -0.445, -1.002, -0.078,  0.210, -0.161
0, 33.025, 23.589,-36.958,   0.111, -0.455, -0.874, -0.090,  0.186, -0.126
0, 30.236, 19.283,-55.411,   0.259, -0.438, -0.746, -0.117,  0.171, -0.100
0, 24.958,  8.815,-62.633,   0.284, -0.363, -0.674, -0.154,  0.138, -0.088
0, 22.498,-13.062,-68.450,   0.306, -0.438, -0.702, -0.181,  0.114, -0.087
0, 23.148, -4.957,-65.751,   0.378, -0.314, -0.771, -0.210,  0.064, -0.082
0, 21.279,-18.042,-54.850,   0.406, -0.335, -0.693, -0.219,  0.026, -0.091
0, 12.763,-17.092,-53.482,   0.440, -0.262, -0.707, -0.233,  0.009, -0.111
0, 12.912,-26.199,-33.504,   0.446, -0.223, -0.673, -0.236, -0.027, -0.140
0,  9.002,-30.064,-33.414,   0.380, -0.175, -0.741, -0.236, -0.053, -0.147
0, 10.909,-44.539,-30.961,   0.293, -0.116, -0.778, -0.223, -0.066, -0.201
0, -1.174,-43.313,-20.165,   0.219, -0.168, -0.852, -0.211, -0.074, -0.211
0, -7.656,-46.012,-15.828,   0.163, -0.224, -0.917, -0.197, -0.087, -0.240
0,-17.735,-35.126, -9.189,   0.078, -0.149, -0.997, -0.178, -0.099, -0.288
0, -7.267,-34.984,  4.180,  -0.003, -0.103, -0.959, -0.167, -0.108, -0.269
0, -2.437,-39.635,  5.338,  -0.137, -0.159, -0.883, -0.149, -0.099, -0.299
0, -9.892,-41.205, 13.189,  -0.252, -0.124, -1.114, -0.134, -0.100, -0.305
0,-16.075,-15.342, 13.137,  -0.342, -0.069, -1.034, -0.135, -0.111, -0.324
0,  0.097,-13.914,  5.750,  -0.353, -0.057, -1.211, -0.144, -0.129, -0.314
0,  0.000, -4.942, 14.109,  -0.390, -0.079, -1.143, -0.158, -0.116, -0.311
0, -7.185, -2.460, 15.141,  -0.376, -0.159, -0.963, -0.176, -0.104, -0.313
0,-19.731,  3.753, 22.475,  -0.407, -0.206, -0.949, -0.190, -0.096, -0.302
0,-19.604, 16.038, 28.733,  -0.480, -0.123, -1.058, -0.202, -0.068, -0.310
0, -8.905, 24.726, 14.572,  -0.355, -0.082, -1.145, -0.208, -0.031, -0.300
0,-15.305, 27.866, 11.499,  -0.306, -0.035, -1.090, -0.212, -0.026, -0.316
0,-25.601, 15.200, 28.240,  -0.222,  0.108, -0.958, -0.206, -0.002, -0.267
0,-14.520,  3.178, 29.503,  -0.234,  0.142, -0.955, -0.185,  0.024, -0.297
0,-10.071,  8.187, 26.087,  -0.231,  0.102, -1.023, -0.175,  0.004, -0.271
0, -6.617,  4.643, 46.012,  -0.345,  0.163, -1.032, -0.176,  0.052, -0.271
0,  7.529, 15.813, 54.162,  -0.289,  0.148, -1.337, -0.112,  0.052, -0.285
0, 37.100, 47.672, 70.491,  -0.326,  0.318, -1.088, -0.142,  0.079, -0.292
0, 30.513, 35.844, 59.964,  -0.152, -0.453, -1.065, -0.114,  0.168, -0.252
0, 28.225, 32.367,-14.535,  -0.047, -0.391, -0.972, -0.104,  0.160, -0.217
0, 16.576, 31.747,-23.993,   0.021, -0.174, -1.060, -0.112,  0.158, -0.210
0, 23.036, 33.047,-23.784,   0.151, -0.259, -0.881, -0.126,  0.158, -0.179
0, 24.524, 18.894,-43.515,   0.207, -0.354, -0.877, -0.137,  0.145, -0.165
