Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -5.002,  2.849, -4.082,  -0.160,  0.033,  1.008, -0.252, -0.334,  0.327
1, -5.391,  2.998, -4.501,  -0.149,  0.038,  0.980, -0.245, -0.328,  0.323
2, -5.122,  3.170, -4.621,  -0.146,  0.036,  0.981, -0.245, -0.330,  0.315
3, -5.211,  2.908, -4.366,  -0.154,  0.037,  0.983, -0.242, -0.328,  0.319
4, -5.309,  3.237, -4.673,  -0.154,  0.033,  0.996, -0.239, -0.324,  0.318
5, -5.122,  2.811, -4.516,  -0.155,  0.035,  0.989, -0.244, -0.330,  0.323
6, -5.181,  2.908, -4.344,  -0.150,  0.036,  0.979, -0.244, -0.330,  0.325
7, -5.436,  3.208, -4.471,  -0.153,  0.036,  0.989, -0.246, -0.331,  0.324
8, -5.159,  3.080, -4.531,  -0.156,  0.033,  0.997, -0.247, -0.331,  0.320
9, -5.338,  2.871, -4.396,  -0.150,  0.035,  0.980, -0.249, -0.329,  0.324
10, -5.458,  3.088, -4.546,  -0.150,  0.038,  0.970, -0.250, -0.331,  0.326
11, -5.271,  3.387, -4.576,  -0.147,  0.037,  0.976, -0.246, -0.325,  0.326
12, -5.211,  3.036, -4.561,  -0.150,  0.035,  0.976, -0.245, -0.331,  0.326
13, -5.443,  3.058, -4.344,  -0.149,  0.036,  0.972, -0.247, -0.328,  0.320
14, -5.406,  2.998, -4.157,  -0.152,  0.035,  0.980, -0.251, -0.332,  0.328
15, -5.294,  3.312, -4.673,  -0.161,  0.034,  0.997, -0.246, -0.330,  0.325
16, -5.533,  2.923, -4.366,  -0.151,  0.040,  0.978, -0.245, -0.327,  0.324
17, -5.466,  3.305, -4.329,  -0.153,  0.037,  0.982, -0.248, -0.329,  0.326
18, -5.331,  2.991, -4.516,  -0.148,  0.038,  0.987, -0.244, -0.328,  0.322
19, -5.181,  3.170, -4.486,  -0.147,  0.036,  0.990, -0.247, -0.334,  0.327
20, -5.361,  2.916, -4.374,  -0.157,  0.035,  0.993, -0.243, -0.331,  0.327
21, -5.600,  2.991, -4.538,  -0.146,  0.036,  0.985, -0.244, -0.327,  0.323
22, -5.458,  2.916, -4.359,  -0.149,  0.034,  0.978, -0.246, -0.329,  0.324
23, -5.525,  3.350, -4.905,  -0.148,  0.037,  0.979, -0.249, -0.328,  0.322
24, -5.189,  3.454, -4.441,  -0.156,  0.037,  0.996, -0.246, -0.328,  0.330
25, -5.241,  3.110, -4.486,  -0.155,  0.035,  0.996, -0.246, -0.329,  0.327
26, -5.525,  2.923, -4.606,  -0.147,  0.035,  0.981, -0.245, -0.325,  0.325
27, -5.361,  2.938, -4.494,  -0.141,  0.038,  0.964, -0.247, -0.333,  0.325
28, -5.720,  3.110, -4.553,  -0.155,  0.038,  0.989, -0.244, -0.328,  0.318
29, -5.436,  3.043, -4.636,  -0.147,  0.037,  0.979, -0.252, -0.330,  0.325
30, -5.316,  2.976, -4.456,  -0.151,  0.037,  0.982, -0.250, -0.330,  0.323
31, -5.271,  2.901, -4.531,  -0.154,  0.037,  0.987, -0.246, -0.330,  0.323
32, -5.122,  3.140, -4.359,  -0.156,  0.036,  0.986, -0.244, -0.332,  0.323
33, -5.368,  3.065, -4.636,  -0.152,  0.032,  0.992, -0.248, -0.330,  0.323
34, -5.443,  3.006, -4.621,  -0.153,  0.036,  0.978, -0.250, -0.332,  0.321
35, -5.540,  3.088, -4.666,  -0.150,  0.035,  0.990, -0.244, -0.327,  0.323
36, -5.473,  3.163, -4.837,  -0.152,  0.033,  0.978, -0.247, -0.326,  0.324
37,-13.855,  7.290,-33.062,  -0.097,  0.075,  0.988, -0.240, -0.330,  0.327
