Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -6.707,  7.245,-19.866,  -0.235, -0.042, -1.002, -0.567, -1.453,  0.522
1, -7.424,  5.174,-18.767,  -0.270, -0.013, -0.963,  0.101, -2.000,  1.558
2, -6.692, -0.322,-12.344,  -0.161,  0.021, -1.058,  1.498,  2.000,  1.973
3,-15.327,  8.090,-13.055,  -0.232,  0.061, -0.972, -2.000, -0.155,  0.869
4, -3.006, 12.681,  3.589,  -0.289,  0.057, -0.939,  1.695,  0.864, -0.056
5, 16.718, -8.524,  9.294,  -0.244,  0.036, -1.094, -2.000,  1.156,  0.528
6,  6.662,  7.110,  5.376,  -0.177, -0.020, -1.061, -2.000, -0.079, -2.000
7, -8.352, -3.940,  5.667,  -0.090,  0.003, -1.067, -2.000,  2.000,  0.886
8, 11.275, 15.178,-22.513,  -0.068,  0.001, -0.968, -2.000,  0.206, -2.000
9, -7.768,  5.017, -5.002,  -0.105,  0.007, -1.032, -2.000,  0.498, -2.000
10,-20.217, 14.206, -8.254,  -0.109,  0.003, -1.041, -2.000,  0.329, -2.000
11, -5.159,  3.133, -2.976,  -0.086,  0.005, -1.010, -2.000, -0.088, -2.000
12, -3.237,  3.125, -7.507,  -0.090,  0.028, -1.027,  0.062, -0.004, -2.000
13,  0.299, -1.622, -7.761,  -0.092, -0.021, -0.990,  0.173, -0.006,  2.000
14, -3.963,  2.662, -4.972,  -0.092,  0.020, -1.035,  0.135, -0.004,  2.000
15, -4.232,  2.295, -5.286,  -0.095,  0.020, -1.031,  0.187, -0.000,  2.000
16, -3.963,  2.363, -5.510,  -0.105,  0.015, -1.013,  0.239, -0.009,  2.000
17, -4.150,  2.325, -5.338,  -0.104,  0.016, -1.017,  0.161, -0.003,  2.000
18, -4.247,  2.370, -5.301,  -0.095,  0.021, -1.036,  0.238, -0.006,  2.000
19, -4.254,  2.400, -5.301,  -0.100,  0.019, -1.032,  0.126, -0.004, -2.000
20, -3.761,  2.228, -5.069,  -0.111,  0.013, -1.005,  0.127, -0.001,  2.000
21, -4.239,  2.744, -5.548,  -0.104,  0.017, -1.013,  0.118, -0.003,  2.000
22, -3.611,  2.079, -5.032,  -0.107,  0.013, -1.008,  0.245,  0.000,  2.000
23, -4.224,  2.609, -5.279,  -0.097,  0.019, -1.020,  0.074, -0.003,  2.000
24, -4.583,  2.572, -5.331,  -0.099,  0.019, -1.025,  0.102, -0.003,  2.000
25, -4.052,  2.288, -4.995,  -0.110,  0.015, -1.007,  0.087, -0.001,  2.000
26, -3.918,  2.490, -5.204,  -0.100,  0.017, -1.027,  0.111, -0.001,  2.000
27, -4.180,  2.430, -5.204,  -0.103,  0.019, -1.025, -0.037, -0.008, -2.000
28, -3.559,  2.288, -4.927,  -0.104,  0.017, -1.012,  0.165, -0.001,  2.000
29, -4.292,  2.624, -5.503,  -0.081,  0.027, -1.061,  0.101, -0.004,  2.000
30, -3.013,  1.578, -5.047,  -0.104,  0.019, -1.014,  0.142,  0.000,  2.000
31, -7.836,  5.406, -5.533,  -0.105,  0.016, -1.019,  0.141,  0.000,  2.000
32, -2.131,  0.396, -4.770,  -0.106,  0.013, -1.025,  0.116, -0.002,  2.000
33, -2.639,  1.293, -4.912,  -0.109,  0.012, -1.015,  0.119, -0.020, -2.000
34,  4.150, -4.329, -4.337,  -0.106,  0.033, -0.982,  0.159, -0.001,  2.000
35,-12.456,  8.075,-40.965,  -0.072,  0.013, -1.022,  0.005, -0.000,  0.778
36, -0.479, -1.129, 14.012,  -0.106, -0.038, -1.035,  0.019, -0.047,  0.833
