Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -4.942,  2.602, -4.748,  -0.113,  0.034, -1.035,  0.026, -0.192, -0.240
1, -4.673,  3.043, -4.793,  -0.125,  0.034, -1.022,  0.029, -0.191, -0.242
2, -4.037,  2.161, -4.224,  -0.125,  0.031, -1.012,  0.027, -0.189, -0.245
3, -4.494,  2.273, -4.912,  -0.117,  0.022, -0.976,  0.035, -0.187, -0.247
4, -4.224,  2.662, -4.666,  -0.127,  0.030, -1.013,  0.026, -0.191, -0.239
5, -4.995,  3.021, -5.174,  -0.108,  0.038, -1.052,  0.028, -0.190, -0.243
6, -5.181,  3.148, -5.039,  -0.096,  0.044, -1.081,  0.026, -0.190, -0.243
7, -4.000,  2.191, -4.658,  -0.124,  0.029, -1.013,  0.026, -0.191, -0.244
8, -4.127,  2.056, -4.194,  -0.124,  0.031, -1.022,  0.029, -0.190, -0.244
9, -4.538,  2.557, -4.621,  -0.134,  0.026, -0.993,  0.029, -0.189, -0.243
10, -4.643,  2.624, -4.337,  -0.130,  0.030, -1.011,  0.025, -0.190, -0.244
11, -3.940,  2.385, -4.269,  -0.147,  0.022, -0.971,  0.029, -0.192, -0.236
12, -4.509,  2.422, -4.090,  -0.136,  0.025, -0.999,  0.028, -0.190, -0.245
13, -4.434,  1.181, -0.523,  -0.152,  0.016, -0.967,  0.023, -0.192, -0.245
14, -4.852,  2.654, -4.867,  -0.126,  0.034, -1.024,  0.029, -0.191, -0.244
15, -4.718,  2.774, -4.583,  -0.123,  0.035, -1.013,  0.028, -0.191, -0.245
16, -4.247,  2.482, -4.643,  -0.147,  0.022, -0.971,  0.027, -0.191, -0.240
17, -5.069,  2.744, -4.793,  -0.108,  0.039, -1.044,  0.028, -0.193, -0.247
18, -5.316,  3.051, -5.017,  -0.094,  0.046, -1.086,  0.025, -0.195, -0.241
19, -6.430,  0.464,-32.031,  -0.108,  0.187, -1.059,  0.034, -0.183, -0.245
20, -6.094, -0.277, -8.419,  -0.175, -0.028, -1.029,  0.035, -0.182, -0.247
21,-23.073,  0.090, -6.699,  -0.142, -0.025, -1.017,  0.040, -0.183, -0.246
22, -7.387,  9.002,-21.197,  -0.215,  0.003, -1.128,  0.050, -0.189, -0.234
23,-23.821, 11.522,-49.855,  -0.080,  0.153, -1.110,  0.040, -0.182, -0.228
24,-45.736, 37.601,-58.551,  -0.189,  0.123, -1.066,  0.024, -0.174, -0.230
25,-32.210, 43.971,-96.660,  -0.001,  0.219, -1.138,  0.014, -0.164, -0.222
26, 12.471, 30.475,-75.022,   0.034,  0.297, -0.813,  0.006, -0.136, -0.213
27, -3.656,  4.127,-57.011,  -0.022,  0.175, -0.904,  0.007, -0.140, -0.208
28, 12.262,  4.568,-47.837,  -0.042,  0.250, -1.049,  0.005, -0.132, -0.201
29, 17.010, 39.328,-10.774,  -0.017,  0.222, -1.021,  0.003, -0.112, -0.209
30, 75.613, 34.655,  4.628,   0.042,  0.159, -1.077, -0.016, -0.094, -0.212
31,-14.752, 11.297,-12.785,   0.068,  0.100, -0.828, -0.024, -0.095, -0.218
32, 31.081,-12.509, -8.172,   0.074,  0.106, -1.038, -0.013, -0.080, -0.214
33, 23.387,  1.129,  9.204,   0.029,  0.007, -1.026, -0.013, -0.061, -0.213
34, 10.535,  8.815, 18.214,   0.079, -0.018, -0.858, -0.017, -0.055, -0.210
35,-80.077, 10.490,-49.339,   0.045,  0.004, -0.869, -0.018, -0.071, -0.216
36,-38.521,-22.872,  1.443,   0.046,  0.052, -0.955, -0.015, -0.090, -0.217
