Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -2.213, 39.051,-20.172,   0.003, -0.021, -1.014, -0.039, -0.149, -0.325
1, -9.780, 39.134,-20.277,   0.003, -0.021, -1.014, -0.043, -0.170, -0.322
2, -9.780, 39.134,-20.277,   0.014, -0.024, -1.047, -0.043, -0.170, -0.322
3, -8.127, 33.085,-21.458,   0.014, -0.024, -1.047, -0.043, -0.170, -0.322
4, -8.127, 33.085,-21.458,   0.027, -0.020, -1.023, -0.043, -0.170, -0.322
5, -8.127, 33.085,-21.458,   0.027, -0.020, -1.023, -0.043, -0.170, -0.322
6, -8.830, 34.259,-24.614,   0.027, -0.020, -1.023, -0.049, -0.164, -0.316
7, -8.830, 34.259,-24.614,   0.032, -0.015, -1.010, -0.049, -0.164, -0.316
8, -8.830, 34.259,-24.614,   0.032, -0.015, -1.010, -0.049, -0.164, -0.316
9,-12.673, 33.406,-30.206,   0.032, -0.015, -1.010, -0.049, -0.164, -0.316
10,-12.673, 33.406,-30.206,   0.038, -0.012, -1.018, -0.049, -0.164, -0.316
11,-12.673, 33.406,-30.206,   0.038, -0.012, -1.018, -0.046, -0.172, -0.299
12,-14.587, 31.492,-34.849,   0.038, -0.012, -0.956, -0.046, -0.172, -0.299
13,-15.096, 31.365,-34.849,   0.005, -0.034, -0.959, -0.046, -0.172, -0.299
14,-15.096, 31.365,-34.849,   0.005, -0.034, -0.959, -0.046, -0.172, -0.299
15,-15.096, 31.365,-34.849,   0.005, -0.034, -0.959, -0.046, -0.172, -0.299
16,-13.757, 28.367,-38.199,   0.007, -0.047, -0.986, -0.046, -0.172, -0.299
17,-13.757, 28.367,-38.199,   0.007, -0.047, -0.986, -0.046, -0.172, -0.299
18,-13.757, 28.367,-38.199,   0.007, -0.047, -0.986, -0.046, -0.166, -0.331
19,-12.172, 21.802,-37.982,   0.037, -0.064, -1.029, -0.046, -0.166, -0.331
20,-12.172, 21.802,-37.982,   0.037, -0.064, -1.029, -0.046, -0.166, -0.331
21,-12.172, 21.802,-37.982,   0.037, -0.064, -1.029, -0.046, -0.166, -0.331
22,-11.664, 16.277,-37.399,   0.028, -0.063, -1.012, -0.046, -0.166, -0.331
23,-11.664, 16.277,-37.399,   0.028, -0.063, -1.012, -0.046, -0.166, -0.331
24,-11.664, 16.277,-37.399,   0.028, -0.063, -1.012, -0.051, -0.175, -0.332
25,-11.664, 16.277,-37.399,   0.079, -0.055, -1.090, -0.051, -0.175, -0.332
26,-13.660, 12.868,-39.470,   0.079, -0.055, -1.090, -0.051, -0.175, -0.332
27,-13.660, 12.868,-39.470,   0.079, -0.055, -1.090, -0.051, -0.175, -0.332
28,-13.660, 12.868,-39.470,   0.070, -0.020, -1.017, -0.051, -0.175, -0.332
29,-17.391, 11.970,-41.167,   0.070, -0.020, -1.017, -0.051, -0.175, -0.332
30,-17.391, 11.970,-41.167,   0.070, -0.020, -1.017, -0.050, -0.182, -0.304
31,-17.391, 11.970,-41.167,   0.072, -0.008, -1.014, -0.050, -0.182, -0.304
32,-19.799, 11.768,-42.640,   0.072, -0.008, -1.014, -0.050, -0.182, -0.304
33,-19.799, 11.768,-42.640,   0.091, -0.001, -1.027, -0.050, -0.182, -0.304
34,-17.802, 10.841,-43.851,   0.091, -0.001, -1.027, -0.050, -0.182, -0.304
35,-17.802, 10.841,-43.851,   0.091, -0.001, -1.027, -0.046, -0.173, -0.332
36,-17.802, 10.841,-43.851,   0.061,  0.022, -0.967, -0.046, -0.173, -0.332
37,-17.802, 10.841,-43.851,   0.061,  0.022, -0.967, -0.046, -0.173, -0.332
38,-12.494,  9.114,-41.818,   0.061,  0.022, -0.967, -0.046, -0.173, -0.332
39,-12.494,  9.114,-41.818,   0.074,  0.026, -0.952, -0.046, -0.173, -0.332
40,-12.494,  9.114,-41.818,   0.074,  0.026, -0.952, -0.046, -0.173, -0.332
41,-11.978,  3.895,-43.380,   0.074,  0.026, -0.952, -0.051, -0.181, -0.320
42,-11.978,  3.895,-43.380,   0.056,  0.021, -0.922, -0.051, -0.181, -0.320
43,-11.978,  3.895,-43.380,   0.056,  0.021, -0.922, -0.051, -0.181, -0.320
44,-14.423, -5.817,-49.728,   0.056,  0.021, -0.922, -0.051, -0.181, -0.320
45,-14.423, -5.817,-49.728,   0.030,  0.042, -0.913, -0.051, -0.181, -0.320
46,-14.423, -5.817,-49.728,   0.030,  0.042, -0.913, -0.051, -0.181, -0.320
47,-14.423, -5.817,-53.571,   0.030,  0.042, -0.913, -0.047, -0.170, -0.315
48,-12.651,-13.698,-53.571,   0.048,  0.040, -0.958, -0.047, -0.170, -0.315
49,-12.651,-13.698,-53.571,   0.048,  0.040, -0.958, -0.047, -0.170, -0.315
50,-10.311,-19.574,-53.085,   0.040,  0.043, -0.933, -0.047, -0.170, -0.315
51,-10.311,-19.574,-53.085,   0.040,  0.043, -0.933, -0.047, -0.170, -0.315
52,-10.311,-19.574,-53.085,   0.040,  0.043, -0.933, -0.044, -0.170, -0.312
53, -9.324,-22.759,-51.336,   0.051,  0.030, -0.990, -0.044, -0.170, -0.312
54, -9.324,-22.759,-51.336,   0.051,  0.030, -0.990, -0.044, -0.170, -0.312
55, -9.324,-22.759,-51.336,   0.051,  0.030, -0.990, -0.044, -0.170, -0.312
56, -2.864,-26.752,-49.855,   0.066,  0.020, -1.031, -0.044, -0.170, -0.312
57, -2.864,-26.752,-49.855,   0.066,  0.020, -1.031, -0.044, -0.170, -0.312
58, -2.864,-26.752,-49.855,   0.066,  0.020, -1.031, -0.036, -0.185, -0.320
59, -2.864,-26.752,-49.855,   0.076,  0.009, -1.088, -0.036, -0.185, -0.320
60,  0.404,-27.627,-46.042,   0.076,  0.009, -1.088, -0.036, -0.185, -0.320
61,  0.404,-27.627,-46.042,   0.076,  0.009, -1.088, -0.036, -0.185, -0.320
62,  0.404,-27.627,-46.042,   0.066,  0.031, -1.076, -0.036, -0.185, -0.320
63, -1.301,-22.834,-44.165,   0.066,  0.031, -1.076, -0.036, -0.185, -0.320
64, -1.301,-22.834,-44.165,   0.066,  0.031, -1.076, -0.033, -0.157, -0.336
65, -1.301,-22.834,-44.165,   0.056,  0.048, -1.057, -0.033, -0.157, -0.336
66, -8.262,-18.729,-45.280,   0.056,  0.048, -1.057, -0.033, -0.157, -0.336
67, -8.262,-18.729,-45.280,   0.056,  0.048, -1.057, -0.033, -0.157, -0.336
68, -8.262,-18.729,-45.280,   0.040,  0.068, -1.000, -0.033, -0.157, -0.336
69,-13.107,-16.240,-46.476,   0.040,  0.068, -1.000, -0.033, -0.157, -0.336
70,-13.107,-16.240,-46.476,   0.040,  0.068, -1.000, -0.029, -0.165, -0.318
71,-13.107,-16.240,-46.476,   0.022,  0.072, -0.976, -0.029, -0.165, -0.318
72,-13.107,-16.240,-42.057,   0.022,  0.072, -0.976, -0.029, -0.165, -0.318
73,-12.120,-14.071,-42.057,   0.022,  0.072, -0.976, -0.029, -0.165, -0.318
74,-12.120,-14.071,-42.057,   0.017,  0.073, -0.959, -0.029, -0.165, -0.318
75,-12.120,-14.071,-42.057,   0.017,  0.073, -0.959, -0.029, -0.165, -0.318
76,-12.337,-14.026,-40.367,   0.017,  0.073, -0.959, -0.030, -0.172, -0.331
77,-12.337,-14.026,-40.367,   0.032,  0.094, -0.993, -0.030, -0.172, -0.331
78,-12.337,-14.026,-40.367,   0.032,  0.094, -0.993, -0.030, -0.172, -0.331
79, -8.165,-15.888,-37.115,   0.032,  0.094, -0.993, -0.030, -0.172, -0.331
80, -8.165,-15.888,-37.115,   0.014,  0.071, -0.985, -0.030, -0.172, -0.331
81, -8.165,-15.888,-37.115,   0.014,  0.071, -0.985, -0.030, -0.172, -0.331
82, -0.673,-18.385,-32.023,   0.014,  0.071, -0.985, -0.022, -0.176, -0.318
83, -0.673,-18.385,-32.023,   0.027,  0.030, -1.083, -0.022, -0.176, -0.318
84, -0.673,-18.385,-32.023,   0.027,  0.030, -1.083, -0.022, -0.176, -0.318
85, -0.673,-18.385,-32.023,   0.027,  0.030, -1.083, -0.022, -0.176, -0.318
86, -0.479,-19.918,-29.436,   0.002,  0.001, -1.100, -0.022, -0.176, -0.318
87, -0.479,-19.918,-29.436,   0.002,  0.001, -1.100, -0.022, -0.176, -0.318
88, -0.479,-19.918,-29.436,   0.002,  0.001, -1.100, -0.018, -0.172, -0.329
89,  0.322,-18.176,-29.197,  -0.039, -0.013, -1.020, -0.018, -0.172, -0.329
90,  0.322,-18.176,-29.197,  -0.039, -0.013, -1.020, -0.018, -0.172, -0.329
91,  0.322,-18.176,-29.197,  -0.039, -0.013, -1.020, -0.018, -0.172, -0.329
92,  4.224,-17.757,-33.376,   0.005,  0.028, -1.084, -0.018, -0.172, -0.329
93,  4.224,-17.757,-33.376,   0.005,  0.028, -1.084, -0.018, -0.172, -0.329
94,  4.224,-17.757,-33.376,   0.005,  0.028, -1.084, -0.018, -0.178, -0.316
95,  1.585,-18.049,-38.670,   0.005,  0.055, -1.106, -0.018, -0.178, -0.316
96,  1.585,-18.049,-38.670,   0.024,  0.055, -1.106, -0.018, -0.178, -0.316
97,  1.585,-18.049,-38.670,   0.024,  0.055, -1.106, -0.018, -0.178, -0.316
98,  1.585,-18.049,-38.670,   0.020,  0.074, -1.091, -0.018, -0.178, -0.316
99, -3.955,-13.040,-39.896,   0.020,  0.074, -1.091, -0.018, -0.178, -0.316
100, -3.955,-13.040,-39.896,   0.020,  0.074, -1.091, -0.014, -0.172, -0.308
101, -3.955,-13.040,-39.896,   0.020,  0.061, -1.072, -0.014, -0.172, -0.308
102, -8.157, -8.224,-39.537,  -0.007,  0.061, -1.072, -0.014, -0.172, -0.308
103, -8.157, -8.224,-39.537,  -0.007,  0.061, -1.072, -0.014, -0.172, -0.308
104, -8.157, -8.224,-39.537,  -0.007,  0.044, -1.092, -0.014, -0.172, -0.308
105,-11.402, -4.501,-37.743,  -0.023,  0.044, -1.092, -0.014, -0.172, -0.308
106,-11.402, -4.501,-37.743,  -0.023,  0.044, -1.092, -0.015, -0.177, -0.319
107,-11.402, -4.501,-37.743,  -0.023,  0.049, -1.081, -0.015, -0.177, -0.319
108, -7.454, -0.120,-33.892,  -0.022,  0.049, -1.081, -0.015, -0.177, -0.319
109, -7.454, -0.120,-33.892,  -0.022,  0.049, -1.081, -0.015, -0.177, -0.319
110, -7.454, -0.120,-33.892,  -0.022,  0.049, -1.035, -0.015, -0.177, -0.319
111, -7.454, -0.120,-33.892,  -0.039,  0.037, -1.047, -0.015, -0.177, -0.319
112, -5.735,  2.557,-31.320,  -0.039,  0.037, -1.047, -0.015, -0.177, -0.319
113, -5.735,  2.557,-31.320,  -0.039,  0.037, -1.047, -0.014, -0.177, -0.331
114, -5.735,  2.557,-31.320,  -0.047,  0.053, -1.017, -0.014, -0.177, -0.331
115, -3.312,  3.380,-30.274,  -0.047,  0.053, -1.017, -0.014, -0.177, -0.331
116, -3.312,  3.380,-30.274,  -0.070,  0.063, -0.947, -0.014, -0.177, -0.331
117,  3.963,  0.658,-29.750,  -0.070,  0.063, -0.947, -0.014, -0.177, -0.331
118,  3.963,  0.658,-29.750,  -0.070,  0.063, -0.947, -0.017, -0.165, -0.325
119,  3.963,  0.658,-29.750,  -0.026,  0.088, -1.013, -0.017, -0.165, -0.325
120,  8.172, -3.469,-29.249,  -0.026,  0.088, -1.013, -0.017, -0.165, -0.325
121,  8.172, -3.469,-29.249,  -0.040,  0.069, -0.992, -0.017, -0.165, -0.325
122,  8.172, -3.469,-29.249,  -0.040,  0.069, -0.992, -0.017, -0.165, -0.325
123, 10.154, -5.922,-28.681,  -0.040,  0.069, -0.992, -0.008, -0.169, -0.328
124, 10.154, -5.922,-28.681,  -0.029,  0.060, -1.031, -0.008, -0.169, -0.328
125, 10.154, -5.922,-28.681,  -0.029,  0.060, -1.031, -0.008, -0.169, -0.328
126, 12.187, -6.707,-28.868,  -0.029,  0.060, -1.031, -0.008, -0.169, -0.328
127, 12.187, -6.707,-28.868,  -0.023,  0.064, -1.020, -0.008, -0.169, -0.328
128, 12.187, -6.707,-28.868,  -0.023,  0.064, -1.020, -0.008, -0.169, -0.328
129, 15.163, -6.228,-27.694,  -0.023,  0.064, -1.020, -0.008, -0.165, -0.336
130, 15.163, -6.228,-27.694,  -0.045,  0.049, -1.004, -0.008, -0.165, -0.336
131, 15.163, -6.228,-27.694,  -0.045,  0.049, -1.004, -0.008, -0.165, -0.336
132, 14.012, -2.796,-26.797,  -0.045,  0.049, -1.004, -0.008, -0.165, -0.336
133, 14.012, -2.796,-26.797,  -0.037,  0.057, -1.023, -0.008, -0.165, -0.336
134, 14.012, -2.796,-26.797,  -0.037,  0.057, -1.023, -0.008, -0.165, -0.336
135, 11.447,  0.292,-27.507,  -0.037,  0.057, -1.023, -0.004, -0.150, -0.327
136, 11.447,  0.292,-27.507,  -0.034,  0.045, -1.016, -0.004, -0.150, -0.327
137, 11.447,  0.292,-27.507,  -0.034,  0.045, -1.016, -0.004, -0.150, -0.327
138, 11.447,  0.292,-27.507,  -0.034,  0.045, -1.016, -0.004, -0.150, -0.327
