Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -5.092,  3.140, -4.598,  -0.122,  0.047,  0.940,  0.261, -0.022,  0.118
1, -5.092,  3.140, -4.598,  -0.144,  0.038,  0.985,  0.261, -0.022,  0.118
2, -4.852,  2.370, -4.008,  -0.144,  0.038,  0.985,  0.252, -0.015,  0.103
3, -4.852,  2.370, -4.008,  -0.160,  0.031,  1.019,  0.252, -0.015,  0.103
4, -4.023,  2.415, -3.978,  -0.160,  0.031,  1.019,  0.252, -0.015,  0.103
5, -4.023,  2.415, -3.978,  -0.143,  0.034,  0.989,  0.252, -0.015,  0.103
6, -4.359,  2.901, -4.090,  -0.143,  0.034,  0.989,  0.257, -0.019,  0.114
7, -4.359,  2.901, -4.090,  -0.135,  0.042,  0.961,  0.257, -0.019,  0.114
8, -4.763,  2.871, -4.800,  -0.135,  0.042,  0.961,  0.257, -0.019,  0.114
9, -4.763,  2.871, -4.800,  -0.141,  0.038,  0.977,  0.257, -0.019,  0.114
10, -4.277,  2.527, -4.381,  -0.141,  0.038,  0.977,  0.257, -0.012,  0.111
11, -4.277,  2.527, -4.381,  -0.165,  0.028,  1.027,  0.257, -0.012,  0.111
12, -4.277,  2.527, -4.381,  -0.165,  0.028,  1.027,  0.257, -0.012,  0.111
13, -3.880,  2.131, -4.254,  -0.140,  0.037,  0.974,  0.257, -0.012,  0.111
14, -3.880,  2.131, -4.254,  -0.140,  0.037,  0.974,  0.257, -0.012,  0.111
15, -4.366,  2.430, -4.411,  -0.168,  0.027,  1.036,  0.257, -0.014,  0.101
16, -4.366,  2.430, -4.411,  -0.168,  0.027,  1.036,  0.257, -0.014,  0.101
17, -4.112,  2.295, -4.628,  -0.148,  0.034,  0.998,  0.257, -0.014,  0.101
18, -4.112,  2.295, -4.628,  -0.148,  0.034,  0.998,  0.258, -0.012,  0.105
19, -4.224,  2.542, -4.606,  -0.152,  0.031,  1.005,  0.258, -0.012,  0.105
20, -4.224,  2.542, -4.606,  -0.144,  0.035,  0.990,  0.258, -0.012,  0.105
21, -4.307,  2.744, -4.591,  -0.144,  0.035,  0.990,  0.255, -0.002,  0.071
22, -5.002,  2.886, -4.785,  -0.121,  0.049,  0.927,  0.255, -0.002,  0.071
23, -5.002,  2.886, -4.785,  -0.145,  0.035,  0.990,  0.255, -0.002,  0.071
24, -5.166,  2.714, -4.733,  -0.145,  0.035,  0.990,  0.255, -0.000,  0.085
25, -4.666,  2.295, -4.426,  -0.145,  0.036,  0.990,  0.255, -0.000,  0.085
26, -4.666,  2.295, -4.426,  -0.150,  0.034,  1.000,  0.255, -0.000,  0.085
27, -4.486,  2.617, -4.800,  -0.150,  0.034,  1.000,  0.257, -0.017,  0.093
28, -4.277,  2.385, -4.359,  -0.151,  0.033,  1.003,  0.257, -0.017,  0.093
29, -4.262,  2.557, -4.651,  -0.146,  0.037,  0.982,  0.257, -0.017,  0.093
30, -4.262,  2.557, -4.651,  -0.143,  0.037,  0.975,  0.257,  0.006,  0.095
31, -4.464,  2.497, -5.009,  -0.143,  0.037,  0.993,  0.257,  0.006,  0.095
32, -3.978,  2.729, -4.995,  -0.143,  0.037,  0.993,  0.256,  0.007,  0.091
33, -3.978,  2.729, -4.995,  -0.153,  0.031,  1.005,  0.256,  0.007,  0.091
34, -3.880,  2.632, -4.538,  -0.147,  0.035,  0.989,  0.256,  0.007,  0.091
35, -4.778,  2.991, -4.905,  -0.118,  0.048,  0.933,  0.256, -0.015,  0.103
36, -4.778,  2.991, -4.905,  -0.118,  0.048,  0.933,  0.256, -0.015,  0.103
37, -3.791,  3.372, -4.404,  -0.169,  0.029,  0.975,  0.254,  0.013,  0.097
38,  4.419,  4.972,  1.099,  -0.126,  0.036,  1.010,  0.254,  0.013,  0.097
39, -0.426,  3.387, -2.542,  -0.135,  0.046,  0.961,  0.254,  0.013,  0.097
40, -0.426,  3.387, -2.542,  -0.135,  0.046,  0.961,  0.257, -0.014,  0.097
41,  4.658,  5.682, -2.086,  -0.134,  0.013,  1.059,  0.257, -0.014,  0.097
42,  8.105,  6.953,  1.892,  -0.135,  0.083,  0.912,  0.257, -0.014,  0.097
43,  8.105,  6.953,  1.892,  -0.174,  0.027,  1.002,  0.255, -0.030,  0.094
44, -5.204,  2.019, -0.112,  -0.156,  0.060,  0.973,  0.255, -0.030,  0.094
45, -1.675,  3.103, -2.894,  -0.156,  0.060,  0.973,  0.257, -0.006,  0.102
46, -1.675,  3.103, -2.894,  -0.125,  0.058,  0.940,  0.257, -0.006,  0.102
47, -4.127,  2.931, -3.409,  -0.125,  0.058,  0.940,  0.257, -0.006,  0.102
48, -8.217,  1.914, -2.938,  -0.150,  0.062,  0.995,  0.250, -0.015,  0.096
49, -8.217,  1.914, -2.938,  -0.150,  0.054,  0.943,  0.250, -0.015,  0.096
50,-16.284, -0.591, -4.322,  -0.150,  0.054,  0.943,  0.250, -0.015,  0.096
51,-16.284, -0.591, -4.322,  -0.145,  0.032,  0.971,  0.250, -0.031,  0.071
52,-15.754, -1.622, -4.381,  -0.161,  0.014,  1.045,  0.253, -0.016,  0.071
53,-15.754, -1.622, -4.381,  -0.161,  0.014,  1.045,  0.253, -0.016,  0.071
54,-12.382, -0.927, -4.307,  -0.144,  0.036,  0.988,  0.253, -0.016,  0.071
55, -6.325,  2.400, -4.972,  -0.129,  0.051,  0.954,  0.258, -0.017,  0.097
56, -6.325,  2.400, -4.972,  -0.129,  0.051,  0.954,  0.258, -0.017,  0.097
57, -6.049,  2.662, -4.927,  -0.147,  0.033,  0.978,  0.258, -0.017,  0.097
58, -5.241,  2.624, -5.054,  -0.124,  0.048,  0.952,  0.258, -0.021,  0.106
59, -5.241,  2.624, -5.054,  -0.124,  0.048,  0.952,  0.258, -0.021,  0.106
60, -5.002,  2.669, -5.017,  -0.150,  0.035,  0.994,  0.258, -0.021,  0.106
61, -4.695,  2.430, -5.002,  -0.143,  0.035,  0.984,  0.252, -0.005,  0.103
62, -4.695,  2.430, -5.002,  -0.137,  0.040,  0.977,  0.252, -0.005,  0.103
63, -4.725,  2.647, -5.017,  -0.137,  0.040,  0.977,  0.252, -0.005,  0.103
64, -4.725,  2.647, -5.017,  -0.169,  0.026,  1.036,  0.251, -0.021,  0.109
65, -4.449,  2.176, -4.718,  -0.141,  0.039,  0.976,  0.251, -0.021,  0.109
66, -4.808,  2.385, -4.718,  -0.141,  0.039,  0.976,  0.251, -0.021,  0.109
67, -4.808,  2.385, -4.718,  -0.156,  0.030,  1.012,  0.255,  0.006,  0.110
68, -4.426,  2.535, -4.695,  -0.146,  0.037,  0.979,  0.255,  0.006,  0.110
