Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -3.492,  1.951, -5.301,  -0.189, -0.015, -1.005, -0.089, -0.006, -0.181
0, -4.464,  0.665, -2.587,  -0.191, -0.011, -1.023, -0.091, -0.000, -0.172
0, -5.024,  0.007, -1.929,  -0.176, -0.008, -1.040, -0.089, -0.001, -0.197
0, -6.639, -2.340, -0.508,  -0.182, -0.019, -1.032, -0.088,  0.007, -0.177
0, -7.282,  5.480, -8.337,  -0.227,  0.007, -1.034, -0.087, -0.004, -0.193
0,-11.245, 10.826, -4.180,  -0.170,  0.023, -1.041, -0.093, -0.011, -0.173
0, -3.671,  3.402, -4.419,  -0.176,  0.026, -1.021, -0.089, -0.002, -0.184
0, -2.998,  3.080, -4.755,  -0.185,  0.022, -1.007, -0.088, -0.007, -0.171
0, -2.968,  3.021, -4.621,  -0.170,  0.025, -1.024, -0.091, -0.002, -0.177
0, -2.976,  2.520, -4.688,  -0.168,  0.028, -1.031, -0.091, -0.006, -0.217
0, -3.237,  2.437, -4.546,  -0.173,  0.025, -1.014, -0.089, -0.002, -0.176
0, -3.656,  3.237, -4.845,  -0.172,  0.027, -1.020, -0.091, -0.007, -0.180
0, -4.299,  3.694, -4.591,  -0.154,  0.037, -1.054, -0.089,  0.000, -0.172
0, -3.701,  3.051, -4.516,  -0.159,  0.035, -1.027, -0.091, -0.003, -0.172
0, -3.686,  2.886, -4.837,  -0.158,  0.034, -1.026, -0.090, -0.005, -0.176
0, -2.946,  2.236, -4.800,  -0.165,  0.033, -1.011, -0.093,  0.001, -0.166
0, -3.110,  2.333, -4.830,  -0.162,  0.033, -1.024, -0.091,  0.015, -0.178
0, -3.230,  2.490, -4.830,  -0.154,  0.039, -1.036, -0.091, -0.006, -0.154
0, -3.469,  2.378, -4.980,  -0.159,  0.035, -1.027, -0.094, -0.017, -0.184
0, -3.290,  2.669, -4.980,  -0.154,  0.037, -1.036, -0.094, -0.008, -0.183
0, -3.671,  2.714, -4.830,  -0.158,  0.036, -1.031, -0.091, -0.010, -0.163
0, -3.507,  2.280, -4.568,  -0.161,  0.035, -1.023, -0.089,  0.008, -0.189
0, -3.372,  2.198, -4.688,  -0.169,  0.033, -1.012, -0.090, -0.003, -0.180
0, -3.058,  2.617, -4.598,  -0.165,  0.033, -1.018, -0.092, -0.004, -0.175
0, -3.656,  3.118, -4.882,  -0.150,  0.038, -1.047, -0.090, -0.009, -0.177
0, -3.559,  2.737, -5.264,  -0.152,  0.039, -1.036, -0.092, -0.009, -0.201
0, -3.499,  2.527, -4.703,  -0.154,  0.039, -1.036, -0.091, -0.016, -0.179
0, -3.320,  2.497, -4.897,  -0.153,  0.037, -1.024, -0.091,  0.006, -0.166
0, -3.529,  2.370, -5.271,  -0.157,  0.035, -1.024, -0.092, -0.000, -0.196
0, -3.544,  2.288, -5.271,  -0.161,  0.033, -1.015, -0.092, -0.002, -0.186
0, -3.148,  2.191, -5.054,  -0.160,  0.034, -1.020, -0.094, -0.007, -0.175
0, -3.260,  2.213, -5.234,  -0.154,  0.035, -1.024, -0.092, -0.005, -0.176
0, -3.342,  2.206, -4.658,  -0.155,  0.037, -1.032, -0.090,  0.000, -0.174
0, -3.148,  2.056, -4.710,  -0.160,  0.034, -1.018, -0.092, -0.007, -0.171
0, -3.312,  2.579, -4.897,  -0.154,  0.036, -1.033, -0.091,  0.001, -0.178
0, -2.811,  2.221, -4.882,  -0.155,  0.036, -1.029, -0.092, -0.001, -0.182
0, -2.841,  2.041, -4.905,  -0.168,  0.029, -1.010, -0.094, -0.008, -0.170
0, -2.894,  1.570, -4.583,  -0.163,  0.033, -1.024, -0.091, -0.006, -0.188
