Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -3.656,  2.565, -4.344,  -0.159, -0.001, -1.011, -0.015,  0.106, -0.313
1, -4.404,  2.677, -4.337,  -0.156, -0.006, -1.019, -0.010,  0.095, -0.317
2, -3.940,  2.176, -4.396,  -0.159, -0.013, -1.003, -0.009,  0.103, -0.311
3, -3.843,  2.280, -4.441,  -0.141, -0.006, -1.033, -0.009,  0.087, -0.310
4, -4.785,  2.826, -4.568,  -0.146, -0.004, -1.032, -0.012,  0.099, -0.337
5, -4.075,  2.422, -4.509,  -0.139,  0.010, -1.060, -0.009,  0.095, -0.300
6, -4.052,  2.826, -4.852,  -0.154,  0.002, -1.026, -0.013,  0.095, -0.303
7, -4.232,  2.781, -4.658,  -0.140,  0.001, -1.059, -0.009,  0.094, -0.315
8, -4.052,  2.692, -4.755,  -0.146, -0.002, -1.036, -0.007,  0.094, -0.312
9, -4.187,  2.677, -4.867,  -0.140,  0.004, -1.053, -0.013,  0.096, -0.308
10, -4.217,  2.744, -4.703,  -0.139,  0.005, -1.052, -0.009,  0.095, -0.338
11, -4.733,  2.751, -4.695,  -0.127,  0.007, -1.087, -0.010,  0.097, -0.324
12, -4.090,  2.333, -4.277,  -0.157, -0.000, -1.037, -0.011,  0.095, -0.310
13, -4.823,  2.520, -4.509,  -0.162, -0.008, -1.002, -0.008,  0.089, -0.333
14, -4.568,  3.200, -4.725,  -0.136,  0.004, -1.061, -0.007,  0.102, -0.328
15, -4.112,  2.303, -4.411,  -0.155, -0.005, -1.020, -0.011,  0.114, -0.308
16, -4.733,  2.729, -4.778,  -0.155, -0.007, -1.023, -0.007,  0.100, -0.302
17, -4.389,  2.714, -4.882,  -0.142,  0.001, -1.045, -0.009,  0.087, -0.323
18, -4.217,  2.422, -4.314,  -0.154, -0.005, -1.022, -0.006,  0.101, -0.312
19, -4.980,  2.796, -4.710,  -0.127,  0.008, -1.083, -0.010,  0.093, -0.311
20, -4.329,  2.864, -4.658,  -0.149,  0.002, -1.040, -0.003,  0.104, -0.318
21, -4.800,  2.565, -4.621,  -0.138,  0.009, -1.065, -0.005,  0.103, -0.322
22, -3.783,  2.542, -4.456,  -0.159, -0.001, -1.030, -0.007,  0.100, -0.338
23, -5.114,  3.282, -5.181,  -0.125,  0.019, -1.090, -0.010,  0.100, -0.328
24, -3.619,  2.609, -4.359,  -0.168, -0.005, -0.985, -0.008,  0.101, -0.304
25, -4.703,  2.520, -4.396,  -0.137, -0.004, -1.063, -0.009,  0.093, -0.320
26, -4.217,  2.378, -4.770,  -0.171, -0.016, -0.992, -0.006,  0.096, -0.314
27, -4.531,  2.864, -4.538,  -0.177, -0.013, -0.976, -0.004,  0.109, -0.306
28, -4.404,  2.819, -4.845,  -0.146,  0.003, -1.031, -0.007,  0.103, -0.322
29, -4.105,  2.176, -4.471,  -0.164, -0.006, -1.002, -0.006,  0.101, -0.306
30, -4.037,  2.677, -4.688,  -0.150, -0.005, -1.034, -0.005,  0.101, -0.343
31, -4.269,  2.669, -4.725,  -0.130,  0.005, -1.059, -0.007,  0.098, -0.322
32, -5.204,  3.110, -4.980,  -0.124,  0.010, -1.089, -0.005,  0.104, -0.306
