Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -4.464,  2.550, -4.867,  -0.138,  0.056, -1.031, -0.268,  0.002, -0.257
1, -4.695,  2.804, -4.830,  -0.131,  0.061, -1.048, -0.267,  0.005, -0.259
2, -4.396,  2.303, -4.845,  -0.127,  0.065, -1.041, -0.267,  0.010, -0.268
3, -4.823,  3.080, -5.002,  -0.124,  0.070, -1.059, -0.268,  0.005, -0.263
4, -4.449,  2.460, -5.166,  -0.127,  0.066, -1.053, -0.267,  0.002, -0.258
5, -5.069,  2.744, -4.972,  -0.138,  0.060, -1.035, -0.270,  0.005, -0.256
6, -4.995,  3.462, -5.166,  -0.113,  0.071, -1.080, -0.271,  0.003, -0.264
7, -4.636,  2.550, -4.718,  -0.146,  0.057, -1.004, -0.265,  0.006, -0.265
8, -4.352,  2.497, -5.264,  -0.156,  0.051, -0.994, -0.269,  0.003, -0.260
9, -3.551,  2.198, -4.531,  -0.146,  0.057, -1.017, -0.270,  0.005, -0.259
10, -3.858,  2.737, -4.972,  -0.153,  0.054, -1.003, -0.268,  0.006, -0.260
11, -4.890,  2.550, -4.561,  -0.121,  0.069, -1.068, -0.269,  0.006, -0.262
12, -5.436,  3.155, -5.226,  -0.129,  0.064, -1.049, -0.266,  0.005, -0.265
13, -4.344,  3.006, -4.688,  -0.154,  0.055, -1.001, -0.267,  0.004, -0.262
14, -4.591,  2.460, -4.546,  -0.143,  0.055, -1.012, -0.267,  0.004, -0.259
15, -4.740,  2.729, -4.396,  -0.161,  0.049, -0.988, -0.268,  0.005, -0.261
16, -4.284,  2.445, -4.553,  -0.155,  0.053, -0.993, -0.267,  0.006, -0.256
17, -4.897,  2.542, -4.830,  -0.133,  0.068, -1.055, -0.271,  0.006, -0.264
18, -4.621,  2.587, -4.695,  -0.134,  0.066, -1.052, -0.274,  0.005, -0.259
19, -4.673,  2.579, -4.755,  -0.136,  0.061, -1.024, -0.267,  0.005, -0.262
20, -5.338,  3.252, -5.024,  -0.107,  0.071, -1.086, -0.266,  0.005, -0.262
21, -4.673,  2.535, -4.688,  -0.142,  0.057, -1.016, -0.268,  0.005, -0.259
22, -5.032,  2.639, -4.770,  -0.145,  0.060, -1.026, -0.269,  0.006, -0.261
23,  3.260, -3.993, -4.254,  -0.173,  0.052, -0.990, -0.269,  0.007, -0.265
24, -5.398,  3.402, -4.927,  -0.159,  0.039, -1.023, -0.264,  0.008, -0.265
25,-15.200, -4.337, 21.279,  -0.115,  0.024, -1.027, -0.258,  0.008, -0.265
26,-41.683, 12.905, 13.324,  -0.092,  0.006, -1.124, -0.251,  0.002, -0.263
27, -8.703,  5.189,-14.827,  -0.130, -0.032, -0.955, -0.250, -0.005, -0.257
28,  3.708, 13.989, -1.234,  -0.091,  0.019, -1.025, -0.253, -0.013, -0.254
29,  3.260,  9.982,-15.739,  -0.042,  0.034, -1.021, -0.258, -0.013, -0.252
30,  5.271, 10.094,-15.380,  -0.027,  0.046, -0.984, -0.273, -0.016, -0.238
31,  7.492,  9.510,-10.617,   0.019,  0.043, -0.995, -0.273, -0.011, -0.235
32,  4.329,  3.140, -8.553,   0.021,  0.026, -1.002, -0.278, -0.005, -0.230
33,  1.166,  4.546, -4.920,   0.017,  0.016, -1.013, -0.283, -0.003, -0.232
34, -5.480,  6.318,  1.563,   0.084, -0.019, -1.006, -0.285, -0.005, -0.231
35, -5.914, 10.692, 12.524,   0.063,  0.006, -1.059, -0.287,  0.003, -0.223
36, -7.738,  8.097, 19.881,   0.054, -0.039, -0.992, -0.284,  0.008, -0.223
37, -2.916,  5.294, 13.316,   0.004, -0.038, -1.009, -0.280,  0.019, -0.218
38, -4.613, -2.123,  6.692,   0.026,  0.048, -1.058, -0.276,  0.018, -0.227
39,-25.459,-14.370,  7.866,  -0.023, -0.058, -1.157, -0.274,  0.024, -0.233
40, -3.223,  6.856, 17.077,  -0.084, -0.049, -1.162, -0.271,  0.019, -0.238
41,-20.143,  3.200,  6.333,  -0.026, -0.031, -0.963, -0.264,  0.012, -0.244
42,  5.024, 13.810, 18.475,   0.049, -0.095, -0.928, -0.259,  0.013, -0.241
43,  9.264, 20.860, 11.028,   0.090, -0.060, -1.069, -0.255,  0.027, -0.227
44, 11.783, 19.223, -1.600,   0.158, -0.059, -1.070, -0.262,  0.033, -0.221
45,  1.652,  0.598,-23.238,   0.114, -0.085, -0.916, -0.265,  0.036, -0.216
46, -2.505,  1.002,-24.322,   0.150, -0.108, -0.973, -0.268,  0.035, -0.215
47,  0.785, -0.486,-19.185,   0.097, -0.116, -0.949, -0.270,  0.030, -0.202
48, -1.809,  1.406,-16.524,   0.083, -0.131, -0.947, -0.277,  0.032, -0.201
49,  0.015, -1.234,  1.645,   0.069, -0.175, -0.945, -0.282,  0.030, -0.202
50,-21.765,  3.447,-14.012,   0.124, -0.080, -0.964, -0.272,  0.032, -0.210
51, -7.858,  3.140,  1.196,   0.042, -0.028, -1.208, -0.267,  0.033, -0.208
