Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
0, -2.482,  2.086, -4.576,  -0.118,  0.021,  0.990, -0.109, -0.129,  0.138
0, -3.529,  2.236, -4.598,  -0.116,  0.018,  0.975, -0.106, -0.129,  0.111
0, -3.836,  2.258, -4.995,  -0.120,  0.018,  0.982, -0.109, -0.116,  0.113
0, -3.058,  2.422, -4.494,  -0.124,  0.017,  0.991, -0.109, -0.133,  0.120
0, -2.901,  1.996, -4.583,  -0.128,  0.015,  0.995, -0.111, -0.120,  0.128
0, -3.634,  2.684, -4.710,  -0.118,  0.019,  0.977, -0.107, -0.131,  0.133
0, -3.252,  2.722, -4.658,  -0.122,  0.016,  0.983, -0.108, -0.125,  0.133
0, -3.155,  2.243, -4.770,  -0.130,  0.014,  0.999, -0.111, -0.135,  0.125
0, -3.342,  2.422, -4.606,  -0.119,  0.018,  0.980, -0.107, -0.121,  0.127
0, -3.671,  2.572, -4.845,  -0.122,  0.018,  0.984, -0.108, -0.126,  0.106
0, -3.043,  2.722, -4.890,  -0.124,  0.016,  0.987, -0.106, -0.119,  0.132
0, -2.931,  2.527, -4.852,  -0.128,  0.015,  0.992, -0.112, -0.133,  0.129
0, -3.297,  2.565, -4.823,  -0.122,  0.016,  0.984, -0.108, -0.128,  0.125
0, -3.604,  2.632, -4.778,  -0.128,  0.016,  0.996, -0.106, -0.129,  0.126
0, -3.230,  2.370, -4.890,  -0.121,  0.016,  0.987, -0.109, -0.114,  0.119
0, -3.589,  2.303, -4.965,  -0.122,  0.016,  0.980, -0.108, -0.135,  0.143
0, -3.140,  2.520, -4.927,  -0.122,  0.020,  0.984, -0.108, -0.127,  0.134
0, -3.380,  2.378, -4.837,  -0.114,  0.018,  0.977, -0.108, -0.126,  0.126
0, -3.208,  2.647, -4.837,  -0.126,  0.016,  0.990, -0.106, -0.126,  0.131
0, -3.357,  2.482, -4.688,  -0.119,  0.018,  0.977, -0.107, -0.133,  0.130
0, -2.923,  2.445, -4.202,  -0.132,  0.011,  1.012, -0.106, -0.115,  0.127
0, -3.230,  2.684, -4.636,  -0.120,  0.018,  0.982, -0.108, -0.126,  0.111
0, -3.013,  2.258, -4.621,  -0.120,  0.016,  0.987, -0.109, -0.134,  0.128
0, -3.148,  2.168, -4.710,  -0.120,  0.016,  0.982, -0.110, -0.119,  0.130
0, -3.178,  2.699, -4.725,  -0.122,  0.016,  0.990, -0.110, -0.136,  0.133
0, -3.140,  2.400, -4.606,  -0.118,  0.017,  0.985, -0.109, -0.139,  0.115
0, -3.297,  2.624, -4.950,  -0.122,  0.017,  0.985, -0.109, -0.138,  0.132
0, -3.731,  2.707, -5.062,  -0.116,  0.019,  0.977, -0.108, -0.135,  0.126
0, -2.991,  2.467, -4.583,  -0.125,  0.015,  0.987, -0.111, -0.120,  0.108
0, -3.103,  2.415, -4.800,  -0.121,  0.016,  0.978, -0.106, -0.130,  0.133
0, -2.796,  1.966, -4.651,  -0.122,  0.017,  0.985, -0.109, -0.133,  0.124
0, -3.118,  2.325, -4.643,  -0.115,  0.017,  0.980, -0.105, -0.127,  0.133
0, -3.380,  2.527, -4.643,  -0.122,  0.015,  0.989, -0.106, -0.129,  0.130
0, -3.088,  2.303, -4.538,  -0.123,  0.016,  0.988, -0.109, -0.125,  0.139
0, -3.193,  1.996, -4.165,  -0.126,  0.016,  0.987, -0.108, -0.131,  0.121
0, -2.766,  2.236, -4.546,  -0.119,  0.016,  0.976, -0.114, -0.121,  0.123
0, -2.886,  2.026, -4.516,  -0.125,  0.014,  0.990, -0.106, -0.130,  0.120
0, -2.647,  2.258, -4.763,  -0.122,  0.018,  0.985, -0.107, -0.117,  0.131
0,  0.449,  1.189, -4.262,  -0.103,  0.036,  0.970, -0.110, -0.130,  0.137
0, -2.938,  2.602, -4.471,  -0.114,  0.024,  0.983, -0.105, -0.130,  0.132
0, -3.798,  2.273, -4.718,  -0.121,  0.021,  0.986, -0.108, -0.133,  0.124
0, -2.437,  2.168, -4.837,  -0.118,  0.023,  0.988, -0.109, -0.125,  0.125
0, -3.073,  2.303, -5.047,  -0.119,  0.026,  0.989, -0.109, -0.131,  0.126
0, -3.103,  2.333, -4.598,  -0.128,  0.023,  1.003, -0.108, -0.126,  0.116
0, -3.537,  2.265, -4.568,  -0.117,  0.022,  0.979, -0.108, -0.131,  0.115
0, -2.968,  2.684, -4.411,  -0.112,  0.028,  0.970, -0.105, -0.111,  0.094
0, -3.021,  2.303, -4.546,  -0.121,  0.022,  0.993, -0.105, -0.124,  0.132
0, -5.682,  2.796, -4.531,  -0.122,  0.024,  0.979, -0.104, -0.127,  0.116
0, -4.015,  2.938, -4.927,  -0.103,  0.031,  0.947, -0.105, -0.097,  0.108
0, -2.774,  2.669, -5.181,  -0.122,  0.026,  0.993, -0.103, -0.120,  0.116
0, -3.955,  2.475, -5.241,  -0.118,  0.022,  0.973, -0.103, -0.135,  0.126
0, -3.342,  2.624, -4.516,  -0.120,  0.023,  0.986, -0.103, -0.125,  0.128
0, -3.282,  2.393, -4.636,  -0.119,  0.025,  0.991, -0.102, -0.117,  0.097
0, -3.193,  2.572, -4.561,  -0.116,  0.023,  0.974, -0.104, -0.128,  0.122
0, -4.381,  2.677, -4.359,  -0.119,  0.022,  0.979, -0.103, -0.127,  0.105
0, -3.432,  2.804, -4.778,  -0.115,  0.024,  0.978, -0.105, -0.125,  0.110
0, -2.632,  2.475, -4.688,  -0.122,  0.022,  0.992, -0.103, -0.112,  0.124
0, -3.103,  2.221, -4.591,  -0.129,  0.016,  1.005, -0.103, -0.121,  0.117
0, -2.856,  2.295, -4.598,  -0.117,  0.024,  0.988, -0.102, -0.120,  0.122
0, -3.454,  2.183, -4.598,  -0.121,  0.023,  0.988, -0.104, -0.117,  0.109
0, -3.671,  2.512, -4.733,  -0.106,  0.029,  0.958, -0.104, -0.121,  0.123
